Middle layer Super Output Areas Code,Middle layer Super Output Areas,Female,Male,Total
E02000223,Croydon 030,4690,3840,8530
E02000224,Croydon 031,4185,3868,8053
E02000225,Croydon 032,3961,3538,7499
E02000226,Croydon 033,3896,3719,7615
E02000227,Croydon 034,6211,5470,11681
E02000228,Croydon 035,4055,3901,7956
E02000229,Croydon 036,3249,2986,6235
E02000230,Croydon 037,5394,5108,10502
E02000231,Croydon 038,4056,3874,7930
E02000232,Croydon 039,3257,2942,6199
E02000233,Croydon 040,3304,3060,6364
E02000234,Croydon 041,4898,4551,9449
E02000235,Croydon 042,3546,3345,6891
E02000236,Croydon 043,4632,4498,9130
E02000237,Croydon 044,3970,3631,7601
E02000238,Ealing 001,5325,5382,10707
E02000239,Ealing 002,4605,4437,9042
E02000240,Ealing 003,5753,5456,11209
E02000241,Ealing 004,3782,3613,7395
E02000242,Ealing 005,3386,3499,6885
E02000243,Ealing 006,4417,4305,8722
E02000244,Ealing 007,3811,4078,7889
E02000245,Ealing 008,4855,4453,9308
E02000246,Ealing 009,4768,4693,9461
E02000247,Ealing 010,5748,5407,11155
E02000248,Ealing 011,3838,3879,7717
E02000249,Ealing 012,4256,4122,8378
E02000250,Ealing 013,3338,3144,6482
E02000251,Ealing 014,4132,4181,8313
E02000252,Ealing 015,6290,5948,12238
E02000253,Ealing 016,5436,4908,10344
E02000254,Ealing 017,4549,4660,9209
E02000255,Ealing 018,5137,4725,9862
E02000256,Ealing 019,4678,4505,9183
E02000258,Ealing 021,3479,3422,6901
E02000259,Ealing 022,3340,3244,6584
E02000260,Ealing 023,4803,5032,9835
E02000261,Ealing 024,6573,6079,12652
E02000262,Ealing 025,4801,4547,9348
E02000263,Ealing 026,6601,7105,13706
E02000264,Ealing 027,4274,4220,8494
E02000265,Ealing 028,5777,5457,11234
E02000266,Ealing 029,6672,6442,13114
E02000267,Ealing 030,4209,3941,8150
E02000268,Ealing 031,4754,4496,9250
E02000269,Ealing 032,4257,3910,8167
E02000270,Ealing 033,4976,4631,9607
E02000271,Ealing 034,3665,3285,6950
E02000272,Ealing 035,3445,3268,6713
E02000275,Ealing 038,4028,4142,8170
E02000276,Ealing 039,3479,3282,6761
E02000277,Enfield 001,3931,3593,7524
E02000278,Enfield 002,5053,4377,9430
E02000279,Enfield 003,6547,5773,12320
E02000280,Enfield 004,4560,4074,8634
E02000281,Enfield 005,5113,4540,9653
E02000282,Enfield 006,5373,4578,9951
E02000283,Enfield 007,4452,4085,8537
E02000284,Enfield 008,4582,4159,8741
E02000285,Enfield 009,3441,3202,6643
E02000286,Enfield 010,4659,4029,8688
E02000287,Enfield 011,3811,3546,7357
E02000288,Enfield 012,6729,6055,12784
E02000289,Enfield 013,3493,3281,6774
E02000290,Enfield 014,3534,3153,6687
E02000291,Enfield 015,5368,4794,10162
E02000292,Enfield 016,5187,4650,9837
E02000293,Enfield 017,3276,3121,6397
E02000294,Enfield 018,4896,4473,9369
E02000295,Enfield 019,4531,4157,8688
E02000296,Enfield 020,5405,4938,10343
E02000297,Enfield 021,4795,4603,9398
E02000298,Enfield 022,4208,4045,8253
E02000299,Enfield 023,4972,4523,9495
E02000300,Enfield 024,4624,4231,8855
E02000301,Enfield 025,5506,4714,10220
E02000302,Enfield 026,4372,4296,8668
E02000303,Enfield 027,4411,3956,8367
E02000304,Enfield 028,4154,3885,8039
E02000305,Enfield 029,4558,4320,8878
E02000306,Enfield 030,4886,4248,9134
E02000307,Enfield 031,5258,4854,10112
E02000308,Enfield 032,4433,4326,8759
E02000309,Enfield 033,6050,5744,11794
E02000311,Enfield 035,5378,5166,10544
E02000312,Enfield 036,5754,5549,11303
E02000313,Greenwich 001,3337,3152,6489
E02000314,Greenwich 002,6694,7412,14106
E02000315,Greenwich 003,5076,4795,9871
E02000317,Greenwich 005,3922,3639,7561
E02000318,Greenwich 006,5618,5443,11061
E02000319,Greenwich 007,5329,5289,10618
E02000320,Greenwich 008,3559,3482,7041
E02000321,Greenwich 009,4084,3637,7721
E02000323,Greenwich 011,6708,6152,12860
E02000324,Greenwich 012,4094,3773,7867
E02000326,Greenwich 014,3959,3839,7798
E02000327,Greenwich 015,3434,3191,6625
E02000328,Greenwich 016,3405,3107,6512
E02000329,Greenwich 017,3290,3041,6331
E02000331,Greenwich 019,4284,3951,8235
E02000332,Greenwich 020,3785,3666,7451
E02000333,Greenwich 021,3248,2994,6242
E02000334,Greenwich 022,3393,3246,6639
E02000335,Greenwich 023,3446,3229,6675
E02000337,Greenwich 025,4380,4091,8471
E02000339,Greenwich 027,3273,3018,6291
E02000340,Greenwich 028,3532,3333,6865
E02000341,Greenwich 029,4228,3767,7995
E02000342,Greenwich 030,3443,2904,6347
E02000343,Greenwich 031,3614,3433,7047
E02000344,Greenwich 032,3257,3173,6430
E02000345,Hackney 001,4168,4031,8199
E02000346,Hackney 002,4901,4497,9398
E02000347,Hackney 003,4197,3956,8153
E02000348,Hackney 004,4177,3929,8106
E02000350,Hackney 006,5294,4947,10241
E02000351,Hackney 007,4855,4431,9286
E02000352,Hackney 008,3601,3148,6749
E02000353,Hackney 009,4029,3734,7763
E02000354,Hackney 010,5075,4534,9609
E02000355,Hackney 011,4359,3835,8194
E02000356,Hackney 012,3679,3355,7034
E02000357,Hackney 013,3579,3266,6845
E02000358,Hackney 014,5867,5223,11090
E02000359,Hackney 015,3578,3119,6697
E02000360,Hackney 016,6016,5496,11512
E02000361,Hackney 017,4288,3770,8058
E02000362,Hackney 018,3525,3436,6961
E02000363,Hackney 019,6370,5513,11883
E02000364,Hackney 020,4828,4389,9217
E02000366,Hackney 022,4406,3922,8328
E02000367,Hackney 023,5438,4982,10420
E02000368,Hackney 024,5262,4660,9922
E02000369,Hackney 025,6900,6558,13458
E02000370,Hackney 026,4605,4258,8863
E02000372,Hammersmith and Fulham 001,5117,4867,9984
E02000373,Hammersmith and Fulham 002,3826,3208,7034
E02000374,Hammersmith and Fulham 003,3761,3153,6914
E02000375,Hammersmith and Fulham 004,3912,3571,7483
E02000376,Hammersmith and Fulham 005,3454,3247,6701
E02000377,Hammersmith and Fulham 006,4099,3696,7795
E02000378,Hammersmith and Fulham 007,3402,3031,6433
E02000379,Hammersmith and Fulham 008,3965,3423,7388
E02000380,Hammersmith and Fulham 009,2870,2638,5508
E02000381,Hammersmith and Fulham 010,4052,3576,7628
E02000382,Hammersmith and Fulham 011,3228,2962,6190
E02000383,Hammersmith and Fulham 012,4562,3900,8462
E02000384,Hammersmith and Fulham 013,4404,3863,8267
E02000385,Hammersmith and Fulham 014,2882,2732,5614
E02000386,Hammersmith and Fulham 015,4048,3534,7582
