Middle layer Super Output Areas Code,Middle layer Super Output Areas,Asian_Asian_British_or_Asian_Welsh,Black_Black_British_Black_Welsh_Caribbean_or_African,Mixed_or_Multiple_ethnic_groups,White_English_Welsh_Scottish_Northern_Irish_or_British,White_Irish,White_Gypsy_or_Irish_Traveller_Roma_or_Other_White,Other_ethnic_group,Total
E02000441,Harrow 009,3132,567,324,2191,179,641,448,7482
E02000442,Harrow 010,5016,423,197,915,139,2165,730,9585
E02000443,Harrow 011,4482,1255,407,1656,339,1475,1134,10748
E02000444,Harrow 012,4841,379,179,1083,138,1566,529,8715
E02000445,Harrow 013,4963,1251,515,1821,323,2108,792,11773
E02000447,Harrow 015,4118,527,404,1718,156,732,536,8191
E02000448,Harrow 016,2457,289,296,2804,214,627,385,7072
E02000449,Harrow 017,4362,482,228,1001,125,1590,509,8297
E02000451,Harrow 019,3358,222,267,1640,168,753,303,6711
E02000452,Harrow 020,3818,645,523,1595,240,2016,666,9503
E02000453,Harrow 021,3504,559,500,1725,202,1274,622,8386
E02000454,Harrow 022,3493,182,276,2359,153,510,363,7336
E02000455,Harrow 023,5533,814,526,1854,225,1939,777,11668
E02000456,Harrow 024,2839,814,462,1967,236,1006,502,7826
E02000457,Harrow 025,3451,474,271,1514,130,660,559,7059
E02000459,Harrow 027,4043,989,395,1507,148,1378,867,9327
E02000460,Harrow 028,3592,931,307,1148,76,615,643,7312
E02000461,Harrow 029,2536,485,364,2160,221,1036,488,7290
E02000462,Harrow 030,3411,624,247,959,137,883,721,6982
E02000463,Harrow 031,3836,967,312,1689,155,902,845,8706
E02000464,Havering 001,555,831,301,5205,51,710,104,7757
E02000465,Havering 002,925,1026,329,5792,61,1055,159,9347
E02000466,Havering 003,736,783,396,6274,69,659,152,9069
E02000467,Havering 004,819,1876,570,6850,38,1092,212,11457
E02000468,Havering 005,899,767,348,5598,72,776,190,8650
E02000469,Havering 006,672,963,311,4280,59,844,152,7281
E02000470,Havering 007,990,597,373,6814,107,807,94,9782
E02000471,Havering 008,852,380,210,5717,101,394,168,7822
E02000472,Havering 009,1251,579,381,6137,97,768,258,9471
E02000473,Havering 010,1267,639,386,7294,107,579,221,10493
E02000474,Havering 011,1245,861,420,5489,92,874,203,9184
E02000475,Havering 012,1193,581,315,6570,162,540,250,9611
E02000476,Havering 013,1414,963,474,4588,121,1476,325,9361
E02000477,Havering 014,919,304,355,7181,143,502,131,9535
E02000478,Havering 015,1612,268,126,3421,69,191,303,5990
E02000479,Havering 016,1211,884,447,5253,129,1237,288,9449
E02000480,Havering 017,2813,1877,714,6110,151,1674,501,13840
E02000481,Havering 018,345,272,202,6963,69,322,64,8237
E02000482,Havering 019,354,102,190,5592,109,199,46,6592
E02000483,Havering 020,474,343,255,6177,132,505,116,8002
E02000484,Havering 021,813,545,250,6130,153,436,164,8491
E02000485,Havering 022,510,360,243,6561,116,567,118,8475
E02000486,Havering 023,655,372,231,5496,92,393,113,7352
E02000487,Havering 024,248,90,177,7010,149,185,52,7911
E02000488,Havering 025,528,287,162,6076,97,319,109,7578
E02000489,Havering 026,1044,749,361,5599,111,619,153,8636
E02000490,Havering 027,853,986,251,5597,62,626,94,8469
E02000491,Havering 028,1425,1690,461,5930,73,838,221,10638
E02000492,Havering 029,553,594,180,5012,56,320,117,6832
E02000493,Havering 030,972,1000,327,3517,47,680,194,6737
E02000494,Hillingdon 001,3566,294,323,2757,103,635,280,7958
E02000495,Hillingdon 002,3088,518,430,4112,186,1583,500,10417
E02000496,Hillingdon 003,733,213,309,5731,186,462,168,7802
E02000497,Hillingdon 004,2491,439,416,4788,193,823,372,9522
E02000498,Hillingdon 005,853,163,298,4276,201,415,169,6375
E02000499,Hillingdon 006,2156,180,322,4022,232,559,256,7727
E02000500,Hillingdon 007,1592,172,354,4714,329,844,273,8278
E02000501,Hillingdon 008,1812,292,410,4689,283,735,254,8475
E02000502,Hillingdon 009,1905,407,401,4571,325,1005,315,8929
E02000503,Hillingdon 010,1566,294,408,5008,382,753,280,8691
E02000504,Hillingdon 011,1626,120,279,4733,168,469,247,7642
E02000506,Hillingdon 013,2684,232,313,3525,191,461,554,7960
E02000507,Hillingdon 014,2325,461,409,3721,145,716,466,8243
E02000508,Hillingdon 015,3215,925,765,4434,237,1629,744,11949
E02000509,Hillingdon 016,2729,1031,717,3723,200,1586,569,10555
E02000510,Hillingdon 017,2852,556,434,3811,195,673,594,9115
E02000511,Hillingdon 018,3767,838,349,3192,177,691,917,9931
E02000512,Hillingdon 019,2813,1011,440,3097,109,713,640,8823
E02000513,Hillingdon 020,3865,1637,382,2177,88,786,823,9758
E02000514,Hillingdon 021,6281,998,255,1342,106,550,1141,10673
E02000515,Hillingdon 022,3186,1485,622,5261,172,1789,778,13293
E02000516,Hillingdon 023,4104,908,423,1467,92,674,978,8646
E02000517,Hillingdon 024,4225,1494,450,2480,123,790,912,10474
E02000518,Hillingdon 025,2374,982,426,4345,123,906,476,9632
E02000519,Hillingdon 026,4585,1317,321,1735,80,520,996,9554
E02000520,Hillingdon 027,6824,1762,572,2450,169,1027,1258,14062
E02000521,Hillingdon 028,5238,1425,596,3719,121,1238,854,13191
E02000522,Hillingdon 029,2627,855,487,3851,107,1156,495,9578
E02000523,Hillingdon 030,6679,969,318,1280,118,864,1138,11366
E02000524,Hillingdon 031,2618,434,286,2511,93,1193,401,7536
E02000525,Hillingdon 032,4973,1002,378,1644,67,1105,893,10062
E02000526,Hounslow 001,797,471,525,4225,254,1963,405,8640
E02000529,Hounslow 004,5712,712,281,850,78,697,1385,9715
E02000530,Hounslow 005,4068,1277,327,1061,31,504,849,8117
E02000531,Hounslow 006,1564,987,709,4989,391,2255,687,11582
E02000532,Hounslow 007,830,450,605,4557,301,1769,463,8975
E02000533,Hounslow 008,718,427,604,4475,231,1523,424,8402
E02000534,Hounslow 009,3133,466,441,2198,187,1483,649,8557
E02000535,Hounslow 010,6603,391,259,873,61,834,1031,10052
E02000536,Hounslow 011,6493,570,334,1049,82,1230,1083,10841
E02000537,Hounslow 012,5724,294,368,1033,64,1532,830,9845
E02000538,Hounslow 013,6417,534,267,975,30,1013,873,10109
E02000539,Hounslow 014,2665,913,897,4826,256,1942,725,12224
E02000540,Hounslow 015,4853,954,629,2765,174,1882,867,12124
E02000541,Hounslow 016,6079,724,300,1413,41,1174,888,10619
E02000542,Hounslow 017,7346,813,488,1252,66,1444,891,12300
E02000543,Hounslow 018,7472,731,523,2118,87,2198,872,14001
E02000544,Hounslow 019,3266,319,347,2478,148,1427,572,8557
E02000545,Hounslow 020,1681,1259,437,3813,168,1318,561,9237
E02000546,Hounslow 021,6163,611,334,1197,107,1254,761,10427
E02000547,Hounslow 022,4022,917,437,3677,65,1245,636,10999
E02000548,Hounslow 023,2964,1002,429,4151,59,1441,530,10576
E02000549,Hounslow 024,4374,681,536,4335,124,1623,861,12534
E02000550,Hounslow 025,3341,1011,428,3911,107,1321,593,10712
E02000551,Hounslow 026,2482,997,447,3942,49,1280,555,9752
E02000552,Hounslow 027,2149,723,602,3855,74,1463,394,9260
E02000553,Hounslow 028,1387,564,344,3412,57,875,477,7116
E02000554,Islington 001,702,1805,759,3340,349,1590,811,9356
E02000555,Islington 002,737,1332,664,4025,393,1683,737,9571
E02000556,Islington 003,1306,1437,823,4445,467,2121,797,11396
E02000557,Islington 004,731,1149,835,3486,394,1665,519,8779
E02000558,Islington 005,1094,2597,678,2320,235,1430,1079,9433
E02000559,Islington 006,772,1358,665,4192,362,1668,564,9581
E02000560,Islington 007,728,872,551,2752,253,1599,600,7355
E02000561,Islington 008,437,624,580,3718,270,1415,340,7384
E02000562,Islington 009,667,946,562,3471,302,1355,561,7864
E02000563,Islington 010,760,1380,755,3149,238,1580,821,8683
E02000564,Islington 011,1708,1422,966,4542,412,2584,785,12419
E02000565,Islington 012,637,1656,644,3247,233,1443,682,8542
E02000566,Islington 013,636,674,640,4070,272,1851,414,8557
E02000567,Islington 014,682,1084,830,4824,386,2030,602,10438
E02000568,Islington 015,1509,1791,947,3884,321,2003,887,11342
E02000569,Islington 016,816,1130,756,4387,316,1835,699,9939
E02000570,Islington 017,487,505,629,4402,300,1636,327,8286
E02000571,Islington 018,721,1046,683,3666,272,2030,504,8922
E02000572,Islington 019,1342,1561,665,2601,209,1462,762,8602
E02000573,Islington 020,1102,845,681,4672,306,2246,461,10313
E02000574,Islington 021,1066,744,539,3088,284,1665,447,7833
E02000575,Islington 022,1512,1163,698,4084,256,2644,956,11313
E02000576,Islington 023,1380,1622,678,3724,229,2064,976,10673
E02000577,Kensington and Chelsea 001,830,1581,767,1684,146,1340,1363,7711
E02000578,Kensington and Chelsea 002,448,1083,443,1964,147,1069,851,6005
E02000579,Kensington and Chelsea 003,846,1344,657,3412,207,1672,855,8993
E02000580,Kensington and Chelsea 004,853,1148,725,2463,174,1644,888,7895
E02000581,Kensington and Chelsea 005,963,1396,661,2019,103,1274,977,7393
E02000582,Kensington and Chelsea 006,721,273,437,2400,108,2116,490,6545
E02000583,Kensington and Chelsea 007,509,418,423,2826,153,1744,355,6428
E02000584,Kensington and Chelsea 008,736,287,521,2558,94,2444,534,7174
E02000585,Kensington and Chelsea 009,1344,533,492,2195,137,2398,988,8087
E02000586,Kensington and Chelsea 010,987,97,284,1827,96,2549,634,6474
E02000587,Kensington and Chelsea 011,780,159,382,2128,179,2170,695,6493
E02000588,Kensington and Chelsea 012,663,99,349,1994,97,2321,460,5983
E02000589,Kensington and Chelsea 013,1351,349,475,1692,98,2594,691,7250
E02000590,Kensington and Chelsea 014,919,394,359,1985,92,1613,613,5975
E02000591,Kensington and Chelsea 015,1072,482,397,1342,117,1819,983,6212
E02000592,Kensington and Chelsea 016,740,102,309,1835,94,2317,366,5763
E02000593,Kensington and Chelsea 017,878,243,439,2094,147,3095,497,7393
E02000594,Kensington and Chelsea 018,466,263,274,3141,181,1804,353,6482
E02000595,Kensington and Chelsea 019,482,190,277,2820,154,1881,361,6165
E02000596,Kensington and Chelsea 020,595,141,385,2456,188,2458,393,6616
E02000597,Kensington and Chelsea 021,842,696,465,2051,113,1365,804,6336
E02000598,Kingston upon Thames 001,1232,133,476,4545,146,1248,313,8093
E02000599,Kingston upon Thames 002,1678,209,357,2790,115,950,910,7009
E02000600,Kingston upon Thames 003,1565,293,510,4059,99,1268,566,8360
E02000601,Kingston upon Thames 004,1927,277,730,6330,182,1863,593,11902
E02000602,Kingston upon Thames 005,1726,598,630,4936,141,1589,693,10313
E02000603,Kingston upon Thames 006,2199,377,469,3560,100,1189,744,8638
E02000604,Kingston upon Thames 007,2477,206,535,4192,146,1176,510,9242
E02000605,Kingston upon Thames 008,1863,153,466,4287,149,1046,524,8488
E02000606,Kingston upon Thames 009,1426,242,599,5481,181,1981,652,10562
E02000607,Kingston upon Thames 010,628,229,388,4371,147,829,203,6795
E02000608,Kingston upon Thames 011,898,186,406,3989,120,1339,262,7200
E02000609,Kingston upon Thames 012,2382,206,335,3203,117,708,674,7625
E02000610,Kingston upon Thames 013,991,240,412,4643,144,1213,310,7953
E02000611,Kingston upon Thames 014,1263,113,370,4557,157,640,337,7437
E02000612,Kingston upon Thames 015,1910,160,414,4419,158,681,510,8252
E02000613,Kingston upon Thames 016,868,225,451,5143,134,1003,273,8097
E02000614,Kingston upon Thames 017,2520,381,436,4056,104,1124,673,9294
E02000615,Kingston upon Thames 018,975,161,354,5251,105,754,282,7882
E02000616,Kingston upon Thames 019,511,125,271,4400,90,536,130,6063
E02000617,Kingston upon Thames 020,900,223,389,6077,100,771,404,8864
E02000619,Lambeth 002,682,2753,762,2805,155,1361,581,9099
E02000620,Lambeth 003,759,2322,784,3463,182,1623,712,9845
E02000621,Lambeth 004,1562,2181,865,4072,263,2684,893,12520
E02000622,Lambeth 005,548,1932,765,3161,170,1342,481,8399
E02000623,Lambeth 006,400,2446,531,2211,141,1482,648,7859
E02000624,Lambeth 007,520,2928,776,3309,199,1358,543,9633
E02000625,Lambeth 008,699,3012,739,2335,126,1628,766,9305
E02000626,Lambeth 009,440,3761,767,1825,105,834,633,8365
E02000627,Lambeth 010,539,2728,715,3420,218,1413,520,9553
E02000628,Lambeth 011,540,3992,965,2462,154,1805,867,10785
E02000629,Lambeth 012,516,1542,617,4327,306,1466,345,9119
E02000630,Lambeth 013,347,1032,516,3902,245,1274,222,7538
E02000631,Lambeth 014,683,2108,776,4124,201,1152,481,9525
E02000632,Lambeth 015,449,1501,647,5045,279,1348,317,9586
E02000633,Lambeth 016,506,3218,785,2970,169,1023,488,9159
E02000634,Lambeth 017,385,1611,497,2671,187,1018,404,6773
E02000635,Lambeth 018,573,2484,802,4055,263,1184,451,9812
E02000636,Lambeth 019,421,680,441,4468,260,1235,213,7718
E02000637,Lambeth 020,354,1428,616,4089,222,1159,536,8404
E02000638,Lambeth 021,641,2781,892,3762,222,1399,560,10257
E02000639,Lambeth 022,484,2645,777,2233,131,1339,712,8321
E02000640,Lambeth 023,666,1247,609,5007,274,1148,342,9293
E02000641,Lambeth 024,434,3689,704,2024,112,974,692,8629
E02000642,Lambeth 025,526,2141,875,4406,199,1309,353,9809
E02000643,Lambeth 026,625,2004,700,3815,224,1453,557,9378
E02000644,Lambeth 027,585,1607,792,3550,157,1411,418,8520
E02000645,Lambeth 028,555,1904,838,4183,183,1380,491,9534
E02000646,Lambeth 029,1330,1076,815,3857,250,1654,516,9498
E02000647,Lambeth 030,697,1622,812,3608,147,1312,394,8592
E02000648,Lambeth 031,432,2778,795,2535,131,783,370,7824
E02000649,Lambeth 032,987,2155,1099,4770,291,2334,842,12478
E02000650,Lambeth 033,356,1993,699,3213,219,883,300,7663
E02000651,Lambeth 034,807,1747,740,3298,173,1531,445,8741
E02000652,Lambeth 035,1374,1852,566,1668,84,1526,489,7559
E02000653,Lewisham 001,1737,3518,828,3066,171,2497,791,12608
E02000654,Lewisham 002,1057,3547,661,1944,128,996,453,8786
E02000655,Lewisham 003,891,3528,952,2624,103,1495,690,10283
E02000657,Lewisham 005,738,2742,806,3640,202,1268,510,9906
E02000658,Lewisham 006,524,2232,716,3405,170,1054,518,8619
E02000659,Lewisham 007,756,1572,595,3592,153,1105,290,8063
E02000660,Lewisham 008,705,1644,665,3373,205,1271,343,8206
E02000661,Lewisham 009,418,807,504,3482,112,931,239,6493
E02000662,Lewisham 010,524,2789,696,2825,133,989,339,8295
E02000663,Lewisham 011,473,1586,555,2925,145,854,257,6795
E02000665,Lewisham 013,567,1478,588,3795,177,1243,307,8155
E02000666,Lewisham 014,591,1572,615,3161,184,782,286,7191
E02000667,Lewisham 015,440,1239,539,3273,188,776,234,6689
E02000668,Lewisham 016,665,1061,571,3320,164,792,288,6861
E02000669,Lewisham 017,861,1828,799,2857,113,1194,320,7972
E02000670,Lewisham 018,494,2530,597,1727,59,891,409,6707
E02000671,Lewisham 019,484,1667,736,4251,194,1076,332,8740
E02000672,Lewisham 020,1102,2906,884,3178,149,1556,497,10272
E02000673,Lewisham 021,494,1289,667,4230,184,1014,260,8138
E02000674,Lewisham 022,758,2649,633,2884,169,983,377,8453
E02000675,Lewisham 023,876,1721,698,3764,137,976,355,8527
E02000676,Lewisham 024,460,1633,700,3757,159,863,244,7816
E02000677,Lewisham 025,796,2305,561,2238,147,709,453,7209
E02000678,Lewisham 026,559,2539,511,2384,77,627,264,6961
E02000679,Lewisham 027,571,2027,678,3496,139,895,327,8133
E02000680,Lewisham 028,503,1752,605,2868,130,851,326,7035
E02000681,Lewisham 029,748,2835,662,3000,98,748,382,8473
E02000682,Lewisham 030,1084,3267,697,2464,67,810,543,8932
E02000683,Lewisham 031,464,1955,518,2646,77,779,329,6768
E02000685,Lewisham 033,518,2092,712,3367,137,933,372,8131
E02000686,Lewisham 034,690,2889,614,2124,72,745,401,7535
E02000687,Lewisham 035,500,2145,648,3635,190,883,265,8266
E02000689,Merton 001,1007,327,539,4866,212,1763,340,9054
E02000690,Merton 002,599,90,287,3347,113,897,191,5524
E02000691,Merton 003,944,343,396,3791,203,1406,272,7355
E02000692,Merton 004,1132,168,425,3919,212,1552,247,7655
E02000693,Merton 005,1484,781,726,4091,244,2075,449,9850
E02000694,Merton 006,1099,407,543,4802,230,1704,318,9103
E02000695,Merton 007,2392,1405,475,2254,156,1439,520,8641
E02000696,Merton 008,1802,1150,499,2709,143,1809,518,8630
E02000697,Merton 009,1331,236,610,4117,260,1843,332,8729
E02000698,Merton 010,1231,200,471,4476,237,1381,239,8235
E02000699,Merton 011,1324,159,584,4133,220,1545,249,8214
E02000700,Merton 012,1601,1471,511,2876,104,1627,472,8662
E02000701,Merton 013,2597,1518,508,2109,142,1519,616,9009
E02000702,Merton 014,1635,2467,695,2588,103,1364,471,9323
E02000703,Merton 015,1471,330,450,3995,206,1243,269,7964
E02000704,Merton 016,1269,487,556,3972,203,1758,356,8601
E02000705,Merton 017,2258,2094,604,2082,94,1579,616,9327
E02000706,Merton 018,2321,2220,625,2623,93,1545,608,10035
E02000707,Merton 019,1430,2923,533,2052,46,945,376,8305
E02000708,Merton 020,1857,361,496,4281,232,1203,455,8885
E02000709,Merton 021,1373,305,380,4217,256,1196,250,7977
E02000710,Merton 022,2013,1357,504,3236,169,1445,462,9186
E02000711,Merton 023,2458,705,529,3285,135,1811,526,9449
E02000712,Merton 024,2260,1038,470,4076,171,1175,479,9669
E02000713,Merton 025,1131,344,351,4774,150,787,268,7805
E02000714,Newham 001,2381,1638,434,1600,88,1259,311,7711
E02000715,Newham 002,4101,1373,258,541,33,702,289,7297
E02000716,Newham 003,3826,1044,295,1020,34,837,295,7351
E02000717,Newham 004,5184,1048,268,584,52,767,454,8357
E02000718,Newham 005,4053,1570,282,581,33,569,318,7406
E02000719,Newham 006,2434,1673,491,1398,63,1644,370,8073
E02000720,Newham 007,4120,936,299,1118,51,697,268,7489
E02000721,Newham 008,6157,1153,290,670,27,849,397,9543
E02000722,Newham 009,2380,1506,499,1524,76,1745,410,8140
E02000723,Newham 010,8336,760,196,456,33,956,458,11195
E02000724,Newham 011,6717,1238,215,510,32,863,457,10032
E02000725,Newham 012,2891,2059,587,1728,86,2081,552,9984
E02000727,Newham 014,5996,813,205,389,28,761,327,8519
E02000728,Newham 015,5464,453,183,643,19,1246,517,8525
E02000729,Newham 016,3153,1361,291,1001,34,1176,312,7328
E02000730,Newham 017,7288,740,249,437,28,824,364,9930
E02000731,Newham 018,6754,725,273,617,24,1044,525,9962
E02000732,Newham 019,4841,1486,314,845,31,811,572,8900
E02000733,Newham 020,2788,2558,762,1674,43,1739,532,10096
E02000734,Newham 021,2407,1776,368,1110,54,1204,383,7302
E02000735,Newham 022,4572,1399,284,900,45,1036,374,8610
E02000736,Newham 023,4576,1442,379,1203,27,1065,512,9204
E02000737,Newham 024,4836,1541,405,1465,53,1508,571,10379
E02000738,Newham 025,4981,1080,418,1194,51,1354,498,9576
E02000739,Newham 026,2588,1723,367,1053,36,1457,500,7724
E02000740,Newham 027,1755,1735,434,1324,42,1128,352,6770
E02000741,Newham 028,3253,1495,380,1401,46,1185,485,8245
E02000742,Newham 029,3494,1612,390,1388,29,1411,376,8700
E02000743,Newham 030,2742,2894,561,1811,42,1679,552,10281
E02000744,Newham 031,2272,1838,519,2172,51,1802,519,9173
E02000745,Newham 032,2172,1849,412,1656,39,2097,372,8597
E02000746,Newham 033,2557,1953,552,1977,56,1852,481,9428
E02000747,Newham 034,3370,2707,801,2803,68,2630,717,13096
E02000748,Newham 035,1192,1062,331,1352,32,2026,278,6273
E02000749,Newham 036,1640,2938,596,2269,56,1644,409,9552
E02000751,Redbridge 001,2166,566,572,6069,252,1160,375,11160
E02000752,Redbridge 002,2048,1024,447,3500,48,1380,335,8782
E02000753,Redbridge 003,1491,676,359,2864,48,1201,281,6920
E02000754,Redbridge 004,1261,529,457,3190,146,923,261,6767
E02000755,Redbridge 005,983,461,332,2670,89,748,199,5482
E02000756,Redbridge 006,4721,1116,649,5100,70,2280,658,14594
E02000757,Redbridge 007,2554,736,770,6080,238,1520,495,12393
E02000758,Redbridge 008,3179,664,231,1699,40,525,546,6884
E02000759,Redbridge 009,3195,1384,805,5024,214,1831,635,13088
E02000760,Redbridge 010,3025,701,316,2089,57,914,432,7534
E02000762,Redbridge 012,3945,340,186,1119,17,564,451,6622
E02000763,Redbridge 013,4151,622,245,1456,55,946,540,8015
E02000764,Redbridge 014,2675,577,764,5899,414,1577,401,12307
E02000765,Redbridge 015,4433,272,322,1040,44,920,493,7524
E02000767,Redbridge 017,4837,495,251,1440,46,971,585,8625
E02000768,Redbridge 018,1189,317,379,3028,202,498,172,5785
E02000770,Redbridge 020,4923,619,255,829,65,821,613,8125
E02000772,Redbridge 022,4991,868,330,913,51,759,467,8379
E02000773,Redbridge 023,6862,1193,314,934,33,717,682,10735
E02000774,Redbridge 024,4936,571,211,712,63,1049,567,8109
E02000776,Redbridge 026,4527,634,218,689,48,627,297,7040
E02000777,Redbridge 027,1085,445,461,3020,176,615,201,6003
E02000779,Redbridge 029,5226,771,212,712,54,963,480,8418
E02000781,Redbridge 031,10922,1164,470,1620,110,1094,912,16292
E02000782,Redbridge 032,7050,1572,369,750,55,1042,649,11487
E02000783,Redbridge 033,4182,1027,261,474,34,981,436,7395
E02000784,Richmond upon Thames 001,795,189,593,5993,264,1902,394,10130
E02000785,Richmond upon Thames 002,726,108,597,6071,228,1670,314,9714
E02000786,Richmond upon Thames 003,671,236,569,7386,292,1876,343,11373
E02000787,Richmond upon Thames 004,1361,318,857,6359,291,2264,636,12086
E02000788,Richmond upon Thames 005,535,97,570,5937,196,1402,357,9094
E02000789,Richmond upon Thames 006,621,87,336,3589,170,1241,257,6301
E02000790,Richmond upon Thames 007,380,63,337,4389,222,1045,149,6585
E02000791,Richmond upon Thames 008,568,86,405,3389,194,1626,204,6472
E02000792,Richmond upon Thames 009,405,93,379,4411,200,1465,195,7148
E02000793,Richmond upon Thames 010,1202,205,411,4769,272,908,340,8107
E02000794,Richmond upon Thames 011,813,109,380,4202,184,1083,245,7016
E02000795,Richmond upon Thames 012,417,77,387,4402,121,1314,209,6927
E02000796,Richmond upon Thames 013,2877,492,572,5247,224,1138,536,11086
E02000797,Richmond upon Thames 014,466,148,426,5167,252,1243,168,7870
E02000798,Richmond upon Thames 015,1051,230,641,7314,286,1405,379,11306
E02000799,Richmond upon Thames 016,437,106,279,4728,233,722,99,6604
E02000800,Richmond upon Thames 017,465,125,337,3132,85,989,278,5411
E02000801,Richmond upon Thames 018,374,91,321,5182,191,776,175,7110
E02000802,Richmond upon Thames 019,402,99,347,5143,184,715,136,7026
E02000803,Richmond upon Thames 020,1060,298,584,6135,187,1114,338,9716
E02000804,Richmond upon Thames 021,360,90,330,5211,174,863,121,7149
E02000805,Richmond upon Thames 022,703,192,552,7457,228,1350,273,10755
E02000806,Richmond upon Thames 023,780,156,453,7480,187,1039,203,10298
E02000807,Southwark 001,1171,629,581,3290,174,2024,357,8226
E02000808,Southwark 002,1931,1317,628,3407,232,2143,510,10168
E02000810,Southwark 004,1124,2621,831,4320,217,2126,657,11896
E02000812,Southwark 006,1634,2613,764,3035,248,1783,711,10788
E02000813,Southwark 007,1168,2172,688,3402,151,2039,602,10222
E02000814,Southwark 008,1320,1256,646,3702,194,2662,513,10293
E02000815,Southwark 009,1596,1433,483,2054,153,1322,572,7613
E02000816,Southwark 010,845,2043,640,3543,168,1736,634,9609
E02000817,Southwark 011,686,1734,406,2542,105,954,394,6821
E02000818,Southwark 012,1122,2472,644,3111,217,1512,712,9790
E02000819,Southwark 013,765,2692,612,2391,105,1046,888,8499
E02000820,Southwark 014,1051,2446,625,2881,198,1433,611,9245
E02000821,Southwark 015,728,3618,740,1685,97,1028,1460,9356
E02000822,Southwark 016,625,2461,460,1750,105,771,547,6719
E02000823,Southwark 017,769,2772,663,2431,159,1131,760,8685
E02000824,Southwark 018,948,4836,716,1762,105,710,826,9903
E02000825,Southwark 019,954,5027,788,1681,113,862,800,10225
E02000826,Southwark 020,754,3358,678,3016,171,1093,811,9881
E02000827,Southwark 021,947,4362,841,2643,211,1231,1076,11311
E02000828,Southwark 022,942,3494,558,2131,122,828,740,8815
E02000829,Southwark 023,874,3824,835,3648,185,967,592,10925
E02000830,Southwark 024,642,1703,730,4171,197,1012,429,8884
E02000831,Southwark 025,518,2161,725,4425,204,927,396,9356
E02000832,Southwark 026,475,3357,804,3714,181,755,402,9688
E02000833,Southwark 027,751,2462,543,2413,152,712,454,7487
E02000834,Southwark 028,417,1162,706,5510,261,1089,243,9388
E02000835,Southwark 029,313,1603,619,3965,202,703,274,7679
E02000836,Southwark 030,549,902,679,4853,254,849,210,8296
E02000837,Southwark 031,545,438,575,5598,219,1023,164,8562
E02000838,Southwark 032,581,1440,729,4854,250,1166,476,9496
E02000839,Southwark 033,828,1686,704,3746,159,988,370,8481
E02000840,Sutton 001,1440,819,520,5148,72,972,350,9321
E02000841,Sutton 002,1747,715,450,4800,88,993,395,9188
E02000842,Sutton 003,1717,380,338,4756,145,593,353,8282
E02000843,Sutton 004,1238,752,621,5343,129,1084,306,9473
E02000844,Sutton 005,1154,673,393,5304,107,730,295,8656
E02000845,Sutton 006,1469,293,529,5618,169,996,346,9420
E02000846,Sutton 007,1615,385,349,4048,94,868,256,7615
E02000847,Sutton 008,1629,169,367,6014,190,712,340,9421
E02000848,Sutton 009,1545,223,288,5209,148,434,292,8139
E02000849,Sutton 010,986,568,346,5328,114,608,227,8177
E02000850,Sutton 011,2040,977,529,6180,122,626,362,10836
E02000851,Sutton 012,2147,975,659,5051,155,2054,540,11581
E02000852,Sutton 013,1183,406,400,4814,133,992,217,8145
E02000853,Sutton 014,1426,372,411,4520,129,1032,281,8171
E02000854,Sutton 015,734,274,376,5302,179,647,99,7611
E02000855,Sutton 016,1269,157,357,5550,147,505,219,8204
E02000856,Sutton 017,1918,656,538,5102,137,733,246,9330
E02000857,Sutton 018,1893,573,459,4133,127,1461,349,8995
E02000858,Sutton 019,1526,1001,480,4624,84,520,331,8566
E02000859,Sutton 020,1285,498,371,5477,131,499,226,8487
E02000860,Sutton 021,1722,611,420,4021,133,1466,412,8785
E02000861,Sutton 022,1441,279,321,4945,139,481,170,7776
E02000863,Sutton 024,1406,467,284,3948,97,364,171,6737
E02000864,Tower Hamlets 001,3510,1073,708,4086,201,1347,337,11262
E02000865,Tower Hamlets 002,3239,621,386,2327,113,868,407,7961
E02000866,Tower Hamlets 003,3048,558,625,4579,208,1291,335,10644
E02000867,Tower Hamlets 004,3279,913,717,4042,187,1773,417,11328
E02000868,Tower Hamlets 005,2619,411,402,2065,149,1264,288,7198
E02000869,Tower Hamlets 006,1956,442,325,1945,106,939,218,5931
E02000870,Tower Hamlets 007,2478,456,277,2076,85,802,200,6374
E02000871,Tower Hamlets 008,6078,1261,594,1839,93,1219,429,11513
E02000872,Tower Hamlets 009,3558,493,432,1870,118,1366,309,8146
E02000873,Tower Hamlets 010,4430,1017,449,2208,84,1326,336,9850
E02000874,Tower Hamlets 011,4182,532,287,1385,82,785,243,7496
E02000875,Tower Hamlets 012,6761,1436,598,2647,123,1550,457,13572
E02000876,Tower Hamlets 013,3861,380,355,1315,105,986,272,7274
E02000877,Tower Hamlets 014,6627,1229,743,2831,113,1731,535,13809
E02000878,Tower Hamlets 015,5051,488,430,1813,122,2150,379,10433
E02000879,Tower Hamlets 016,4428,452,337,1774,88,885,379,8343
E02000880,Tower Hamlets 017,3668,427,264,1101,63,713,278,6514
E02000881,Tower Hamlets 018,5176,1314,559,1887,91,1375,429,10831
E02000882,Tower Hamlets 019,6718,887,504,2039,85,1030,238,11501
E02000883,Tower Hamlets 020,4853,1009,339,1820,53,944,270,9288
E02000884,Tower Hamlets 021,6560,568,586,1888,128,2472,567,12769
