Middle layer Super Output Areas Code,Middle layer Super Output Areas,Asian_Asian_British_or_Asian_Welsh,Black_Black_British_Black_Welsh_Caribbean_or_African,Mixed_or_Multiple_ethnic_groups,White_English_Welsh_Scottish_Northern_Irish_or_British,White_Irish,White_Gypsy_or_Irish_Traveller_Roma_or_Other_White,Other_ethnic_group,Total
E02000234,Croydon 041,1452,1212,803,5006,130,598,249,9450
E02000235,Croydon 042,769,561,416,4492,105,403,144,6890
E02000236,Croydon 043,1101,826,572,5814,155,502,161,9131
E02000237,Croydon 044,494,501,471,5553,153,337,92,7601
E02000238,Ealing 001,3450,1393,496,2039,244,2120,965,10707
E02000239,Ealing 002,3635,726,343,1362,198,1856,920,9040
E02000240,Ealing 003,3129,1832,604,2576,179,1788,1104,11212
E02000241,Ealing 004,2194,969,322,1624,146,1281,854,7390
E02000242,Ealing 005,2842,483,226,895,129,1284,1026,6885
E02000243,Ealing 006,2351,1046,420,1721,212,1957,1016,8723
E02000244,Ealing 007,1676,640,390,1466,162,1991,1562,7887
E02000245,Ealing 008,2530,1927,589,1993,98,1172,999,9308
E02000246,Ealing 009,2635,1762,530,2206,171,1028,1129,9461
E02000247,Ealing 010,3436,1818,671,2149,203,1602,1276,11155
E02000248,Ealing 011,1633,447,355,1429,118,2037,1696,7715
E02000249,Ealing 012,2562,1070,390,1653,259,1360,1084,8378
E02000250,Ealing 013,905,260,423,2919,235,1161,583,6486
E02000251,Ealing 014,4325,749,308,811,211,1007,901,8312
E02000252,Ealing 015,2279,1928,833,2699,239,2670,1590,12238
E02000253,Ealing 016,2083,1807,802,2624,310,1668,1049,10343
E02000254,Ealing 017,6438,495,146,492,33,428,1177,9209
E02000255,Ealing 018,1564,1337,616,3342,333,1700,970,9862
E02000256,Ealing 019,1674,505,617,3295,304,2069,719,9183
E02000258,Ealing 021,1269,593,376,1984,214,1485,980,6901
E02000259,Ealing 022,904,571,481,2518,309,1346,454,6583
E02000260,Ealing 023,7430,644,150,403,15,289,906,9837
E02000261,Ealing 024,1738,1722,892,3014,222,2910,2154,12652
E02000262,Ealing 025,1096,1067,706,3198,270,2021,990,9348
E02000263,Ealing 026,10792,981,212,290,28,228,1175,13706
E02000264,Ealing 027,1526,567,520,2886,257,2050,690,8496
E02000265,Ealing 028,1731,1271,813,3803,423,2204,988,11233
E02000266,Ealing 029,5559,2864,623,1512,142,969,1445,13114
E02000267,Ealing 030,1054,822,505,3264,445,1615,445,8150
E02000268,Ealing 031,1209,615,591,4132,293,1772,639,9251
E02000269,Ealing 032,966,350,482,3911,368,1671,419,8167
E02000270,Ealing 033,1282,1861,549,2747,210,1959,999,9607
E02000271,Ealing 034,551,324,442,3445,232,1601,358,6953
E02000272,Ealing 035,963,363,435,3282,333,1047,290,6713
E02000275,Ealing 038,5482,619,171,521,61,207,1110,8171
E02000276,Ealing 039,778,475,452,2937,301,1521,297,6761
E02000277,Enfield 001,494,1859,517,2420,90,1128,1015,7523
E02000278,Enfield 002,714,2274,634,2970,64,1417,1356,9429
E02000279,Enfield 003,920,3780,888,2993,79,1991,1669,12320
E02000280,Enfield 004,402,794,522,5221,212,900,581,8632
E02000281,Enfield 005,897,1659,708,3705,148,1343,1193,9653
E02000282,Enfield 006,903,2817,564,2592,93,1522,1460,9951
E02000283,Enfield 007,799,1991,502,2476,89,1404,1277,8538
E02000284,Enfield 008,591,808,599,4749,267,1245,482,8741
E02000285,Enfield 009,558,464,350,3662,310,883,415,6642
E02000286,Enfield 010,718,607,539,4753,209,1276,586,8688
E02000287,Enfield 011,1109,336,412,3147,174,1375,801,7354
E02000288,Enfield 012,2403,3788,566,2496,120,1740,1671,12784
E02000289,Enfield 013,945,375,393,3016,168,1100,777,6774
E02000290,Enfield 014,953,1979,414,1302,49,961,1026,6684
E02000291,Enfield 015,826,1458,739,3922,216,2040,958,10159
E02000292,Enfield 016,1036,1542,710,3375,229,1740,1204,9836
E02000293,Enfield 017,653,329,313,3391,230,986,494,6396
E02000294,Enfield 018,1314,2668,406,1866,78,1487,1551,9370
E02000295,Enfield 019,1220,576,600,3127,240,1989,940,8692
E02000296,Enfield 020,1578,644,579,3395,146,2903,1098,10343
E02000297,Enfield 021,1172,756,519,3925,281,1645,1100,9398
E02000298,Enfield 022,665,304,586,4241,391,1427,640,8254
E02000299,Enfield 023,1199,3045,450,1473,98,1695,1533,9493
E02000300,Enfield 024,1175,2449,448,1555,94,1946,1188,8855
E02000301,Enfield 025,1079,3440,613,1817,87,1669,1515,10220
E02000302,Enfield 026,1093,1027,528,2593,252,2117,1058,8668
E02000303,Enfield 027,1179,2221,416,1696,43,1628,1184,8367
E02000304,Enfield 028,1108,303,649,3258,292,1710,723,8043
E02000305,Enfield 029,711,562,521,3430,299,2553,802,8878
E02000306,Enfield 030,1062,3346,441,1403,48,1357,1477,9134
E02000307,Enfield 031,1481,2017,488,1768,101,2604,1654,10113
E02000308,Enfield 032,1528,976,526,2555,210,2165,799,8759
E02000309,Enfield 033,1545,3992,656,1689,89,2157,1669,11797
E02000311,Enfield 035,1518,1385,566,2079,123,3244,1629,10544
E02000312,Enfield 036,1309,975,698,3588,269,3452,1009,11300
E02000313,Greenwich 001,352,2823,301,2296,29,518,170,6489
E02000314,Greenwich 002,1472,6195,1002,3172,102,1573,590,14106
