Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_qualifications,Level_1_and_entry_level_qualifications,Level_2_qualifications,Apprenticeship,Level_3_qualifications,Level_4_qualifications_or_above,Other,Does_not_apply,total
E02004596,Uttlesford 006,1218,884,1369,442,1534,2602,219,2352,10620
E02004597,Uttlesford 007,1110,784,1216,387,1368,2231,176,1752,9024
E02004598,Uttlesford 008,1262,825,1509,493,1527,3021,227,2172,11036
E02004599,Uttlesford 009,965,678,1013,359,1134,2058,154,1434,7795
E02004675,Basingstoke and Deane 001,998,716,975,337,1269,1776,158,1494,7723
E02004676,Basingstoke and Deane 002,851,670,1037,349,1214,2441,159,1264,7985
E02004677,Basingstoke and Deane 003,641,576,856,259,1062,2580,137,1459,7570
E02004678,Basingstoke and Deane 004,855,614,896,346,1081,2378,141,1267,7578
E02004679,Basingstoke and Deane 005,988,762,1187,359,1622,3743,162,2290,11113
E02004680,Basingstoke and Deane 006,478,566,844,234,1279,2742,134,1571,7848
E02004681,Basingstoke and Deane 007,1940,1368,1772,544,2036,3390,321,3566,14937
E02004682,Basingstoke and Deane 008,842,719,1012,295,1191,2481,160,1639,8339
E02004683,Basingstoke and Deane 009,1127,853,956,306,1058,2141,226,1494,8161
E02004684,Basingstoke and Deane 010,1286,1009,1346,419,1588,3171,194,2362,11375
E02004685,Basingstoke and Deane 011,975,654,842,314,1150,2566,233,1155,7889
E02004686,Basingstoke and Deane 012,1181,741,889,302,1151,2768,250,1548,8830
E02004687,Basingstoke and Deane 013,1093,866,935,332,990,1473,168,1835,7692
E02004688,Basingstoke and Deane 014,1451,893,941,396,1092,1400,189,1486,7848
E02004689,Basingstoke and Deane 015,666,450,683,258,855,1758,118,902,5690
E02004690,Basingstoke and Deane 016,977,799,1008,393,1293,2041,188,1424,8123
