Middle layer Super Output Areas Code,Middle layer Super Output Areas,No_qualifications,Level_1_and_entry_level_qualifications,Level_2_qualifications,Apprenticeship,Level_3_qualifications,Level_4_qualifications_or_above,Other,Does_not_apply,total
E02000796,Richmond upon Thames 013,1585,846,1063,360,1234,3402,276,2322,11088
E02000797,Richmond upon Thames 014,399,227,466,109,757,4232,92,1586,7868
E02000798,Richmond upon Thames 015,916,571,914,268,1180,4657,188,2612,11306
E02000799,Richmond upon Thames 016,327,223,484,112,1089,3156,80,1131,6602
E02000800,Richmond upon Thames 017,587,283,435,152,515,2047,108,1284,5411
E02000801,Richmond upon Thames 018,372,248,496,115,718,3589,76,1496,7110
E02000802,Richmond upon Thames 019,513,263,519,164,700,3410,93,1360,7022
E02000803,Richmond upon Thames 020,1135,634,929,300,1072,3542,211,1893,9716
E02000804,Richmond upon Thames 021,465,258,507,133,681,3702,120,1283,7149
E02000805,Richmond upon Thames 022,750,392,799,184,1011,5407,168,2042,10753
E02000806,Richmond upon Thames 023,819,500,859,225,1046,4728,165,1957,10299
E02000807,Southwark 001,733,322,425,156,662,4700,170,1060,8228
E02000808,Southwark 002,800,319,509,177,1702,5542,247,872,10168
E02000810,Southwark 004,1490,625,766,257,1134,5379,234,2010,11895
E02000812,Southwark 006,1295,569,735,255,1353,4696,212,1673,10788
E02000813,Southwark 007,1265,549,680,231,1021,4581,192,1700,10219
E02000814,Southwark 008,831,424,532,179,903,5750,253,1419,10291
E02000815,Southwark 009,621,306,368,120,1168,3972,153,907,7615
E02000816,Southwark 010,1478,694,722,292,939,3616,213,1655,9609
E02000817,Southwark 011,1288,452,572,188,640,2256,203,1222,6821
E02000818,Southwark 012,1272,496,615,269,1043,4539,204,1353,9791
E02000819,Southwark 013,1339,623,659,232,994,2886,223,1543,8499
E02000820,Southwark 014,1139,494,650,198,1057,4117,205,1384,9244
E02000821,Southwark 015,1496,777,696,284,825,3089,226,1965,9358
E02000822,Southwark 016,1103,453,502,197,734,2289,144,1296,6718
E02000823,Southwark 017,1233,525,668,219,920,3559,192,1368,8684
E02000824,Southwark 018,1457,664,933,259,1073,3249,237,2031,9903
E02000825,Southwark 019,1474,674,754,236,1224,3653,212,1997,10224
E02000826,Southwark 020,1299,565,672,258,1115,4123,215,1634,9881
E02000827,Southwark 021,1517,741,833,264,1122,4612,284,1938,11311
E02000828,Southwark 022,1299,572,647,225,971,3380,197,1522,8813
E02000829,Southwark 023,1495,641,692,253,1140,4618,237,1850,10926
E02000830,Southwark 024,760,378,541,126,779,4910,144,1242,8880
E02000831,Southwark 025,879,382,573,165,824,4860,108,1563,9354
E02000832,Southwark 026,1405,605,717,241,930,3971,151,1669,9689
E02000833,Southwark 027,830,374,543,157,646,3247,147,1542,7486
E02000834,Southwark 028,662,304,468,123,870,5262,115,1584,9388
E02000835,Southwark 029,695,357,501,132,649,3486,123,1740,7683
E02000836,Southwark 030,625,274,459,127,591,4462,82,1677,8297
E02000837,Southwark 031,496,189,426,83,542,4799,55,1969,8559
E02000838,Southwark 032,853,365,625,190,820,4642,138,1864,9497
E02000839,Southwark 033,747,329,613,132,779,3895,124,1867,8486
E02000840,Sutton 001,1537,784,977,356,1077,2090,246,2256,9323
E02000841,Sutton 002,1591,851,1000,322,1088,2068,229,2039,9188
E02000842,Sutton 003,1129,706,894,367,1161,2172,243,1607,8279
E02000843,Sutton 004,951,680,948,282,1167,3140,195,2112,9475
E02000844,Sutton 005,1262,800,952,291,1132,2107,210,1904,8658
E02000845,Sutton 006,970,591,904,324,1165,3147,201,2117,9419
E02000846,Sutton 007,975,565,775,270,942,2337,196,1558,7618
E02000847,Sutton 008,1111,645,962,371,1238,3037,218,1839,9421
E02000848,Sutton 009,961,635,951,336,1216,2120,166,1754,8139
E02000849,Sutton 010,981,612,924,277,1036,2436,179,1736,8181
E02000850,Sutton 011,1373,922,1218,406,1478,3044,220,2175,10836
E02000851,Sutton 012,1421,787,1050,376,1278,3822,310,2537,11581
E02000852,Sutton 013,911,561,815,315,1028,2617,181,1719,8147
E02000853,Sutton 014,925,595,840,310,991,2457,195,1858,8171
E02000854,Sutton 015,681,472,761,250,944,2790,125,1589,7612
E02000855,Sutton 016,820,528,872,308,1061,2880,157,1577,8203
E02000856,Sutton 017,896,623,986,298,1233,3171,187,1936,9330
E02000857,Sutton 018,957,555,779,244,963,3542,239,1716,8995
E02000858,Sutton 019,1373,785,902,278,996,1975,194,2065,8568
E02000859,Sutton 020,1019,609,925,278,1074,2711,217,1654,8487
E02000860,Sutton 021,1072,624,759,302,979,3059,215,1775,8785
E02000861,Sutton 022,640,460,741,204,851,3269,138,1474,7777
E02000863,Sutton 024,763,484,724,251,822,2281,132,1280,6737
E02000864,Tower Hamlets 001,1631,608,801,191,1240,4456,254,2082,11263
E02000865,Tower Hamlets 002,1363,493,656,139,800,2800,185,1526,7962
E02000866,Tower Hamlets 003,1442,490,669,180,1002,4825,181,1857,10646
E02000867,Tower Hamlets 004,1287,566,773,170,1145,5480,226,1681,11328
E02000868,Tower Hamlets 005,949,385,489,114,848,3182,137,1091,7195
E02000869,Tower Hamlets 006,820,336,392,121,588,2513,116,1045,5931
E02000870,Tower Hamlets 007,941,450,471,130,651,2377,139,1215,6374
E02000871,Tower Hamlets 008,1712,756,915,257,1247,3785,289,2555,11516
E02000872,Tower Hamlets 009,1131,443,566,124,867,3511,170,1333,8145
E02000873,Tower Hamlets 010,1197,517,623,165,1990,3223,257,1878,9850
E02000874,Tower Hamlets 011,1168,520,545,149,819,2535,221,1540,7497
E02000875,Tower Hamlets 012,1975,863,1118,221,1571,4674,279,2868,13569
E02000876,Tower Hamlets 013,1068,468,487,129,758,2942,184,1238,7274
E02000877,Tower Hamlets 014,1931,809,965,261,1497,5172,293,2881,13809
E02000878,Tower Hamlets 015,1447,502,705,172,1104,4836,243,1425,10434
E02000879,Tower Hamlets 016,1474,543,669,179,964,2621,218,1675,8343
E02000880,Tower Hamlets 017,1009,403,445,112,858,2217,157,1313,6514
E02000881,Tower Hamlets 018,1533,712,864,238,1131,3606,249,2501,10834
E02000882,Tower Hamlets 019,1971,686,983,196,1272,3529,247,2617,11501
E02000883,Tower Hamlets 020,1610,670,769,179,1073,2493,274,2220,9288
E02000884,Tower Hamlets 021,1349,586,826,194,1475,6005,382,1951,12768
E02000885,Tower Hamlets 022,1332,523,591,168,748,1956,190,1547,7055
E02000886,Tower Hamlets 023,1176,520,623,163,962,4291,209,1647,9591
E02000887,Tower Hamlets 024,1671,740,883,228,1099,3451,272,2457,10801
E02000888,Tower Hamlets 025,1126,457,595,143,779,3630,197,1692,8619
E02000889,Tower Hamlets 026,885,407,528,147,844,4438,193,1526,8968
E02000890,Tower Hamlets 027,450,197,297,43,490,3595,99,644,5815
E02000893,Tower Hamlets 030,1039,403,512,143,823,2895,167,1431,7413
E02000894,Tower Hamlets 031,1013,547,618,169,1094,5318,258,1989,11006
E02000895,Waltham Forest 001,1563,662,887,370,990,2110,255,1534,8371
E02000896,Waltham Forest 002,1173,682,985,348,1167,3087,204,1680,9326
E02000897,Waltham Forest 003,1545,686,872,316,1010,2263,177,1696,8565
E02000898,Waltham Forest 004,1403,568,840,321,936,2215,204,1524,8011
E02000899,Waltham Forest 005,1513,717,939,342,1029,2318,245,1706,8809
E02000900,Waltham Forest 006,1629,730,887,324,1026,2202,245,1931,8974
E02000901,Waltham Forest 007,1271,720,1032,315,1264,3594,196,2101,10493
E02000902,Waltham Forest 008,1381,693,928,267,1118,2968,228,2376,9959
E02000903,Waltham Forest 009,1671,763,906,255,1056,3077,250,2300,10278
E02000904,Waltham Forest 010,1003,558,743,219,866,3055,210,1770,8424
E02000905,Waltham Forest 011,1340,606,738,216,948,3900,261,2464,10473
E02000906,Waltham Forest 012,1282,573,686,217,900,3726,215,2054,9653
E02000907,Waltham Forest 013,1575,730,877,269,1058,3375,254,2442,10580
E02000908,Waltham Forest 014,1524,661,878,299,1317,5524,266,2433,12902
E02000909,Waltham Forest 015,1043,448,652,174,823,3888,235,1984,9247
E02000910,Waltham Forest 016,1503,683,738,248,999,4803,306,2147,11427
E02000911,Waltham Forest 017,1728,854,856,272,1203,5114,343,2592,12962
E02000912,Waltham Forest 018,1628,660,741,239,944,3272,274,1981,9739
E02000913,Waltham Forest 019,1361,611,788,224,1026,3310,220,2102,9642
E02000914,Waltham Forest 020,2102,892,949,298,1221,3418,379,2539,11798
E02000915,Waltham Forest 021,971,475,618,189,802,3439,201,1416,8111
E02000916,Waltham Forest 022,1586,717,790,284,1114,3719,270,2082,10562
E02000917,Waltham Forest 023,1221,604,679,215,908,3781,309,1873,9590
E02000918,Waltham Forest 024,1236,573,748,288,885,3570,260,1766,9326
E02000919,Waltham Forest 025,1341,635,667,255,842,3579,302,1618,9239
E02000920,Waltham Forest 026,1628,770,898,312,1030,3429,306,1926,10299
E02000921,Waltham Forest 027,1780,892,981,331,1208,3579,353,2075,11199
E02000922,Waltham Forest 028,1533,712,804,289,1078,3594,318,2133,10461
E02000923,Wandsworth 001,620,285,460,132,704,4159,172,994,7526
E02000925,Wandsworth 003,931,490,623,192,843,3204,201,1415,7899
E02000926,Wandsworth 004,808,415,592,162,1094,6738,253,1581,11643
E02000927,Wandsworth 005,862,328,433,150,707,3494,154,972,7100
E02000928,Wandsworth 006,464,205,441,79,674,4974,115,1405,8357
E02000929,Wandsworth 007,1105,575,622,196,855,2997,209,1542,8101
E02000930,Wandsworth 008,589,257,457,114,870,6398,166,1231,10082
E02000931,Wandsworth 009,332,156,331,69,624,5484,106,1714,8816
E02000932,Wandsworth 010,616,268,556,163,1057,8277,197,1709,12843
E02000933,Wandsworth 011,565,266,534,115,808,5084,162,1333,8867
E02000934,Wandsworth 012,595,271,451,108,859,5476,166,989,8915
E02000935,Wandsworth 013,972,467,630,220,1282,1970,198,1633,7372
E02000936,Wandsworth 014,639,311,474,151,833,5565,177,1216,9366
E02000937,Wandsworth 015,390,225,417,70,624,4561,101,1774,8162
E02000938,Wandsworth 016,1248,552,768,268,1107,4364,287,2172,10766
E02000939,Wandsworth 017,372,142,371,64,599,4383,65,1823,7819
E02000940,Wandsworth 018,862,450,611,185,819,4785,180,1432,9324
E02000941,Wandsworth 019,687,332,568,132,910,5428,156,1963,10176
E02000942,Wandsworth 020,498,296,562,141,789,5446,151,1805,9688
E02000943,Wandsworth 021,507,196,379,101,671,5523,119,1225,8721
E02000944,Wandsworth 022,923,458,588,180,720,2980,252,1538,7639
E02000945,Wandsworth 023,1212,487,621,230,1037,2404,281,1571,7843
E02000946,Wandsworth 024,819,378,570,185,901,4114,182,1286,8435
E02000947,Wandsworth 025,513,276,430,138,775,5235,154,1821,9342
E02000948,Wandsworth 026,628,298,442,104,811,6277,148,1321,10029
E02000949,Wandsworth 027,478,235,468,134,770,6291,108,1518,10002
E02000950,Wandsworth 028,727,331,495,180,804,3472,215,1361,7585
E02000951,Wandsworth 029,449,245,354,93,608,3725,110,848,6432
E02000952,Wandsworth 030,478,252,322,69,493,3540,91,901,6146
E02000953,Wandsworth 031,527,206,364,87,885,4049,139,1248,7505
E02000954,Wandsworth 032,579,263,332,81,539,3179,163,965,6101
E02000955,Wandsworth 033,804,345,441,133,665,3209,140,1154,6891
E02000956,Wandsworth 034,813,379,437,146,916,3494,182,1052,7419
E02000957,Wandsworth 035,1164,530,645,235,1042,5259,250,1735,10860
E02000958,Wandsworth 036,876,408,555,185,995,3465,209,1581,8274
E02000959,Wandsworth 037,920,417,556,255,808,3183,179,1548,7866
E02000960,Westminster 001,604,199,260,75,570,3363,151,933,6155
E02000961,Westminster 002,1061,430,626,155,910,4595,244,1793,9814
E02000962,Westminster 003,829,290,392,115,697,4220,183,978,7704
E02000963,Westminster 004,1809,712,947,204,1248,3424,301,1877,10522
E02000964,Westminster 005,1777,713,936,269,1368,4926,301,1850,12140
E02000965,Westminster 006,576,279,383,101,674,4648,137,1078,7876
E02000966,Westminster 007,704,322,475,132,834,5229,267,1290,9253
E02000967,Westminster 008,431,132,293,49,542,3772,207,629,6055
E02000968,Westminster 009,3020,939,1112,318,1746,4497,408,2440,14480
E02000969,Westminster 010,1783,525,755,229,1020,3259,267,1771,9609
E02000970,Westminster 011,483,206,322,116,655,4143,202,710,6837
E02000971,Westminster 012,622,180,274,99,773,4582,219,725,7474
E02000972,Westminster 013,666,309,409,145,986,4475,279,610,7879
E02000973,Westminster 014,863,363,582,168,972,5607,235,1165,9955
E02000974,Westminster 015,779,262,386,225,1167,4627,242,1016,8704
E02000975,Westminster 016,523,223,328,77,730,4637,236,663,7417
E02000976,Westminster 017,708,212,343,134,922,4938,258,919,8434
E02000977,Westminster 018,653,248,338,168,790,3520,201,469,6387
E02000978,Westminster 019,480,204,378,131,1241,3511,317,866,7128
E02000979,Westminster 020,651,349,559,156,829,4306,236,1002,8088
E02000980,Westminster 021,958,419,599,176,933,4344,224,1071,8724
E02000981,Westminster 022,876,294,402,138,757,4874,178,751,8270
E02000982,Westminster 023,1013,427,567,177,844,3379,171,1061,7639
E02000983,Westminster 024,1013,376,515,191,811,3483,203,1102,7694
E02003237,Peterborough 001,871,566,815,349,966,1515,145,931,6158
E02003238,Peterborough 002,773,614,836,250,874,1181,138,1071,5737
E02003239,Peterborough 003,1292,838,1097,541,1239,1724,185,1411,8327
E02003240,Peterborough 004,584,421,835,265,1189,2077,75,1426,6872
E02003241,Peterborough 005,1103,701,921,367,1083,1453,198,1354,7180
E02003242,Peterborough 006,1595,888,1015,518,1101,1632,255,1443,8447
E02003243,Peterborough 007,2304,1366,1410,516,1303,1646,391,3232,12168
E02003244,Peterborough 008,2336,1046,1006,395,980,1316,333,2623,10035
E02003245,Peterborough 009,1622,944,959,352,781,1147,278,2161,8244
E02003246,Peterborough 010,2545,1227,1002,405,871,1294,360,2328,10032
E02003247,Peterborough 011,1597,915,1016,417,934,1648,326,1996,8849
E02003248,Peterborough 012,2610,1189,1096,419,1103,1890,410,2856,11573
E02003249,Peterborough 013,2634,1201,1344,588,1311,2149,444,3151,12822
E02003250,Peterborough 014,3011,1211,949,444,964,2481,478,2513,12051
E02003251,Peterborough 015,1097,584,876,288,878,2567,211,1421,7922
E02003252,Peterborough 016,2022,1024,1249,442,1354,3057,352,3028,12528
E02003253,Peterborough 017,1852,963,1174,466,1250,2184,313,2064,10266
E02003254,Peterborough 018,1078,759,1143,426,1401,2695,176,1557,9235
E02003255,Peterborough 019,2152,1312,1609,638,1864,2669,391,3089,13724
E02003257,Peterborough 021,1905,1044,1143,405,1042,1394,299,2388,9620
E02003258,Luton 001,1173,741,906,437,1143,2451,244,1515,8610
E02003259,Luton 002,1048,637,785,321,811,1454,189,1554,6799
E02003260,Luton 003,1600,894,938,294,932,1624,254,2413,8949
E02003261,Luton 004,1129,516,724,328,752,1562,220,1211,6442
E02003262,Luton 005,1970,1103,1151,422,1215,2360,280,2688,11189
E02003263,Luton 006,2293,1118,1269,513,1471,2870,387,3053,12974
E02003264,Luton 007,1165,669,944,320,1213,3096,200,2244,9851
E02003265,Luton 008,1296,799,969,490,1265,1804,181,1429,8233
E02003266,Luton 009,1840,919,1094,379,1069,1972,270,2571,10114
E02003267,Luton 010,2832,1189,1373,304,1463,2893,512,4075,14641
E02003268,Luton 011,2279,983,1173,342,1347,2791,411,3622,12948
E02003269,Luton 012,1554,896,1097,484,1362,2798,311,2270,10772
E02003270,Luton 013,1503,763,845,330,858,2408,242,1858,8807
E02003271,Luton 014,1326,971,1169,509,1453,2538,243,2008,10217
E02003272,Luton 015,2557,961,1058,203,1112,1974,350,3139,11354
E02003273,Luton 016,1917,1095,1227,488,1350,2890,316,2748,12031
E02003274,Luton 017,2535,1041,990,263,969,2126,437,3177,11538
E02003276,Luton 019,1890,869,737,275,835,1823,360,2360,9149
E02003277,Luton 020,2290,1115,1141,421,1208,2135,379,2924,11613
E02003278,Luton 021,2388,1069,1088,537,1336,3625,523,2712,13278
E02003279,Southend-on-Sea 001,1752,1054,1336,551,1388,1598,256,1518,9453
E02003280,Southend-on-Sea 002,1946,1152,1381,544,1429,1863,251,2016,10582
E02003281,Southend-on-Sea 003,1870,901,1232,498,1267,1889,256,1529,9442
E02003282,Southend-on-Sea 004,1598,1052,1352,467,1403,2478,236,2103,10689
E02003283,Southend-on-Sea 005,1838,1014,1413,427,1538,2306,241,2217,10994
E02003284,Southend-on-Sea 006,1905,1232,1458,423,1594,1985,269,2342,11208
E02003285,Southend-on-Sea 007,1456,1040,1364,399,1640,2602,268,2514,11283
E02003286,Southend-on-Sea 008,876,712,1258,345,1448,2695,204,1830,9368
E02003287,Southend-on-Sea 009,1845,1019,1359,383,1267,2022,252,2005,10152
E02003288,Southend-on-Sea 010,2216,1239,1568,437,1696,2786,317,2749,13008
E02003289,Southend-on-Sea 011,946,780,1262,333,1528,3126,178,1740,9893
E02003290,Southend-on-Sea 012,1512,833,1162,373,1373,2850,211,1612,9926
E02003291,Southend-on-Sea 013,2144,1281,1599,481,1632,2040,267,2232,11676
E02003292,Southend-on-Sea 014,2162,1283,1486,492,1581,2260,279,2549,12092
E02003293,Southend-on-Sea 015,1819,1029,1369,484,1773,3055,290,1873,11692
E02003294,Southend-on-Sea 016,1297,905,1193,393,1363,2272,274,1417,9114
E02003295,Southend-on-Sea 017,1642,1064,1361,401,1372,2009,240,2030,10119
E02003296,Thurrock 001,1260,803,1084,387,1085,1134,165,1167,7085
E02003297,Thurrock 002,1443,805,1071,375,1076,928,190,1424,7312
E02003298,Thurrock 003,1429,709,1060,384,1020,1015,200,1281,7098
E02003299,Thurrock 004,1047,658,855,329,965,1365,157,1039,6415
E02003300,Thurrock 005,1310,880,1293,385,1390,1654,187,1845,8944
E02003301,Thurrock 006,1999,1076,1418,425,1447,2558,280,2827,12030
E02003302,Thurrock 007,1979,1036,1279,336,1255,1802,246,2475,10408
E02003303,Thurrock 008,1683,939,1174,356,1154,1819,200,2192,9517
E02003304,Thurrock 009,1936,988,1152,438,1240,1679,236,1976,9645
E02003305,Thurrock 010,1204,633,900,274,982,1387,199,1502,7081
E02003307,Thurrock 012,2345,1111,1261,391,1161,1628,244,2482,10623
E02003308,Thurrock 013,1105,793,1026,285,1071,1410,165,1860,7715
E02003309,Thurrock 014,1309,778,955,351,1080,1642,214,1441,7770
E02003311,Thurrock 016,1584,912,942,325,1097,2225,332,1887,9304
E02003312,Thurrock 017,1373,768,885,314,1006,2291,297,2489,9423
E02003313,Thurrock 018,2969,1373,1479,429,1460,2615,378,4118,14821
E02003314,Medway 001,1460,725,832,407,934,1079,181,1156,6774
E02003315,Medway 002,794,582,857,353,906,1071,144,1018,5725
E02003316,Medway 003,1709,1171,1583,630,1988,2203,266,2592,12142
E02003317,Medway 004,1076,587,939,356,1119,1394,162,1446,7079
E02003318,Medway 005,835,648,774,318,883,1311,167,1032,5968
E02003319,Medway 006,1292,817,1076,350,1088,1635,173,1810,8241
E02003320,Medway 007,1020,725,1179,362,1523,2501,202,1893,9405
E02003321,Medway 008,1292,681,827,303,790,986,156,1457,6492
E02003322,Medway 009,1167,697,898,292,1569,1733,184,1496,8036
E02003323,Medway 010,1080,764,936,314,1007,1371,165,1748,7385
E02003324,Medway 011,1541,1018,1326,441,1358,1772,214,2408,10078
E02003325,Medway 012,1193,721,837,299,923,1494,197,1696,7360
E02003326,Medway 013,1274,793,1021,354,1016,1468,176,1666,7768
E02003327,Medway 014,892,590,835,271,1027,2469,127,1247,7458
E02003328,Medway 015,1682,888,1103,372,1179,2412,241,2042,9919
E02003329,Medway 016,964,656,819,251,884,1581,159,1563,6877
E02003330,Medway 017,920,598,796,278,890,1679,170,1448,6779
E02003331,Medway 018,1759,934,1185,495,1261,1317,224,1684,8859
E02003332,Medway 019,969,621,811,322,871,1348,139,1203,6284
E02003333,Medway 020,1308,638,804,298,732,1165,186,1673,6804
E02003334,Medway 021,930,559,735,260,784,1353,186,1409,6216
E02003335,Medway 022,1247,726,837,273,810,1187,185,2165,7430
E02003336,Medway 023,955,640,803,414,956,1281,177,1128,6354
E02003337,Medway 024,1233,728,869,369,993,1668,187,1372,7419
E02003338,Medway 025,1191,752,932,424,1057,1360,161,1423,7300
E02003339,Medway 026,1064,604,729,302,886,1516,140,1200,6441
E02003340,Medway 027,1591,806,1013,370,1023,1365,200,1720,8088
E02003341,Medway 028,862,641,848,356,1048,1441,145,1258,6599
E02003342,Medway 029,873,611,841,369,994,1351,183,1198,6420
E02003343,Medway 030,830,569,818,382,877,1412,171,913,5972
E02003344,Medway 031,1234,716,880,329,898,1202,152,1391,6802
E02003345,Medway 032,667,599,861,337,1063,1238,153,1336,6254
E02003346,Medway 033,1189,637,873,414,1004,1448,195,1327,7087
E02003347,Medway 034,641,553,894,300,1050,1274,112,1273,6097
E02003348,Medway 035,1011,745,1045,463,1287,2025,178,1340,8094
E02003349,Medway 036,1149,759,984,425,1168,1375,160,1368,7388
E02003350,Medway 037,1093,596,840,351,973,1177,138,1291,6459
E02003351,Medway 038,1173,803,1185,417,1190,1338,186,1622,7914
E02003352,Bracknell Forest 001,754,431,638,276,748,1885,128,914,5774
E02003353,Bracknell Forest 002,911,742,1312,404,1895,4197,198,2434,12093
E02003354,Bracknell Forest 003,826,824,1279,371,1471,3357,173,1966,10267
E02003355,Bracknell Forest 004,904,736,882,291,969,1527,140,1508,6957
E02003356,Bracknell Forest 005,607,466,740,274,1021,2488,147,1419,7162
E02003357,Bracknell Forest 006,1236,938,1157,426,1347,2688,259,2145,10196
E02003358,Bracknell Forest 007,1336,1045,1365,437,1665,3361,287,2374,11870
E02003359,Bracknell Forest 008,663,592,844,282,984,1671,150,1137,6323
E02003360,Bracknell Forest 009,1204,1120,1379,468,1607,2912,211,2723,11624
E02003361,Bracknell Forest 010,958,746,901,383,1085,1739,182,1447,7441
E02003362,Bracknell Forest 011,852,669,801,299,966,1580,154,1400,6721
E02003363,Bracknell Forest 012,680,444,1024,237,863,2353,115,1383,7099
E02003364,Bracknell Forest 013,743,597,915,285,1101,1883,165,1326,7015
E02003365,Bracknell Forest 014,684,521,843,311,1063,2031,148,1338,6939
E02003366,Bracknell Forest 015,825,711,849,428,1089,1906,162,1160,7130
E02003367,West Berkshire 001,656,403,793,206,908,2115,112,1339,6532
E02003368,West Berkshire 002,799,502,680,318,847,1505,106,937,5694
E02003369,West Berkshire 003,465,350,655,197,730,2701,109,1192,6399
E02003370,West Berkshire 004,688,508,762,333,930,2204,122,1184,6731
E02003371,West Berkshire 005,706,560,777,338,924,1467,117,1060,5949
E02003372,West Berkshire 006,1009,745,961,403,1062,1986,166,1516,7848
E02003373,West Berkshire 007,663,525,1016,258,1172,2937,137,1947,8655
E02003374,West Berkshire 008,715,575,744,275,846,1507,139,1062,5863
E02003375,West Berkshire 009,798,490,715,251,897,1779,117,1146,6193
E02003376,West Berkshire 010,823,559,717,272,755,1565,149,1024,5864
E02003377,West Berkshire 011,1118,737,1317,374,1320,3290,186,2071,10413
E02003378,West Berkshire 012,1147,708,867,327,981,2417,183,1377,8007
E02003379,West Berkshire 013,994,658,822,313,917,1770,162,1341,6977
E02003380,West Berkshire 014,1031,814,1049,455,1341,1858,163,1437,8148
E02003381,West Berkshire 015,549,428,709,223,846,1935,104,1322,6116
E02003382,West Berkshire 016,1192,782,908,382,1068,1580,144,1488,7544
E02003383,West Berkshire 017,683,596,902,273,1040,1848,105,1472,6919
E02003384,West Berkshire 018,697,447,737,250,896,2261,107,1084,6479
E02003385,West Berkshire 019,1197,795,1179,379,1539,3909,220,1963,11181
E02003386,West Berkshire 020,1079,708,896,336,1016,2481,167,1625,8308
E02003387,West Berkshire 021,881,631,1051,390,1241,3235,168,1992,9589
E02003388,West Berkshire 022,597,465,697,235,772,2024,117,1132,6039
E02003389,Reading 001,778,573,856,327,1064,2738,175,1484,7995
E02003390,Reading 002,412,348,680,204,800,3582,90,1636,7752
E02003391,Reading 003,737,454,764,273,926,3429,138,1868,8589
E02003392,Reading 004,901,598,739,284,910,3416,150,1702,8700
E02003393,Reading 005,882,675,916,385,1218,2326,196,1563,8161
E02003394,Reading 006,1479,886,878,357,956,1868,200,2033,8657
E02003395,Reading 007,1597,911,970,386,1179,3621,387,2223,11274
E02003396,Reading 008,1416,802,898,396,1103,2981,304,1935,9835
E02003397,Reading 009,1337,832,874,422,1051,1647,214,1847,8224
E02003398,Reading 010,1536,826,803,302,1719,3959,290,2096,11531
E02003400,Reading 012,702,369,513,136,2622,3341,147,1141,8971
E02003401,Reading 013,1234,730,795,287,920,3206,233,1765,9170
E02003402,Reading 014,1160,687,729,292,1682,4262,303,1591,10706
E02003403,Reading 015,1456,871,1004,425,1044,2404,261,1919,9384
E02003404,Reading 016,1102,515,653,205,2473,2082,198,1413,8641
E02003405,Reading 017,2431,1210,1212,388,1260,3318,339,2913,13071
E02003406,Reading 018,1636,800,883,387,915,1705,210,1709,8245
E02003407,Slough 001,1636,997,1161,374,1024,2354,288,3077,10911
E02003408,Slough 002,2058,934,1017,431,1066,2410,484,2892,11292
E02003409,Slough 003,1435,879,1082,346,1207,2874,282,2340,10445
E02003410,Slough 004,2425,1106,1088,341,1309,2399,420,3160,12248
E02003411,Slough 005,2201,1054,1176,329,1230,2828,506,3182,12506
E02003412,Slough 006,1363,832,1081,379,1304,2586,340,2521,10406
E02003414,Slough 008,1749,1116,1273,432,1523,3572,403,3685,13753
E02003415,Slough 009,2434,1024,1121,433,1144,3394,477,3482,13509
E02003416,Slough 010,1027,653,802,306,1015,3279,274,2456,9812
E02003417,Slough 011,1543,844,920,384,1191,4497,421,3006,12806
E02003418,Slough 012,1450,819,959,291,1005,3043,260,2494,10321
E02003419,Slough 013,1241,752,829,302,1025,2426,235,2173,8983
E02003420,Slough 014,849,594,635,244,735,1610,251,1500,6418
E02003421,Windsor and Maidenhead 001,631,341,625,192,665,1992,128,1099,5673
E02003422,Windsor and Maidenhead 002,1079,696,1178,404,1464,4713,208,2107,11849
E02003423,Windsor and Maidenhead 003,845,532,738,258,792,1812,126,1483,6586
E02003424,Windsor and Maidenhead 004,666,489,820,242,1002,4348,168,1576,9311
E02003425,Windsor and Maidenhead 005,1418,831,1066,333,1353,5111,325,2626,13063
E02003426,Windsor and Maidenhead 006,812,529,993,290,1187,3897,177,1917,9802
E02003427,Windsor and Maidenhead 007,1083,668,801,293,963,2339,216,1824,8187
E02003428,Windsor and Maidenhead 008,1081,747,974,369,1213,2700,152,1928,9164
E02003429,Windsor and Maidenhead 009,743,466,876,264,1061,2735,142,1455,7742
E02003430,Windsor and Maidenhead 010,745,449,1115,264,854,2395,143,1557,7522
E02003431,Windsor and Maidenhead 011,862,554,682,246,847,2358,164,1293,7006
E02003432,Windsor and Maidenhead 012,605,457,647,195,804,2952,150,1285,7095
E02003433,Windsor and Maidenhead 013,861,541,725,339,858,1739,141,1267,6471
E02003434,Windsor and Maidenhead 014,1128,694,971,365,1136,2835,201,1860,9190
E02003435,Windsor and Maidenhead 015,461,368,647,142,791,3245,116,1371,7141
E02003436,Windsor and Maidenhead 016,1039,753,970,395,1178,2992,195,1515,9037
E02003437,Windsor and Maidenhead 017,586,406,843,186,898,2940,154,1407,7420
E02003438,Windsor and Maidenhead 018,907,556,1247,285,1274,4500,217,2246,11232
E02003439,Wokingham 001,526,302,522,154,623,2296,113,992,5528
E02003440,Wokingham 002,738,525,908,292,1051,3753,92,1914,9273
E02003441,Wokingham 003,764,554,828,317,1018,2646,131,1413,7671
E02003442,Wokingham 004,516,546,898,278,1152,3103,127,1869,8489
E02003443,Wokingham 005,1054,612,689,296,849,1762,160,1568,6990
E02003444,Wokingham 006,896,616,864,257,1087,3478,209,1969,9376
E02003445,Wokingham 007,922,730,943,403,1083,2688,190,1815,8774
E02003446,Wokingham 008,609,513,853,264,2027,3734,190,1614,9804
