Middle layer Super Output Areas Code,Middle layer Super Output Areas,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,Total
E02004922,North Hertfordshire 014,1896,841,866,1931,2385,2213,10132
E02004923,North Hertfordshire 015,1857,809,1115,1901,2336,2367,10385
E02004924,St Albans 001,1948,619,546,1811,1589,1217,7730
E02004925,St Albans 002,2001,672,623,1857,1578,1149,7880
E02004926,St Albans 003,1844,545,649,1748,1695,1620,8101
E02004927,St Albans 004,1486,552,482,1338,1410,1448,6716
E02004928,St Albans 005,1506,521,492,1441,1499,1411,6870
E02004929,St Albans 006,1308,480,510,1275,1302,1528,6403
E02004930,St Albans 007,1470,637,711,1488,1457,1241,7004
E02004931,St Albans 008,1603,598,588,1595,1359,1228,6971
E02004932,St Albans 009,1841,703,827,1849,1461,1062,7743
E02004933,St Albans 010,1644,590,552,1556,1465,1136,6943
E02004934,St Albans 011,1578,617,1466,1932,1297,912,7802
E02004935,St Albans 012,1552,587,2319,2322,1359,912,9051
E02004936,St Albans 013,1608,554,666,1703,1232,777,6540
E02004937,St Albans 014,1397,506,623,1521,1472,1773,7292
E02004939,St Albans 016,1482,517,764,1573,1217,1134,6687
E02004940,St Albans 017,1818,654,1053,1866,1301,1018,7710
E02004941,St Albans 018,1968,964,1242,2131,2004,1499,9808
E02004942,St Albans 019,1232,548,665,1257,1318,1416,6436
E02004943,St Albans 020,1455,662,758,1534,1781,2029,8219
E02004944,Stevenage 001,1945,876,1395,1751,1323,851,8141
E02004945,Stevenage 002,2371,1106,1899,2582,2302,1972,12232
E02004946,Stevenage 003,1300,623,844,1320,1348,988,6423
E02004948,Stevenage 005,1132,539,944,1221,1108,1133,6077
E02004949,Stevenage 006,1678,829,1382,1700,1661,1547,8797
E02004950,Stevenage 007,1519,642,965,1352,1374,974,6826
E02004951,Stevenage 008,1668,856,1536,1629,1385,981,8055
E02004952,Stevenage 009,1376,636,977,1363,1505,1028,6885
