Middle layer Super Output Areas Code,Middle layer Super Output Areas,Aged 15 years and under,Aged 16 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 years and over,Total
E02006237,Babergh 011,1277,683,582,1178,1818,2057,7595
E02006238,West Suffolk 002,1584,824,1282,1700,1929,2368,9687
E02006239,West Suffolk 001,1921,1514,1569,1482,1083,1155,8724
E02006240,West Suffolk 003,2129,1377,1844,1703,1700,1476,10229
E02006241,West Suffolk 004,1575,1007,1157,1656,1646,1802,8843
E02006242,West Suffolk 007,2251,995,2034,2188,1717,1456,10641
E02006243,West Suffolk 008,1604,795,1607,2002,1784,1539,9331
E02006245,Ipswich 001,1754,756,1004,1473,1551,1748,8286
E02006246,Ipswich 002,1296,651,893,1329,1566,1695,7430
E02006247,Ipswich 003,1972,921,1514,1838,1612,1246,9103
E02006248,Ipswich 004,1820,842,876,1788,1621,1534,8481
E02006249,Ipswich 005,1478,785,960,1686,1707,1774,8390
E02006250,Ipswich 006,2084,1180,1948,2281,1725,981,10199
E02006251,Ipswich 007,1755,1341,2335,2413,1826,1022,10692
E02006252,Ipswich 008,1965,916,1516,2174,1681,1448,9700
E02006253,Ipswich 009,1252,624,766,1327,1493,1989,7451
E02006254,Ipswich 010,1945,950,1540,2080,1556,1325,9396
E02006255,Ipswich 011,1341,1129,1440,1616,1482,1113,8121
E02006256,Ipswich 012,2068,1083,1677,2110,1621,1281,9840
E02006257,Ipswich 013,1317,567,797,1268,1304,1523,6776
E02006258,Ipswich 014,2141,1071,1300,2096,1691,1352,9651
E02006259,Ipswich 015,1577,677,972,1280,1265,1508,7279
E02006260,Ipswich 016,2045,895,1175,1739,1523,1470,8847
E02006261,Mid Suffolk 001,1127,621,632,1243,1870,2463,7956
E02006262,Mid Suffolk 002,1351,689,726,1401,2280,2544,8991
E02006263,Mid Suffolk 003,1071,607,590,1089,1906,2271,7534
E02006264,Mid Suffolk 004,1525,740,978,1516,1945,2166,8870
E02006265,Mid Suffolk 005,1135,587,698,1256,1689,2013,7378
E02006266,Mid Suffolk 006,1432,713,866,1476,2216,2731,9434
E02006267,Mid Suffolk 007,1269,711,566,1473,2118,2211,8348
E02006268,Mid Suffolk 008,1059,558,683,1008,1257,1594,6159
E02006269,Mid Suffolk 009,1296,670,961,1334,1676,1802,7739
E02006270,Mid Suffolk 010,2422,1224,2016,2673,2529,1928,12792
E02006271,Mid Suffolk 011,1573,974,1754,1667,1794,2083,9845
E02006272,Mid Suffolk 012,1134,647,720,1303,1678,2170,7652
E02006273,West Suffolk 005,1050,525,587,1013,1618,2046,6839
E02006274,West Suffolk 006,1057,778,919,1031,1367,1447,6599
E02006275,West Suffolk 009,1402,771,922,1376,1354,1175,7000
E02006276,West Suffolk 016,1407,623,888,1537,1555,2221,8231
E02006277,West Suffolk 012,1562,700,1019,1725,1568,1114,7688
E02006278,West Suffolk 011,1027,929,1577,1454,1594,1796,8377
E02006279,West Suffolk 014,1470,740,924,1475,1777,2361,8747
E02006280,West Suffolk 010,1663,803,815,1632,2132,2684,9729
E02006281,West Suffolk 013,1113,585,1106,1315,1552,2650,8321
E02006282,West Suffolk 017,900,425,486,949,1654,2106,6520
E02006283,West Suffolk 018,1168,687,1336,1625,1712,1725,8253
E02006284,West Suffolk 019,1541,704,1075,1501,1475,1434,7730
E02006285,West Suffolk 021,1553,741,1059,1612,1528,1055,7548
E02006286,West Suffolk 020,2283,1096,1548,2233,2060,1934,11154
E02006287,East Suffolk 016,762,369,443,805,1591,2292,6262
E02006288,East Suffolk 017,1637,952,816,1482,2353,2813,10053
E02006289,East Suffolk 018,1579,741,977,1432,2120,2849,9698
E02006290,East Suffolk 019,1134,613,803,1173,1748,2635,8106
E02006291,East Suffolk 020,1174,595,729,1144,1761,2268,7671
E02006292,East Suffolk 021,1053,556,456,1120,1727,1871,6783
E02006293,East Suffolk 023,1834,1011,1242,2013,2510,2547,11157
E02006294,East Suffolk 022,1094,633,615,1188,1663,2687,7880
E02006295,East Suffolk 024,1647,826,839,1671,1924,2416,9323
E02006296,East Suffolk 025,2468,1160,1256,2545,2786,2874,13089
E02006297,East Suffolk 026,1225,673,623,1300,2086,2139,8046
E02006298,East Suffolk 027,1464,721,980,1597,2164,2216,9142
E02006299,East Suffolk 028,945,538,520,1031,1877,3325,8236
E02006300,East Suffolk 029,1440,773,1091,1354,1667,1613,7938
E02006301,East Suffolk 030,898,548,630,1062,1355,1811,6304
E02006302,East Suffolk 001,806,468,530,982,1630,2222,6638
E02006303,East Suffolk 002,1744,797,973,1462,1517,1489,7982
E02006304,East Suffolk 003,1244,604,921,1188,1630,2561,8148
E02006305,East Suffolk 004,2140,1079,1513,1813,1859,1329,9733
E02006306,East Suffolk 005,1242,595,913,1184,1415,1940,7289
E02006307,East Suffolk 007,920,552,610,1084,1598,2559,7323
E02006308,East Suffolk 006,1323,755,1007,1429,1616,1502,7632
E02006309,East Suffolk 009,1148,541,698,1007,1349,1999,6742
E02006310,East Suffolk 008,1500,717,981,1493,1683,1704,8078
E02006311,East Suffolk 010,1290,628,835,1321,1664,2475,8213
E02006312,East Suffolk 011,1283,729,767,1358,1987,2362,8486
E02006313,East Suffolk 012,1466,723,1009,1466,2216,3051,9931
E02006314,East Suffolk 013,1094,561,643,1215,1571,2177,7261
E02006315,East Suffolk 014,752,406,413,732,1403,2136,5842
E02006316,East Suffolk 015,1032,469,682,956,1488,2446,7073
E02006317,Elmbridge 001,1321,506,589,1420,1233,1283,6352
E02006318,Elmbridge 002,1343,500,748,1542,1500,1332,6965
E02006319,Elmbridge 003,1594,557,840,1677,1408,1139,7215
E02006320,Elmbridge 004,1644,560,1079,1673,1376,919,7251
E02006321,Elmbridge 005,1562,468,512,1592,1331,1142,6607
E02006322,Elmbridge 006,1454,549,546,1586,1351,1003,6489
E02006323,Elmbridge 007,1506,511,901,1789,1376,1445,7528
E02006324,Elmbridge 008,1899,654,882,1898,1491,1091,7915
E02006325,Elmbridge 009,2173,768,608,2124,1983,1515,9171
E02006326,Elmbridge 010,1650,513,1006,1848,1279,1236,7532
E02006327,Elmbridge 011,1469,441,505,1557,1321,1404,6697
E02006328,Elmbridge 012,1992,663,1158,2361,1894,1530,9598
E02006329,Elmbridge 013,1384,622,608,1477,1584,1422,7097
E02006330,Elmbridge 014,2148,761,966,2313,1780,1960,9928
E02006331,Elmbridge 015,1539,582,526,1538,1596,1482,7263
E02006332,Elmbridge 016,1303,511,610,1489,1502,1236,6651
E02006333,Elmbridge 017,2154,910,843,2069,2022,1946,9944
E02006334,Elmbridge 018,1844,659,564,1770,1975,1736,8548
E02006335,Epsom and Ewell 001,1359,669,850,1571,1716,1748,7913
E02006336,Epsom and Ewell 002,1559,669,883,1651,1397,1010,7169
E02006337,Epsom and Ewell 003,1708,774,774,1869,1859,1887,8871
E02006338,Epsom and Ewell 004,1365,567,626,1472,1389,1368,6787
E02006339,Epsom and Ewell 005,2630,965,1246,2884,1908,1280,10913
E02006341,Epsom and Ewell 007,2018,1081,1317,2228,1912,1693,10249
E02006342,Epsom and Ewell 008,1478,915,1231,1842,1272,1459,8197
E02006343,Epsom and Ewell 009,1973,860,717,1968,1868,1670,9056
E02006344,Guildford 001,1428,726,684,1653,1946,2083,8520
E02006345,Guildford 002,1232,1618,1118,1235,1217,1256,7676
E02006346,Guildford 003,1875,848,599,1725,2397,2479,9923
E02006347,Guildford 004,1241,551,938,1555,1400,1441,7126
E02006348,Guildford 005,1444,789,973,1674,1701,1883,8464
E02006349,Guildford 006,1496,1116,1153,1779,1343,1117,8004
E02006350,Guildford 007,1232,842,888,1398,1174,843,6377
E02006351,Guildford 008,1801,786,867,1850,1719,1348,8371
E02006352,Guildford 009,971,1353,781,1076,1067,898,6146
E02006353,Guildford 010,1127,572,789,1234,1257,1136,6115
E02006354,Guildford 011,1943,933,807,1981,2026,1930,9620
E02006355,Guildford 012,1098,4467,1304,1165,1016,706,9756
E02006356,Guildford 013,1552,1832,2479,2593,1739,1260,11455
E02006357,Guildford 014,1322,553,980,1458,1548,1353,7214
E02006358,Guildford 015,1073,3621,1136,1272,999,873,8974
E02006359,Guildford 016,1045,660,650,1222,1342,1210,6129
E02006360,Guildford 017,1472,636,683,1597,1831,1907,8126
E02006361,Guildford 018,944,479,396,956,1448,1432,5655
E02006362,Mole Valley 001,1347,620,485,1325,1492,1634,6903
E02006363,Mole Valley 002,1199,498,414,1204,1296,1443,6054
E02006364,Mole Valley 003,1494,697,1443,1678,1311,1080,7703
E02006365,Mole Valley 004,978,541,597,1174,1351,1619,6260
E02006366,Mole Valley 005,1406,720,596,1440,1836,2024,8022
E02006367,Mole Valley 006,1038,467,445,1003,1356,1660,5969
E02006368,Mole Valley 007,957,446,377,980,1295,1624,5679
E02006369,Mole Valley 008,818,447,399,989,1608,1997,6258
E02006370,Mole Valley 009,1012,527,721,1279,1435,1367,6341
E02006371,Mole Valley 010,1231,584,756,1479,1592,1681,7323
E02006372,Mole Valley 011,1257,566,753,1245,1380,1214,6415
E02006373,Mole Valley 012,1266,625,588,1379,1919,1735,7512
E02006374,Mole Valley 013,1044,550,664,1211,1796,1686,6951
E02006375,Reigate and Banstead 001,1323,564,609,1393,1445,1441,6775
E02006376,Reigate and Banstead 002,1405,793,1166,1819,1820,2224,9227
E02006377,Reigate and Banstead 003,1053,572,516,1108,1353,1566,6168
E02006378,Reigate and Banstead 004,1743,757,863,1855,2043,1588,8849
E02006379,Reigate and Banstead 005,1755,622,1000,1555,1166,871,6969
E02006380,Reigate and Banstead 006,1192,528,587,1201,1635,1952,7095
E02006381,Reigate and Banstead 007,1234,617,656,1277,1769,1702,7255
E02006382,Reigate and Banstead 008,1604,559,1024,1519,1268,890,6864
E02006383,Reigate and Banstead 009,2113,858,1074,2082,1941,2047,10115
E02006384,Reigate and Banstead 010,2296,949,1603,2531,1903,1637,10919
E02006385,Reigate and Banstead 011,2336,906,2151,2934,1836,1160,11323
E02006386,Reigate and Banstead 012,1923,666,827,2004,1601,1357,8378
E02006387,Reigate and Banstead 013,1583,587,665,1493,1384,1076,6788
E02006388,Reigate and Banstead 014,1841,765,1438,2180,1745,1358,9327
E02006389,Reigate and Banstead 015,1557,639,746,1554,1496,1378,7370
E02006390,Reigate and Banstead 016,2397,791,1665,2288,1748,1619,10508
E02006391,Reigate and Banstead 017,1704,587,929,1844,1523,1162,7749
E02006392,Reigate and Banstead 018,1658,671,1363,2081,1707,1690,9170
E02006393,Runnymede 001,923,1912,953,1222,1019,915,6944
E02006394,Runnymede 002,1366,5132,993,1474,1498,1364,11827
E02006395,Runnymede 003,1878,965,1327,2184,1960,1439,9753
E02006396,Runnymede 004,933,575,612,1035,1350,1458,5963
E02006397,Runnymede 005,1154,530,550,1311,1442,1347,6334
E02006398,Runnymede 006,1690,717,1383,1969,1592,1304,8655
E02006399,Runnymede 007,2434,997,1768,2704,2250,2119,12272
E02006400,Runnymede 008,986,389,631,1107,1255,1317,5685
E02006401,Runnymede 009,2146,964,1447,2261,2008,1885,10711
E02006402,Runnymede 010,1851,884,969,2110,2111,2015,9940
E02006403,Spelthorne 001,1352,586,1067,1537,1290,903,6735
E02006404,Spelthorne 002,1814,775,1137,1789,1306,935,7756
E02006405,Spelthorne 003,2148,1010,1556,2625,2194,1898,11431
E02006406,Spelthorne 004,1487,823,1702,2088,1692,1161,8953
E02006407,Spelthorne 005,1766,797,1166,1869,1931,1779,9308
E02006408,Spelthorne 006,1711,742,1357,1927,1675,1439,8851
E02006409,Spelthorne 007,1349,652,755,1454,1393,1175,6778
E02006410,Spelthorne 008,1849,825,1272,1876,1522,1169,8513
E02006411,Spelthorne 009,1198,554,742,1491,1537,1668,7190
E02006412,Spelthorne 010,1499,593,796,1630,1585,1639,7742
E02006413,Spelthorne 011,1180,537,651,1230,1377,1496,6471
E02006414,Spelthorne 012,1162,504,650,1196,1387,1339,6238
E02006415,Spelthorne 013,1079,514,604,1243,1554,1991,6985
E02006416,Surrey Heath 001,1461,647,676,1580,2072,1949,8385
E02006417,Surrey Heath 002,1184,414,739,1298,1278,1170,6083
E02006418,Surrey Heath 003,988,535,610,1211,1580,1613,6537
E02006419,Surrey Heath 004,1612,866,1194,1728,1615,1233,8248
E02006420,Surrey Heath 005,1233,764,757,1431,1743,1816,7744
E02006421,Surrey Heath 006,2151,995,1216,2150,2116,1708,10336
E02006422,Surrey Heath 007,1269,547,547,1339,1284,1217,6203
E02006423,Surrey Heath 008,1932,1074,1789,2348,2169,1896,11208
E02006424,Surrey Heath 009,1218,579,552,1273,1372,1501,6495
E02006425,Surrey Heath 010,1213,561,743,1369,1355,1201,6442
E02006426,Surrey Heath 011,1041,440,557,1185,1153,1166,5542
E02006427,Surrey Heath 012,1364,591,961,1547,1427,1338,7228
E02006429,Tandridge 002,1568,658,1247,1760,1598,1381,8212
E02006430,Tandridge 003,2062,898,1094,2065,1869,1528,9516
E02006431,Tandridge 004,2589,1107,1310,2402,2154,2008,11570
E02006432,Tandridge 005,1040,474,521,1059,1252,1325,5671
E02006433,Tandridge 006,1770,761,756,1908,1990,2306,9491
E02006434,Tandridge 007,1412,632,690,1293,1334,1268,6629
E02006435,Tandridge 008,1164,495,577,1172,1421,1285,6114
E02006436,Tandridge 009,1200,527,661,1208,1370,1248,6214
E02006437,Tandridge 010,1465,743,713,1492,1881,2094,8388
E02006438,Tandridge 011,1356,746,764,1449,2043,1993,8351
E02006439,Waverley 001,1131,541,705,1213,1315,1333,6238
E02006440,Waverley 002,1321,733,680,1483,1483,1495,7195
E02006441,Waverley 003,1354,1312,1000,1505,1562,1695,8428
E02006442,Waverley 004,1383,550,378,1262,1383,1457,6413
E02006443,Waverley 005,1451,519,989,1635,1437,1468,7499
E02006444,Waverley 006,1649,660,576,1599,1388,1306,7178
E02006445,Waverley 007,1691,926,1085,1912,1422,1399,8435
E02006446,Waverley 008,1363,602,502,1322,1633,1558,6980
E02006447,Waverley 009,1463,623,571,1319,1362,1412,6750
E02006448,Waverley 010,1559,510,730,1711,1516,1361,7387
E02006449,Waverley 011,1289,563,564,1334,1522,1686,6958
E02006450,Waverley 012,1412,652,530,1447,1632,1492,7165
E02006451,Waverley 013,2212,1098,1083,2015,2265,3119,11792
E02006453,Waverley 015,1393,874,597,1450,1802,2272,8388
E02006454,Waverley 016,1351,494,531,1391,1430,1568,6765
E02006455,Waverley 017,1144,533,624,1359,1261,1221,6142
E02006456,Woking 001,1595,671,1011,1779,1527,1439,8022
E02006457,Woking 002,1773,692,786,1954,1910,2217,9332
E02006458,Woking 003,1832,758,855,1958,1853,1970,9226
E02006459,Woking 004,2363,1341,1942,2482,1564,963,10655
E02006460,Woking 005,1975,697,1317,2147,1716,1470,9322
E02006461,Woking 006,1195,581,778,1460,1304,1469,6787
E02006462,Woking 007,1668,751,1016,1898,1718,1295,8346
E02006463,Woking 008,1863,842,2269,2777,1578,1330,10659
E02006464,Woking 009,1317,555,751,1511,1390,1286,6810
E02006465,Woking 010,1172,488,674,1320,1316,1245,6215
E02006466,Woking 011,2691,1080,1551,2782,1912,1288,11304
E02006467,Woking 012,1516,532,772,1642,1562,1241,7265
E02006534,Adur 001,1694,827,901,1833,1891,1949,9095
E02006535,Adur 002,1467,477,608,1522,1407,1881,7362
E02006536,Adur 003,1438,689,716,1444,1532,1681,7500
E02006537,Adur 004,2149,914,1272,2142,2050,2007,10534
E02006538,Adur 005,1521,667,919,1923,1982,2249,9261
E02006539,Adur 006,1210,643,826,1313,1488,1815,7295
E02006540,Adur 007,926,403,647,985,1242,1521,5724
E02006541,Adur 008,1187,564,929,1404,1554,2136,7774
E02006542,Arun 001,728,431,463,828,1434,1852,5736
E02006543,Arun 002,765,422,488,863,1356,1707,5601
E02006544,Arun 003,1918,991,1186,1974,2567,2979,11615
E02006545,Arun 004,2911,1102,1860,2385,2136,1769,12163
E02006546,Arun 005,1845,941,1096,1892,2239,2955,10968
E02006547,Arun 006,1163,556,890,1216,1463,1624,6912
E02006548,Arun 007,1699,812,1075,1763,2022,2384,9755
E02006549,Arun 008,570,359,323,702,1424,2870,6248
E02006550,Arun 009,1343,788,885,1401,2060,3135,9612
E02006551,Arun 010,565,368,421,773,1622,4206,7955
E02006552,Arun 011,1126,636,1058,1392,1593,1577,7382
E02006553,Arun 012,1815,790,1317,1864,1884,1993,9663
E02006554,Arun 013,858,455,540,954,1452,2359,6618
E02006555,Arun 014,1328,882,1013,1428,1566,1477,7694
E02006556,Arun 015,1772,866,1004,1582,2139,3231,10594
E02006557,Arun 016,1487,842,1065,1577,1540,1255,7766
E02006558,Arun 017,1357,1157,1644,2021,2058,2487,10724
E02006559,Arun 018,835,456,500,1024,1729,3637,8181
E02006560,Arun 019,1252,648,910,1402,2106,3387,9705
E02006561,Chichester 001,1295,530,469,1338,1551,1522,6705
E02006562,Chichester 002,1052,470,421,1002,1608,1607,6160
E02006563,Chichester 003,871,458,412,866,1548,1597,5752
E02006564,Chichester 004,1245,509,780,1272,1736,2448,7990
E02006565,Chichester 005,1301,626,617,1294,1871,2453,8162
E02006566,Chichester 006,1225,674,699,1208,1865,2562,8233
E02006567,Chichester 007,1266,602,667,1277,1813,2058,7683
E02006568,Chichester 008,1924,2104,1783,2094,2081,2312,12298
E02006569,Chichester 009,1534,828,1287,1648,1818,2510,9625
E02006570,Chichester 010,1032,1300,1310,1425,1624,2216,8907
E02006571,Chichester 011,1428,806,753,1464,1810,2253,8514
E02006572,Chichester 012,2126,1279,1532,2110,2227,2212,11486
E02006573,Chichester 013,1717,788,949,1654,2679,3844,11631
E02006574,Chichester 014,1341,807,875,1427,2440,4033,10923
E02006575,Crawley 001,1990,1006,1340,2072,1499,1039,8946
E02006576,Crawley 002,2383,836,1848,2395,1800,1451,10713
E02006577,Crawley 003,1995,796,1395,1996,1545,1364,9091
E02006578,Crawley 004,2560,1245,2564,2995,1823,1397,12584
E02006579,Crawley 005,1584,804,1286,1927,1507,1245,8353
E02006580,Crawley 006,1646,788,1232,1676,1578,1476,8396
E02006581,Crawley 007,2106,964,1881,2387,1635,1382,10355
E02006582,Crawley 008,1602,781,864,1839,1717,1046,7849
E02006583,Crawley 009,1787,897,1264,2042,1853,1637,9480
E02006584,Crawley 010,1776,829,1167,1767,1494,809,7842
E02006585,Crawley 011,1821,865,1124,1784,1501,1220,8315
E02006586,Crawley 012,1873,959,1277,1862,1347,718,8036
E02006587,Crawley 013,1801,905,1376,1853,1626,972,8533
E02006588,Horsham 001,1942,865,1788,2156,1950,1709,10410
E02006589,Horsham 002,2007,911,1121,2270,2640,2393,11342
E02006590,Horsham 003,1568,725,966,1754,1959,1813,8785
E02006591,Horsham 004,1441,716,1070,1741,1668,1636,8272
E02006592,Horsham 005,1196,611,581,1100,1630,1560,6678
E02006593,Horsham 006,1959,987,1706,2279,2065,2290,11286
E02006594,Horsham 007,2382,862,1532,2390,1979,1796,10941
E02006595,Horsham 008,1789,886,770,1492,1959,2067,8963
E02006596,Horsham 009,1828,881,1069,1837,2180,1565,9360
E02006597,Horsham 010,2496,1064,1466,2537,2514,2317,12394
E02006598,Horsham 011,825,446,499,899,1433,1353,5455
E02006599,Horsham 012,795,418,318,854,1806,2700,6891
E02006600,Horsham 013,1481,686,897,1639,2120,3043,9866
E02006601,Horsham 014,1501,735,833,1418,2001,2468,8956
E02006602,Horsham 015,1632,722,763,1495,2077,2026,8715
E02006603,Horsham 016,1275,601,578,1351,1953,2710,8468
E02006604,Mid Sussex 001,2377,1063,1884,2810,2585,2560,13279
E02006605,Mid Sussex 002,1108,670,647,1194,1424,1323,6366
E02006606,Mid Sussex 003,1621,663,800,1610,1901,1755,8350
E02006607,Mid Sussex 004,1409,629,674,1557,1695,1995,7959
E02006608,Mid Sussex 005,1148,479,564,1120,1360,1661,6332
E02006609,Mid Sussex 006,1241,634,572,1226,1620,1598,6891
E02006610,Mid Sussex 007,1531,596,839,1614,1762,1531,7873
E02006611,Mid Sussex 008,2461,790,957,2411,2086,2774,11479
E02006612,Mid Sussex 009,2168,870,1777,2894,1911,2207,11827
E02006613,Mid Sussex 010,1561,699,1020,1730,1464,1277,7751
E02006614,Mid Sussex 011,2736,1085,1509,2787,2550,2185,12852
E02006615,Mid Sussex 012,1377,692,899,1509,1521,1063,7061
E02006616,Mid Sussex 013,1901,772,1412,2106,1825,1824,9840
E02006617,Mid Sussex 014,1613,749,1240,1913,1822,1797,9134
E02006618,Mid Sussex 015,1072,576,554,1181,1407,1666,6456
E02006619,Mid Sussex 016,1978,875,769,1772,1981,1705,9080
E02006620,Mid Sussex 017,1947,735,730,2016,2040,2571,10039
E02006621,Worthing 001,910,532,492,1101,1845,2812,7692
E02006622,Worthing 002,1338,635,821,1392,1673,2030,7889
E02006623,Worthing 003,1577,705,998,1418,1600,1787,8085
E02006624,Worthing 004,1340,707,589,1471,1727,1496,7330
E02006625,Worthing 005,1606,812,983,1802,1660,1187,8050
E02006626,Worthing 006,2493,944,1549,2240,1697,1264,10187
E02006627,Worthing 007,1721,810,1242,1857,1937,2038,9605
E02006628,Worthing 008,1783,859,1260,2104,1719,1216,8941
E02006629,Worthing 009,1450,724,895,1652,1612,1478,7811
E02006630,Worthing 010,1101,617,1284,1692,1727,2485,8906
E02006631,Worthing 011,1313,931,1830,2251,1997,1863,10185
E02006632,Worthing 012,1191,614,803,1478,1825,2333,8244
E02006633,Worthing 013,1160,616,606,1279,1781,2964,8406
E02006782,Bromley 040,1622,738,948,1727,1641,1449,8125
E02006783,Lewisham 037,1872,900,1059,1756,1488,697,7772
E02006784,Lewisham 038,1620,872,974,1838,1548,1116,7968
E02006785,Bexley 029,1227,607,840,1399,1387,1163,6623
E02006786,Greenwich 033,1696,757,1173,1671,1418,841,7556
E02006787,Bromley 041,1743,618,798,1972,1554,1209,7894
E02006788,Croydon 045,1687,823,1097,1704,1501,799,7611
E02006789,Bromley 042,1108,595,605,1073,1513,1886,6780
E02006790,Tandridge 012,1422,651,664,1387,1690,1903,7717
E02006791,Ealing 040,1240,639,1504,2097,1253,833,7566
E02006792,Hounslow 029,1339,909,1771,2226,1474,1278,8997
E02006793,Enfield 037,2319,1257,1403,2049,1726,891,9645
E02006794,Haringey 037,2012,1016,1253,1881,1443,681,8286
E02006795,Harrow 032,1661,939,1090,1899,1507,1173,8269
E02006796,Hillingdon 033,1977,938,1509,2351,1637,1284,9696
E02006798,Lewisham 039,1471,1197,2180,1969,1468,603,8888
E02006799,Barking and Dagenham 023,3262,1364,1659,2879,1861,1016,12041
E02006800,Redbridge 034,3409,1768,2452,3469,2158,1425,14681
E02006801,Lambeth 036,818,2130,1984,1569,1213,853,8567
E02006802,Southwark 034,1212,1967,2294,1803,1407,595,9278
E02006821,Portsmouth 026,1314,600,716,1334,1363,1331,6658
E02006822,Havant 018,1527,775,1112,1633,2129,2132,9308
E02006823,Buckinghamshire 039,1693,654,642,1661,1956,2329,8935
E02006824,Buckinghamshire 036,1815,875,772,1845,1986,2241,9534
E02006825,East Cambridgeshire 011,1013,458,608,1170,1429,1522,6200
E02006826,West Suffolk 015,1560,857,1725,2067,1724,1820,9753
E02006829,East Hampshire 016,1143,531,704,1218,1726,2074,7396
E02006830,Havant 019,1406,637,935,1238,1263,1191,6670
E02006831,Havant 020,930,464,640,965,1383,1803,6185
E02006832,Sevenoaks 016,1224,519,725,1098,1162,1341,6069
E02006833,Tonbridge and Malling 014,2371,931,1464,2455,2564,2619,12404
E02006836,Sutton 025,1705,710,829,1811,1747,1919,8721
E02006837,Epsom and Ewell 010,2241,1043,1149,2454,2397,2501,11785
E02006838,East Hampshire 017,1013,516,505,1093,1730,2086,6943
E02006839,Waverley 018,1430,694,619,1537,2074,2165,8519
E02006853,Tower Hamlets 032,1897,1606,3579,2629,907,394,11012
E02006854,Tower Hamlets 033,865,989,2462,1788,733,235,7072
E02006855,Canterbury 019,1155,1258,1185,1277,871,673,6419
E02006856,Canterbury 020,1455,2903,1943,1823,1423,1595,11142
E02006857,Eastbourne 013,1638,750,914,1608,1782,2302,8994
E02006858,Eastbourne 014,934,572,680,1054,1564,2028,6832
E02006859,Thurrock 019,1957,825,1193,2139,1229,347,7690
E02006873,South Cambridgeshire 020,2929,906,1232,2948,1386,487,9888
E02006874,South Cambridgeshire 021,2251,860,1140,2450,2058,1475,10234
E02006877,Peterborough 022,2448,985,1918,2413,1753,1384,10901
E02006878,Peterborough 023,3609,1381,2156,3425,1711,698,12980
E02006879,Folkestone and Hythe 014,1129,665,1067,1300,1360,1022,6543
E02006880,Folkestone and Hythe 015,813,515,1016,1286,1427,1587,6644
E02006882,Harrow 033,2474,1483,2164,2932,2749,2592,14394
E02006886,Vale of White Horse 016,2792,1021,1634,2783,2902,2721,13853
E02006907,Norwich 014,587,1186,1830,1436,1083,992,7114
E02006908,Norwich 015,761,566,1207,1186,992,850,5562
E02006918,Hackney 028,2064,948,1762,1919,1198,511,8402
E02006921,Hackney 029,2375,1118,1353,1393,1073,614,7926
E02006922,Colchester 022,2406,1459,1673,2607,2727,3243,14115
E02006924,Redbridge 035,2676,1582,2219,3063,2183,1877,13600
E02006925,Redbridge 036,2697,1969,1920,2998,2668,2170,14422
E02006926,Thurrock 020,1824,849,1104,2036,1555,640,8008
E02006927,Greenwich 034,2459,1155,2266,2952,1939,1596,12367
E02006928,Greenwich 035,1816,2073,3696,2795,1210,503,12093
E02006930,Greenwich 037,1726,1002,2431,2720,1253,714,9846
E02006931,Greenwich 038,1601,977,2035,2245,1576,1029,9463
E02006937,Luton 022,1924,1217,2169,2203,1236,622,9371
E02006938,Luton 023,1068,1284,1671,1239,700,420,6382
E02006939,Reading 019,959,819,2171,1895,839,393,7076
E02006940,Reading 020,1067,1570,2464,1903,836,400,8240
E02006941,Southwark 035,291,546,2115,1285,778,297,5312
E02006942,Southwark 036,887,829,2314,1465,871,380,6746
E02006953,Barnet 042,1655,1249,2660,2342,920,343,9169
E02006954,Barnet 043,2062,1195,2214,2453,1392,797,10113
E02006955,Brent 035,1099,1768,2059,1595,723,262,7506
E02006956,Brent 036,1446,1709,1619,1758,1316,982,8830
E02006968,Ealing 041,1473,692,1456,2119,1408,1203,8351
E02006969,Ealing 042,943,520,1714,1712,861,674,6424
E02006970,Ealing 043,1683,936,1068,1893,1193,570,7343
E02006971,Ealing 044,1798,1040,1161,1962,1434,897,8292
E02006972,Hounslow 030,1125,559,1055,1331,863,482,5415
E02006973,Hounslow 031,1680,767,1423,2265,1428,931,8494
E02006975,Portsmouth 027,949,5831,1149,981,777,586,10273
E02006976,Portsmouth 028,1237,681,774,1011,900,709,5312
E02006978,Chelmsford 022,937,1139,2007,1515,855,804,7257
E02006979,Chelmsford 023,927,666,1906,1422,844,663,6428
E02006980,Rochford 011,1260,678,693,1372,1674,1831,7508
E02006981,Rochford 012,1346,738,848,1389,1764,1833,7918
E02006987,Croydon 046,1045,729,2651,1852,732,363,7372
E02006988,Croydon 047,1448,533,1512,1910,1004,754,7161
E02006991,Greenwich 039,683,580,2332,1838,583,303,6319
E02006992,Greenwich 040,1433,718,2501,2107,955,514,8228
E02006993,Greenwich 041,1550,1053,2811,2031,667,287,8399
E02006994,Greenwich 042,1586,836,1733,1925,1067,494,7641
E02006995,Newham 038,1349,1550,3457,1731,453,99,8639
E02006996,Newham 039,1235,1531,2784,1723,764,390,8427
E02006997,Newham 040,883,918,2578,1655,654,200,6888
E02006998,Newham 041,1609,833,1510,1725,1012,397,7086
E02006999,Newham 042,1893,1180,4195,2812,936,228,11244
E02007004,Thurrock 021,1734,620,1256,1712,1002,366,6690
E02007005,Thurrock 022,2117,810,1692,2205,1099,492,8415
E02007008,Lewisham 040,833,800,2043,1420,514,154,5764
E02007009,Lewisham 041,1572,819,2022,2342,1592,796,9143
