Middle layer Super Output Areas Code,Middle layer Super Output Areas,Higher_managerial_administrative_and_professional_occupations,Lower_managerial_administrative_and_professional_occupations,Intermediate_occupations,Small_employers_and_own_account_workers,Lower_supervisory_and_technical_occupations,Semi_routine_occupations,Routine_occupations,Never_worked_and_long_term_unemployed,Full_time_students,Does_not_apply,total
E02000938,Wandsworth 016,1665,1820,746,991,352,732,729,815,744,2172,10766
E02000939,Wandsworth 017,2348,1587,405,591,86,185,165,265,361,1823,7816
E02000940,Wandsworth 018,2009,2060,681,655,283,560,539,612,493,1432,9324
E02000941,Wandsworth 019,2501,2250,702,849,243,401,418,451,398,1963,10176
E02000942,Wandsworth 020,2594,2210,665,755,166,335,277,397,483,1805,9687
E02000943,Wandsworth 021,2784,2060,597,550,127,302,338,335,403,1225,8721
E02000944,Wandsworth 022,997,1259,511,684,252,596,576,697,528,1538,7638
E02000945,Wandsworth 023,564,987,489,837,280,641,714,778,979,1571,7840
E02000946,Wandsworth 024,1846,1750,584,734,207,413,490,664,461,1286,8435
E02000947,Wandsworth 025,2493,2141,619,677,160,330,329,374,397,1821,9341
E02000948,Wandsworth 026,3109,2499,671,629,209,407,369,438,375,1321,10027
E02000949,Wandsworth 027,3089,2462,643,794,170,315,285,322,407,1518,10005
E02000950,Wandsworth 028,1330,1372,565,779,228,464,431,545,510,1361,7585
E02000951,Wandsworth 029,1638,1547,526,459,131,309,247,415,311,848,6431
E02000952,Wandsworth 030,1644,1400,454,455,115,270,277,356,273,901,6145
E02000953,Wandsworth 031,1818,1797,516,443,146,292,295,299,651,1248,7505
E02000954,Wandsworth 032,1357,1368,485,421,126,286,315,393,383,965,6099
E02000955,Wandsworth 033,1211,1330,522,552,196,456,396,607,464,1154,6888
E02000956,Wandsworth 034,1146,1515,530,566,199,488,513,542,868,1052,7419
E02000957,Wandsworth 035,1978,2317,823,893,284,619,630,811,771,1735,10861
E02000958,Wandsworth 036,1285,1593,577,816,203,472,427,532,789,1581,8275
E02000959,Wandsworth 037,1068,1465,551,764,269,534,587,614,466,1548,7866
E02000960,Westminster 001,1608,1057,350,570,77,231,196,565,568,933,6155
E02000961,Westminster 002,2074,1595,577,773,224,508,430,999,842,1793,9815
E02000962,Westminster 003,1974,1280,399,631,117,365,292,807,860,978,7703
E02000963,Westminster 004,969,1452,734,846,342,963,862,1536,943,1877,10524
E02000964,Westminster 005,1633,1936,935,919,392,970,943,1549,1015,1850,12142
E02000965,Westminster 006,2144,1591,488,643,162,360,349,501,560,1078,7876
E02000966,Westminster 007,2571,1815,449,978,169,389,296,666,626,1290,9249
E02000967,Westminster 008,1824,1023,321,468,59,176,132,409,1015,629,6056
E02000968,Westminster 009,1225,1565,893,821,476,1296,1218,2786,1762,2440,14482
E02000969,Westminster 010,958,1237,638,619,303,721,730,1602,1029,1771,9608
E02000970,Westminster 011,2194,1262,283,681,93,260,219,454,680,710,6836
E02000971,Westminster 012,2197,1305,313,572,126,314,209,582,1132,725,7475
E02000972,Westminster 013,1848,1529,381,702,152,345,304,562,1446,610,7879
E02000973,Westminster 014,2589,1895,593,921,190,550,488,762,802,1165,9955
E02000974,Westminster 015,2161,1299,364,715,175,358,263,877,1473,1016,8701
E02000975,Westminster 016,2138,1417,332,678,140,290,267,475,1016,663,7416
E02000976,Westminster 017,2193,1491,448,659,147,398,349,761,1066,919,8431
E02000977,Westminster 018,1524,1163,472,573,158,300,229,520,980,469,6388
E02000978,Westminster 019,1702,1002,337,738,107,244,264,499,1366,866,7125
E02000979,Westminster 020,2115,1411,468,534,206,362,347,721,921,1002,8087
E02000980,Westminster 021,1800,1537,591,654,236,627,531,838,841,1071,8726
E02000981,Westminster 022,2317,1608,512,676,208,395,339,850,615,751,8271
E02000982,Westminster 023,1401,1167,483,695,183,535,514,855,741,1061,7635
E02000983,Westminster 024,1508,1334,561,599,212,469,454,797,658,1102,7694
E02003237,Peterborough 001,759,1216,736,577,299,523,542,309,263,931,6155
E02003238,Peterborough 002,520,971,670,405,284,619,654,320,223,1071,5737
E02003239,Peterborough 003,832,1387,1102,763,421,821,900,413,279,1411,8329
E02003240,Peterborough 004,1000,1450,749,558,295,429,491,207,262,1426,6867
E02003241,Peterborough 005,629,1270,774,619,385,748,779,359,263,1354,7180
E02003242,Peterborough 006,681,1242,995,679,482,1001,1116,537,270,1443,8446
E02003243,Peterborough 007,446,1116,934,783,558,1429,2074,1023,574,3232,12169
E02003244,Peterborough 008,363,831,711,764,474,1007,1778,976,508,2623,10035
E02003245,Peterborough 009,220,700,633,456,382,913,1629,724,429,2161,8247
E02003246,Peterborough 010,282,693,665,733,489,956,2111,1226,549,2328,10032
E02003247,Peterborough 011,468,1158,825,539,425,930,1459,639,411,1996,8850
E02003248,Peterborough 012,520,1022,845,939,466,901,1836,1295,893,2856,11573
E02003249,Peterborough 013,588,1342,980,828,619,1316,2254,1152,594,3151,12824
E02003250,Peterborough 014,780,1107,733,781,496,1041,2609,1292,700,2513,12052
E02003251,Peterborough 015,1191,1569,921,574,231,556,587,481,390,1421,7921
E02003252,Peterborough 016,1172,1665,1071,786,450,1092,1748,904,611,3028,12527
E02003253,Peterborough 017,785,1421,956,706,477,1075,1733,645,403,2064,10265
E02003254,Peterborough 018,1442,1869,1147,735,346,685,752,392,313,1557,9238
E02003255,Peterborough 019,1006,2065,1478,956,723,1286,1808,785,528,3089,13724
E02003257,Peterborough 021,365,938,812,558,441,998,1868,766,483,2388,9617
E02003258,Luton 001,980,1563,1035,811,381,752,715,497,361,1515,8610
E02003259,Luton 002,377,907,705,608,355,659,778,468,390,1554,6801
E02003260,Luton 003,282,919,718,642,372,918,1142,911,633,2413,8950
E02003261,Luton 004,558,986,676,577,275,624,632,555,348,1211,6442
E02003262,Luton 005,577,1296,967,866,484,1096,1340,1113,762,2688,11189
E02003263,Luton 006,732,1591,1182,1133,519,1210,1428,1284,841,3053,12973
E02003264,Luton 007,1193,1654,949,844,320,642,590,697,718,2244,9851
E02003265,Luton 008,677,1369,1028,751,482,816,882,463,335,1429,8232
E02003266,Luton 009,434,1167,805,754,411,1036,1300,939,696,2571,10113
E02003267,Luton 010,679,1210,912,1317,423,1107,1432,2050,1436,4075,14641
E02003268,Luton 011,613,1334,894,1087,388,1029,1264,1539,1181,3622,12951
E02003269,Luton 012,896,1641,1086,965,502,924,1096,748,643,2270,10771
E02003270,Luton 013,617,1362,743,724,339,780,952,764,668,1858,8807
E02003271,Luton 014,905,1674,1235,870,543,963,939,553,525,2008,10215
E02003272,Luton 015,416,774,649,933,312,928,1228,1879,1095,3139,11353
E02003273,Luton 016,802,1523,1106,978,553,1169,1357,980,815,2748,12031
E02003274,Luton 017,392,810,597,761,396,908,1417,1986,1095,3177,11539
E02003276,Luton 019,278,622,450,774,254,754,1302,1353,1002,2360,9149
E02003277,Luton 020,391,1071,822,1064,516,1087,1489,1246,1003,2924,11613
E02003278,Luton 021,761,1332,929,1180,522,1218,1991,1092,1539,2712,13276
E02003279,Southend-on-Sea 001,888,1686,1192,1027,457,1002,836,530,315,1518,9451
E02003280,Southend-on-Sea 002,830,1698,1265,1000,504,1149,1021,699,399,2016,10581
E02003281,Southend-on-Sea 003,952,1669,1236,1049,382,919,749,632,326,1529,9443
E02003282,Southend-on-Sea 004,1102,1878,1212,1058,420,1005,764,663,480,2103,10685
E02003283,Southend-on-Sea 005,1024,1928,1132,1081,426,966,902,820,499,2217,10995
E02003284,Southend-on-Sea 006,794,1678,1219,1017,534,1305,1104,725,490,2342,11208
E02003285,Southend-on-Sea 007,872,1930,1095,1043,479,1165,974,709,503,2514,11284
E02003286,Southend-on-Sea 008,1686,1999,1122,899,227,569,367,305,364,1830,9368
E02003287,Southend-on-Sea 009,1030,1653,1108,942,368,973,844,799,433,2005,10155
E02003288,Southend-on-Sea 010,932,1820,1163,1009,541,1458,1516,1141,679,2749,13008
E02003289,Southend-on-Sea 011,1613,2270,1055,1074,274,688,447,401,329,1740,9891
E02003290,Southend-on-Sea 012,1418,2003,1030,1029,325,785,590,793,342,1612,9927
E02003291,Southend-on-Sea 013,884,1850,1240,1022,553,1333,1200,893,470,2232,11677
E02003292,Southend-on-Sea 014,764,1591,1022,978,644,1409,1421,1122,587,2549,12087
E02003293,Southend-on-Sea 015,1069,1861,1130,1165,535,1217,1065,969,808,1873,11692
E02003294,Southend-on-Sea 016,1362,1829,1119,1036,309,772,488,482,302,1417,9116
E02003295,Southend-on-Sea 017,1031,1632,1102,848,429,1004,844,734,465,2030,10119
E02003296,Thurrock 001,623,1140,949,687,432,694,756,328,309,1167,7085
E02003297,Thurrock 002,415,976,838,668,428,804,911,465,383,1424,7312
E02003298,Thurrock 003,449,1041,816,595,455,859,889,443,268,1281,7096
E02003299,Thurrock 004,745,1219,765,797,305,461,510,306,271,1039,6418
E02003300,Thurrock 005,713,1498,1077,790,478,827,920,404,394,1845,8946
E02003301,Thurrock 006,890,1715,1167,1036,564,1214,1229,810,578,2827,12030
E02003302,Thurrock 007,510,1248,863,885,484,1202,1336,863,540,2475,10406
E02003303,Thurrock 008,584,1314,922,842,514,989,1111,565,484,2192,9517
E02003304,Thurrock 009,641,1385,1017,832,454,1046,1124,690,483,1976,9648
E02003305,Thurrock 010,596,1129,847,581,351,676,657,415,325,1502,7079
E02003307,Thurrock 012,467,1225,959,851,541,1185,1491,923,498,2482,10622
E02003308,Thurrock 013,493,1150,847,628,402,786,836,373,338,1860,7713
E02003309,Thurrock 014,614,1316,912,701,412,722,825,444,383,1441,7770
E02003311,Thurrock 016,587,1248,817,833,418,921,1330,721,542,1887,9304
E02003312,Thurrock 017,512,1056,730,764,407,905,1397,634,530,2489,9424
E02003313,Thurrock 018,523,1534,1029,985,667,1530,2169,1303,964,4118,14822
E02003314,Medway 001,440,971,738,679,441,777,871,493,208,1156,6774
E02003315,Medway 002,527,1007,728,621,313,511,460,303,236,1018,5724
E02003316,Medway 003,1009,1976,1383,1125,666,1104,1138,624,525,2592,12142
E02003317,Medway 004,611,1240,810,626,319,650,661,394,323,1446,7080
E02003318,Medway 005,639,1076,767,582,303,540,499,293,237,1032,5968
E02003319,Medway 006,497,1216,718,696,413,894,1051,603,344,1810,8242
E02003320,Medway 007,1045,1625,1125,694,333,683,739,541,724,1893,9402
E02003321,Medway 008,329,791,566,520,343,737,790,635,324,1457,6492
E02003322,Medway 009,469,1004,619,549,339,820,908,530,1298,1496,8032
E02003323,Medway 010,446,1035,687,557,335,835,814,535,393,1748,7385
E02003324,Medway 011,614,1380,987,853,504,1095,1147,608,480,2408,10076
E02003325,Medway 012,338,893,579,593,334,803,991,593,543,1696,7363
E02003326,Medway 013,460,1151,766,640,350,853,904,561,416,1666,7767
E02003327,Medway 014,977,1499,696,652,252,611,662,491,371,1247,7458
E02003328,Medway 015,651,1331,750,780,403,880,1251,1039,791,2042,9918
E02003329,Medway 016,377,1036,671,524,305,696,869,454,383,1563,6878
E02003330,Medway 017,581,1156,666,588,298,658,686,374,325,1448,6780
E02003331,Medway 018,488,1245,902,756,461,1107,1143,652,419,1684,8857
E02003332,Medway 019,502,1069,671,556,277,626,593,507,279,1203,6283
E02003333,Medway 020,297,700,528,538,300,720,1046,696,309,1673,6807
E02003334,Medway 021,412,842,540,546,290,626,683,451,419,1409,6218
E02003335,Medway 022,265,706,549,562,317,819,968,666,413,2165,7430
E02003336,Medway 023,629,1126,797,615,280,627,569,368,216,1128,6355
E02003337,Medway 024,574,1118,711,809,382,694,781,647,331,1372,7419
E02003338,Medway 025,580,1132,841,634,363,792,757,485,291,1423,7298
E02003339,Medway 026,610,1118,716,615,282,611,574,409,306,1200,6441
E02003340,Medway 027,488,1015,781,687,436,1000,914,666,383,1720,8090
E02003341,Medway 028,683,1180,793,650,356,590,544,303,242,1258,6599
E02003342,Medway 029,622,1159,767,597,306,619,501,371,282,1198,6422
E02003343,Medway 030,773,1177,750,667,248,515,383,286,260,913,5972
E02003344,Medway 031,468,976,691,604,343,734,783,509,304,1391,6803
E02003345,Medway 032,632,1123,819,585,264,549,461,252,233,1336,6254
E02003346,Medway 033,634,1161,855,662,344,684,689,414,317,1327,7087
E02003347,Medway 034,502,1086,754,552,347,567,548,228,240,1273,6097
E02003348,Medway 035,1128,1614,1083,824,306,642,454,381,322,1340,8094
E02003349,Medway 036,650,1318,971,653,365,784,607,375,297,1368,7388
E02003350,Medway 037,492,1022,717,593,336,651,638,412,307,1291,6459
E02003351,Medway 038,593,1258,991,744,430,778,808,404,288,1622,7916
E02003352,Bracknell Forest 001,1044,1117,607,689,194,394,298,258,259,914,5774
E02003353,Bracknell Forest 002,2276,2619,1212,1128,408,633,522,397,464,2434,12093
E02003354,Bracknell Forest 003,1851,2141,1099,866,366,701,535,311,430,1966,10266
E02003355,Bracknell Forest 004,636,1104,719,602,350,717,686,363,272,1508,6957
E02003356,Bracknell Forest 005,1260,1457,770,647,278,431,323,252,326,1419,7163
E02003357,Bracknell Forest 006,1104,1776,1020,906,505,1013,914,476,334,2145,10193
E02003358,Bracknell Forest 007,1504,2069,1229,988,548,1077,1026,571,485,2374,11871
E02003359,Bracknell Forest 008,811,1266,703,564,348,555,539,228,172,1137,6323
E02003360,Bracknell Forest 009,1369,2052,1148,829,594,1025,943,468,471,2723,11622
E02003361,Bracknell Forest 010,812,1338,818,624,397,719,680,363,242,1447,7440
E02003362,Bracknell Forest 011,652,1198,749,520,344,670,615,336,239,1400,6723
E02003363,Bracknell Forest 012,1166,1510,678,495,198,416,305,246,701,1383,7098
E02003364,Bracknell Forest 013,950,1360,788,570,313,614,481,328,285,1326,7015
E02003365,Bracknell Forest 014,1064,1439,786,598,247,525,394,246,302,1338,6939
E02003366,Bracknell Forest 015,996,1243,931,544,317,673,503,401,368,1160,7136
E02003367,West Berkshire 001,1110,1145,558,684,245,413,405,202,431,1339,6532
E02003368,West Berkshire 002,750,964,456,755,295,454,633,268,183,937,5695
E02003369,West Berkshire 003,1474,1224,528,706,179,290,275,189,342,1192,6399
E02003370,West Berkshire 004,1205,1343,755,570,234,503,393,291,249,1184,6727
E02003371,West Berkshire 005,811,1056,810,533,272,512,435,242,215,1060,5946
E02003372,West Berkshire 006,1039,1370,936,641,334,745,625,346,298,1516,7850
E02003373,West Berkshire 007,1540,1631,779,775,269,522,403,227,560,1947,8653
E02003374,West Berkshire 008,706,1056,703,515,271,572,496,276,206,1062,5863
E02003375,West Berkshire 009,928,1142,658,562,285,476,528,256,211,1146,6192
E02003376,West Berkshire 010,785,982,610,662,264,587,521,280,154,1024,5869
E02003377,West Berkshire 011,1666,1974,955,1035,380,658,652,355,666,2071,10412
E02003378,West Berkshire 012,1231,1356,794,704,376,806,715,411,239,1377,8009
E02003379,West Berkshire 013,873,1082,707,523,342,737,764,341,268,1341,6978
E02003380,West Berkshire 014,932,1351,983,713,491,876,818,284,264,1437,8149
E02003381,West Berkshire 015,1049,1270,626,485,189,409,335,175,256,1322,6116
E02003382,West Berkshire 016,758,1147,779,594,407,853,873,365,280,1488,7544
E02003383,West Berkshire 017,993,1254,812,506,312,556,534,191,289,1472,6919
E02003384,West Berkshire 018,1219,1233,560,799,242,462,374,268,238,1084,6479
E02003385,West Berkshire 019,2063,2057,1086,837,452,1046,892,492,293,1963,11181
E02003386,West Berkshire 020,1252,1395,812,654,333,848,728,397,260,1625,8304
E02003387,West Berkshire 021,1712,1886,940,747,317,744,530,344,377,1992,9589
E02003388,West Berkshire 022,1090,1186,590,603,203,396,327,205,308,1132,6040
E02003389,Reading 001,1453,1513,855,733,227,572,457,332,371,1484,7997
E02003390,Reading 002,1892,1647,679,617,133,300,210,240,397,1636,7751
E02003391,Reading 003,1778,1683,805,651,209,539,407,285,361,1868,8586
E02003392,Reading 004,1632,1650,715,590,319,677,614,461,341,1702,8701
E02003393,Reading 005,1210,1503,965,694,312,688,586,326,313,1563,8160
E02003394,Reading 006,697,1143,791,655,397,925,986,633,395,2033,8655
E02003395,Reading 007,1316,1700,893,759,517,1162,1361,777,566,2223,11274
E02003396,Reading 008,1108,1586,888,772,449,933,1170,583,412,1935,9836
E02003397,Reading 009,709,1160,892,665,340,922,796,550,344,1847,8225
E02003398,Reading 010,1338,1659,732,687,395,1035,1152,941,1495,2096,11530
E02003400,Reading 012,1199,1328,492,415,185,427,519,421,2845,1141,8972
E02003401,Reading 013,1314,1492,845,621,327,835,899,662,410,1765,9170
E02003402,Reading 014,1584,1753,760,535,386,836,1080,609,1575,1591,10709
E02003403,Reading 015,938,1411,951,709,398,1041,947,645,424,1919,9383
E02003404,Reading 016,589,788,466,428,256,647,747,500,2807,1413,8641
E02003405,Reading 017,1264,1551,1005,834,573,1405,1668,1120,738,2913,13071
E02003406,Reading 018,571,1013,776,626,390,913,1156,666,424,1709,8244
E02003407,Slough 001,659,1299,970,854,468,1021,1153,770,639,3077,10910
E02003408,Slough 002,597,1153,817,1082,428,1122,1466,1071,664,2892,11292
E02003409,Slough 003,1051,1645,1031,827,457,934,908,698,553,2340,10444
E02003410,Slough 004,564,1106,923,1068,454,1109,1390,1503,970,3160,12247
E02003411,Slough 005,705,1435,990,1056,441,1050,1431,1349,865,3182,12504
E02003412,Slough 006,942,1475,1002,922,461,877,902,729,575,2521,10406
E02003414,Slough 008,1157,1786,1167,1112,526,1147,1292,1040,842,3685,13754
E02003415,Slough 009,833,1368,924,1162,528,1160,1461,1665,925,3482,13508
E02003416,Slough 010,1280,1500,915,757,296,633,733,628,614,2456,9812
E02003417,Slough 011,1482,1898,1030,1065,443,906,1154,1015,807,3006,12806
E02003418,Slough 012,958,1432,940,815,404,805,999,804,669,2494,10320
E02003419,Slough 013,747,1154,806,720,390,761,940,687,603,2173,8981
E02003420,Slough 014,382,904,649,583,379,496,787,400,338,1500,6418
E02003421,Windsor and Maidenhead 001,986,1046,586,549,177,356,274,342,258,1099,5673
E02003422,Windsor and Maidenhead 002,2431,2467,950,1451,331,668,499,473,472,2107,11849
E02003423,Windsor and Maidenhead 003,847,962,565,585,292,584,532,424,311,1483,6585
E02003424,Windsor and Maidenhead 004,2198,2063,866,869,252,458,288,415,323,1576,9308
E02003425,Windsor and Maidenhead 005,2320,2504,1055,980,463,891,882,816,531,2626,13068
E02003426,Windsor and Maidenhead 006,1992,1978,940,898,275,545,393,385,478,1917,9801
E02003427,Windsor and Maidenhead 007,1025,1336,684,703,360,681,680,511,381,1824,8185
E02003428,Windsor and Maidenhead 008,1413,1663,979,782,362,652,568,443,374,1928,9164
E02003429,Windsor and Maidenhead 009,1480,1534,698,894,233,415,308,318,404,1455,7739
E02003430,Windsor and Maidenhead 010,977,1484,709,519,277,416,432,278,873,1557,7522
E02003431,Windsor and Maidenhead 011,1098,1302,741,678,278,451,463,433,269,1293,7006
E02003432,Windsor and Maidenhead 012,1445,1519,671,628,217,409,361,315,249,1285,7099
E02003433,Windsor and Maidenhead 013,747,1340,755,543,246,561,446,325,238,1267,6468
E02003434,Windsor and Maidenhead 014,1218,1648,868,781,398,772,695,545,408,1860,9193
E02003435,Windsor and Maidenhead 015,1660,1509,675,592,194,372,231,233,306,1371,7143
E02003436,Windsor and Maidenhead 016,1486,1809,962,1041,427,545,456,456,340,1515,9037
E02003437,Windsor and Maidenhead 017,1442,1475,663,715,211,405,312,320,475,1407,7425
E02003438,Windsor and Maidenhead 018,2343,2219,891,1125,297,501,430,507,672,2246,11231
E02003439,Wokingham 001,1219,1122,483,582,157,295,224,258,195,992,5527
E02003440,Wokingham 002,2005,1912,888,721,227,516,390,289,411,1914,9273
E02003441,Wokingham 003,1361,1574,849,709,257,505,382,301,320,1413,7671
E02003442,Wokingham 004,1625,1788,893,597,234,528,400,222,333,1869,8489
E02003443,Wokingham 005,842,1083,693,559,277,648,609,444,262,1568,6985
E02003444,Wokingham 006,1625,1664,872,759,254,635,557,500,541,1969,9376
E02003445,Wokingham 007,1303,1645,1020,727,343,670,544,380,324,1815,8771
E02003446,Wokingham 008,1753,1607,862,617,203,450,333,334,2030,1614,9803
E02003447,Wokingham 009,2033,2042,1026,773,356,693,516,425,470,2382,10716
E02003448,Wokingham 010,1645,1656,802,674,240,481,298,252,330,1742,8120
E02003449,Wokingham 011,1309,1546,842,567,272,476,363,246,348,1519,7488
E02003450,Wokingham 012,2396,2452,1284,949,430,827,792,550,597,2915,13192
E02003451,Wokingham 013,1718,1959,976,746,373,807,582,471,343,1743,9718
E02003452,Wokingham 014,2060,1958,889,598,270,512,354,258,397,2198,9494
E02003453,Wokingham 015,1649,1485,711,488,149,367,214,168,340,1409,6980
E02003454,Wokingham 016,1877,1782,904,669,215,530,348,334,360,1733,8752
E02003455,Wokingham 017,2088,2150,961,949,323,590,525,329,328,2402,10645
E02003456,Wokingham 018,1418,1562,732,735,266,529,412,267,341,2008,8270
E02003457,Wokingham 019,2314,2110,954,854,238,494,287,316,455,1778,9800
E02003458,Wokingham 020,1651,1772,863,695,222,490,326,314,393,1697,8423
E02003459,Milton Keynes 001,1568,1937,888,936,291,598,526,293,366,1604,9007
E02003460,Milton Keynes 002,1979,2322,1193,1177,423,735,718,433,431,2263,11674
E02003461,Milton Keynes 003,914,1344,917,623,350,628,669,307,296,1431,7479
E02003462,Milton Keynes 004,1147,1523,931,664,363,631,674,321,294,1560,8108
E02003463,Milton Keynes 005,815,1150,726,548,284,627,743,418,325,1178,6814
E02003464,Milton Keynes 006,508,856,644,464,323,781,968,486,439,1597,7066
E02003465,Milton Keynes 007,947,1169,729,523,236,537,561,301,214,855,6072
E02003466,Milton Keynes 008,922,1312,748,615,301,651,742,433,410,1654,7788
E02003467,Milton Keynes 009,495,886,616,456,298,685,1026,442,382,1301,6587
E02003468,Milton Keynes 010,1097,1647,938,672,383,688,756,441,363,1639,8624
E02003469,Milton Keynes 011,736,1068,686,450,252,509,494,282,249,1003,5729
E02003470,Milton Keynes 012,235,521,468,428,241,646,964,538,439,1715,6195
E02003471,Milton Keynes 013,575,901,665,446,288,670,943,456,417,1268,6629
E02003472,Milton Keynes 014,1139,1427,758,669,442,850,1615,672,807,1822,10201
E02003473,Milton Keynes 015,851,1037,633,398,195,415,484,276,239,1080,5608
E02003474,Milton Keynes 016,1244,1487,859,575,331,692,878,386,566,1998,9016
E02003476,Milton Keynes 018,368,828,582,535,366,983,1597,825,649,2048,8781
E02003478,Milton Keynes 020,1105,1219,720,471,220,476,486,395,358,1388,6838
E02003479,Milton Keynes 021,514,881,648,480,310,779,1220,538,553,1755,7678
E02003480,Milton Keynes 022,1080,1420,903,541,319,669,808,363,414,1635,8152
E02003481,Milton Keynes 023,537,934,637,496,328,871,1296,679,555,2040,8373
E02003482,Milton Keynes 024,1499,1807,867,738,333,518,590,267,367,1761,8747
E02003483,Milton Keynes 025,1840,1971,1131,703,295,695,779,411,733,2657,11215
E02003484,Milton Keynes 026,831,1178,788,526,255,651,709,403,382,1429,7152
E02003485,Milton Keynes 027,596,1139,887,601,430,886,1102,517,382,1724,8264
E02003486,Milton Keynes 028,1557,1768,1049,650,334,677,711,394,609,2439,10188
E02003487,Milton Keynes 029,655,1091,819,551,406,797,841,445,336,1447,7388
E02003488,Milton Keynes 030,581,1136,843,614,453,935,1139,598,440,1728,8467
E02003489,Milton Keynes 031,769,1315,903,612,385,732,791,388,282,1464,7641
E02003490,Milton Keynes 032,769,1376,885,608,490,1034,1380,803,731,3127,11203
E02003491,Brighton and Hove 001,914,1379,815,937,231,694,494,387,420,1519,7790
E02003492,Brighton and Hove 002,287,611,402,524,246,598,599,525,5402,922,10116
E02003493,Brighton and Hove 003,1330,1603,826,924,204,551,354,394,411,1465,8062
E02003494,Brighton and Hove 004,1186,1344,557,688,181,433,264,257,431,1297,6638
E02003495,Brighton and Hove 005,603,1145,798,726,359,840,581,375,320,1408,7155
E02003496,Brighton and Hove 006,704,1189,769,818,266,779,622,603,401,1599,7750
E02003497,Brighton and Hove 007,1466,1531,667,952,152,359,231,299,424,1505,7586
E02003498,Brighton and Hove 008,507,978,594,725,306,784,769,707,1734,1443,8547
E02003499,Brighton and Hove 009,389,816,543,713,309,808,774,676,1515,1307,7850
E02003500,Brighton and Hove 010,1385,1746,549,775,155,392,278,216,925,1651,8072
E02003501,Brighton and Hove 011,1656,1919,703,862,200,419,312,345,524,1442,8382
E02003502,Brighton and Hove 012,700,1326,721,823,335,794,669,514,382,1518,7782
E02003503,Brighton and Hove 013,981,1489,832,1012,316,838,656,577,576,1806,9083
E02003504,Brighton and Hove 014,1559,1969,648,788,231,493,372,308,975,1213,8556
E02003505,Brighton and Hove 015,1080,1542,588,767,213,498,458,334,2610,874,8964
E02003506,Brighton and Hove 016,1248,1565,578,668,198,401,341,282,359,1523,7163
E02003507,Brighton and Hove 017,976,1612,1058,1125,413,961,781,630,445,1770,9771
E02003508,Brighton and Hove 018,1049,1627,562,688,229,490,370,240,2255,1195,8705
E02003509,Brighton and Hove 019,1511,2016,797,939,308,691,539,495,451,1148,8895
E02003510,Brighton and Hove 020,1599,2065,727,923,256,540,366,403,564,1208,8651
E02003511,Brighton and Hove 021,1168,1727,719,961,274,618,508,412,453,1806,8646
E02003512,Brighton and Hove 022,1210,1762,546,665,190,484,393,341,2231,1134,8956
E02003513,Brighton and Hove 023,1043,1296,483,741,173,422,348,466,355,1161,6488
E02003514,Brighton and Hove 024,1575,2127,666,737,305,592,471,373,849,771,8466
E02003515,Brighton and Hove 025,444,1007,634,804,386,1146,1127,1100,603,1836,9087
E02003516,Brighton and Hove 026,1447,2106,713,899,283,599,423,396,591,723,8180
E02003517,Brighton and Hove 027,1635,2171,725,922,382,678,655,524,2195,851,10738
E02003518,Brighton and Hove 028,1377,1727,651,937,225,562,391,538,343,825,7576
E02003519,Brighton and Hove 029,1418,2074,651,914,315,568,574,404,734,586,8238
E02003520,Brighton and Hove 030,1077,1687,677,864,340,754,715,715,1394,949,9172
E02003521,Brighton and Hove 031,1192,1873,606,881,287,592,514,488,848,797,8078
E02003522,Brighton and Hove 032,1230,1541,607,861,261,553,482,513,659,1099,7806
E02003523,Brighton and Hove 033,1605,2345,1065,1305,277,739,489,532,418,1383,10158
E02003524,Portsmouth 001,291,849,639,686,416,1097,1150,705,411,1872,8116
E02003525,Portsmouth 002,248,856,509,527,269,752,930,571,342,1434,6438
E02003526,Portsmouth 003,947,1418,803,597,273,562,450,364,319,1098,6831
E02003527,Portsmouth 004,578,1086,689,600,320,634,664,337,234,1237,6379
E02003529,Portsmouth 006,795,1615,962,664,349,800,659,375,418,1691,8328
E02003530,Portsmouth 007,574,1326,839,626,403,880,788,485,357,1587,7865
E02003531,Portsmouth 008,650,1404,969,760,429,844,719,348,341,1256,7720
E02003532,Portsmouth 009,618,1319,792,734,376,841,797,491,367,1536,7871
E02003533,Portsmouth 010,301,714,539,517,314,714,853,423,202,1208,5785
E02003534,Portsmouth 011,602,1426,966,784,477,919,970,454,474,1823,8895
E02003535,Portsmouth 012,525,1364,973,764,509,1155,1179,557,468,2170,9664
E02003536,Portsmouth 013,203,622,496,633,364,960,1227,1007,576,1924,8012
E02003537,Portsmouth 014,839,1781,1174,938,517,1047,969,542,502,1951,10260
E02003538,Portsmouth 015,550,1292,830,828,532,1250,1283,741,912,2139,10357
E02003540,Portsmouth 017,853,1694,982,846,448,900,867,585,509,1745,9429
E02003541,Portsmouth 018,451,951,622,531,422,902,1027,1006,3069,1956,10937
E02003542,Portsmouth 019,835,1540,752,624,355,740,622,377,1564,1422,8831
E02003543,Portsmouth 020,734,1244,571,600,316,659,657,433,2469,1104,8787
E02003544,Portsmouth 021,700,1291,612,504,292,598,513,289,330,1190,6319
E02003545,Portsmouth 022,948,1370,532,582,271,563,489,487,854,652,6748
E02003546,Portsmouth 023,1019,1650,826,815,315,686,632,397,379,1206,7925
E02003547,Portsmouth 024,1364,1695,673,785,248,583,471,447,1137,685,8088
