Middle layer Super Output Areas Code,Middle layer Super Output Areas,Higher_managerial_administrative_and_professional_occupations,Lower_managerial_administrative_and_professional_occupations,Intermediate_occupations,Small_employers_and_own_account_workers,Lower_supervisory_and_technical_occupations,Semi_routine_occupations,Routine_occupations,Never_worked_and_long_term_unemployed,Full_time_students,Does_not_apply,total
E02006610,Mid Sussex 007,1302,1666,745,906,284,484,413,267,272,1531,7870
E02006611,Mid Sussex 008,2150,2561,1206,951,307,666,418,294,465,2461,11479
E02006612,Mid Sussex 009,2028,2613,1286,929,423,886,617,463,412,2168,11825
E02006613,Mid Sussex 010,892,1463,808,671,363,751,574,343,325,1561,7751
E02006614,Mid Sussex 011,2372,2631,1274,1077,390,844,560,416,552,2736,12852
E02006615,Mid Sussex 012,933,1391,822,566,323,667,470,192,319,1377,7060
E02006616,Mid Sussex 013,1330,1937,1117,872,426,901,685,353,318,1901,9840
E02006617,Mid Sussex 014,1083,1582,973,806,460,997,801,500,319,1613,9134
E02006618,Mid Sussex 015,1075,1365,841,542,221,536,341,163,300,1072,6456
E02006619,Mid Sussex 016,1360,1768,765,1146,303,505,449,297,508,1978,9079
E02006620,Mid Sussex 017,1721,2201,1071,1012,278,658,419,340,389,1947,10036
E02006621,Worthing 001,1083,1586,1027,1006,328,685,438,372,256,910,7691
E02006622,Worthing 002,872,1428,945,848,388,789,588,374,318,1338,7888
E02006623,Worthing 003,614,1183,867,770,422,1005,788,520,342,1577,8088
E02006624,Worthing 004,1118,1488,854,716,277,601,370,210,356,1340,7330
E02006625,Worthing 005,767,1484,933,777,363,837,604,318,362,1606,8051
E02006626,Worthing 006,791,1529,1045,854,453,1161,870,532,459,2493,10187
E02006627,Worthing 007,984,1811,1125,922,455,1002,759,447,381,1721,9607
E02006628,Worthing 008,826,1641,857,840,394,955,754,457,435,1783,8942
E02006629,Worthing 009,617,1381,788,695,341,947,718,510,365,1450,7812
E02006630,Worthing 010,949,1765,985,894,387,1054,765,761,245,1101,8906
E02006631,Worthing 011,991,2038,1037,1062,513,1165,948,705,413,1313,10185
E02006632,Worthing 012,1207,1831,1059,810,324,732,467,334,291,1191,8246
E02006633,Worthing 013,1135,1746,1114,866,310,762,533,456,324,1160,8406
E02006782,Bromley 040,1083,1500,812,814,280,636,463,495,421,1622,8126
E02006783,Lewisham 037,465,992,618,694,315,749,756,745,566,1872,7772
E02006784,Lewisham 038,566,1100,695,737,304,793,771,823,556,1620,7965
E02006785,Bexley 029,656,1060,780,581,322,577,617,479,324,1227,6623
E02006786,Greenwich 033,566,1068,664,587,327,826,671,661,491,1696,7557
E02006787,Bromley 041,1360,1576,791,683,212,465,363,334,366,1743,7893
E02006788,Croydon 045,734,1257,713,660,227,703,539,578,513,1687,7611
E02006789,Bromley 042,833,1295,856,936,253,503,376,350,271,1108,6781
E02006790,Tandridge 012,1005,1463,875,955,293,599,437,364,306,1422,7719
E02006791,Ealing 040,1760,1665,493,721,190,352,344,413,388,1240,7566
E02006792,Hounslow 029,2055,1970,610,843,211,414,407,545,605,1339,8999
E02006793,Enfield 037,368,1004,612,776,332,859,983,1522,870,2319,9645
E02006794,Haringey 037,359,873,460,804,299,708,981,1101,690,2012,8287
E02006795,Harrow 032,1019,1213,807,874,248,596,523,668,660,1661,8269
