Middle layer Super Output Areas Code,Middle layer Super Output Areas,Does_not_apply,Less_than_2km,2km_to_less_than_5km,5km_to_less_than_10km,10km_to_less_than_20km,20km_to_less_than_30km,30km_to_less_than_40km,40km_to_less_than_60km,60km_and_over,outside_the_UK,Works_mainly_from_home,Total
E02006003,West Oxfordshire 011,2985,194,118,583,430,70,36,23,53,416,1022,5930
E02006004,West Oxfordshire 012,3137,353,156,309,373,267,120,49,72,842,1663,7341
E02006005,West Oxfordshire 013,4317,1400,217,833,346,630,97,42,106,749,1294,10031
E02006006,West Oxfordshire 014,2689,704,87,485,193,288,58,26,52,434,636,5652
E02006007,West Oxfordshire 015,3698,130,148,568,428,213,50,38,68,515,1453,7309
E02006227,Babergh 001,3610,128,83,293,405,217,57,48,66,490,1032,6429
E02006228,Babergh 002,3195,99,89,438,507,176,141,62,43,590,818,6158
E02006229,Babergh 003,3449,280,313,120,327,239,90,56,44,523,740,6181
E02006230,Babergh 004,6030,811,155,392,956,263,54,62,113,771,1405,11012
E02006231,Babergh 005,4065,271,547,574,470,217,112,55,92,674,1551,8628
E02006232,Babergh 006,3312,86,384,185,309,250,69,42,67,523,894,6121
E02006233,Babergh 007,6352,1374,267,150,452,555,180,73,97,974,1148,11622
E02006234,Babergh 008,5234,875,504,224,498,525,167,59,89,869,906,9950
E02006235,Babergh 009,4400,94,135,379,559,235,56,53,75,639,1574,8199
E02006236,Babergh 010,5580,185,190,430,899,237,88,94,130,726,1881,10440
E02006237,Babergh 011,4157,210,148,473,477,160,88,74,76,510,1222,7595
E02006238,West Suffolk 002,5200,581,72,724,452,728,112,236,103,785,696,9689
E02006239,West Suffolk 001,4344,723,383,641,384,303,204,89,80,906,668,8725
E02006240,West Suffolk 003,4863,579,753,417,671,434,225,92,140,928,1129,10231
E02006241,West Suffolk 004,4581,796,434,315,753,164,240,79,82,703,694,8841
E02006242,West Suffolk 007,4799,111,263,953,1032,626,145,139,132,840,1601,10641
E02006243,West Suffolk 008,4153,1022,493,204,819,438,49,76,102,796,1178,9330
E02006245,Ipswich 001,4709,389,877,447,328,101,91,30,52,599,663,8286
