Middle layer Super Output Areas Code,Middle layer Super Output Areas,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,total
E02000542,Hounslow 017,1229,1648,810,243,23,3953
E02000543,Hounslow 018,1854,1903,870,236,29,4892
E02000544,Hounslow 019,1482,978,383,75,4,2922
E02000545,Hounslow 020,1597,1143,628,169,11,3548
E02000546,Hounslow 021,1169,1230,603,150,7,3159
E02000547,Hounslow 022,1420,1494,745,181,14,3854
E02000548,Hounslow 023,1348,1457,688,213,20,3726
E02000549,Hounslow 024,1637,1557,708,165,16,4083
E02000550,Hounslow 025,1492,1354,663,196,14,3719
E02000551,Hounslow 026,1179,1279,742,190,25,3415
E02000552,Hounslow 027,1503,1228,494,127,9,3361
E02000553,Hounslow 028,1116,910,442,117,15,2600
E02000554,Islington 001,1668,1413,786,306,29,4202
E02000555,Islington 002,1885,1306,621,204,18,4034
E02000556,Islington 003,2390,1477,726,320,35,4948
E02000557,Islington 004,1869,1402,618,223,25,4137
E02000558,Islington 005,1336,1400,840,359,22,3957
E02000559,Islington 006,2305,1079,451,149,11,3995
E02000560,Islington 007,1559,1067,505,133,11,3275
E02000561,Islington 008,1713,956,351,123,15,3158
E02000562,Islington 009,1775,1034,505,160,13,3487
E02000563,Islington 010,1487,1304,765,275,27,3858
E02000564,Islington 011,2878,1754,766,239,27,5664
E02000565,Islington 012,1600,1041,599,242,15,3497
E02000566,Islington 013,2223,1004,445,156,9,3837
E02000567,Islington 014,2451,1406,728,277,32,4894
E02000568,Islington 015,1911,1533,857,352,16,4669
E02000569,Islington 016,2194,1402,739,250,16,4601
E02000570,Islington 017,2359,1049,424,146,12,3990
E02000571,Islington 018,2068,1185,596,254,19,4122
E02000572,Islington 019,1285,1155,735,331,18,3524
E02000573,Islington 020,2948,1260,512,188,13,4921
E02000574,Islington 021,1839,1104,472,179,11,3605
E02000575,Islington 022,2660,1487,722,278,24,5171
E02000576,Islington 023,2254,1586,814,268,31,4953
E02000577,Kensington and Chelsea 001,1012,1123,693,313,35,3176
E02000578,Kensington and Chelsea 002,705,781,571,229,23,2309
E02000579,Kensington and Chelsea 003,1695,1232,618,240,35,3820
E02000580,Kensington and Chelsea 004,1657,1232,787,263,49,3988
E02000581,Kensington and Chelsea 005,936,1017,653,373,31,3010
E02000582,Kensington and Chelsea 006,1890,994,319,62,8,3273
E02000583,Kensington and Chelsea 007,1898,822,296,83,19,3118
E02000584,Kensington and Chelsea 008,2109,932,231,54,5,3331
E02000585,Kensington and Chelsea 009,1879,1007,361,119,20,3386
E02000586,Kensington and Chelsea 010,1909,781,155,36,0,2881
E02000587,Kensington and Chelsea 011,1967,804,203,50,3,3027
E02000588,Kensington and Chelsea 012,2068,766,192,43,8,3077
E02000589,Kensington and Chelsea 013,1997,1166,371,102,23,3659
E02000590,Kensington and Chelsea 014,1384,1066,417,163,19,3049
E02000591,Kensington and Chelsea 015,1479,1093,447,180,39,3238
E02000592,Kensington and Chelsea 016,1802,811,172,45,9,2839
E02000593,Kensington and Chelsea 017,1990,1188,355,134,17,3684
E02000594,Kensington and Chelsea 018,1825,786,238,60,13,2922
E02000595,Kensington and Chelsea 019,1796,832,263,113,25,3029
E02000596,Kensington and Chelsea 020,1935,819,225,76,18,3073
E02000597,Kensington and Chelsea 021,1242,993,552,184,29,3000
E02000598,Kingston upon Thames 001,1840,850,236,42,3,2971
E02000599,Kingston upon Thames 002,1485,683,151,30,2,2351
E02000600,Kingston upon Thames 003,1923,1049,339,65,2,3378
E02000601,Kingston upon Thames 004,2987,1327,435,100,9,4858
E02000602,Kingston upon Thames 005,1915,1313,600,204,14,4046
E02000603,Kingston upon Thames 006,1420,952,448,127,3,2950
E02000604,Kingston upon Thames 007,2007,1107,371,70,4,3559
E02000605,Kingston upon Thames 008,1778,932,339,63,3,3115
E02000606,Kingston upon Thames 009,2840,1459,411,89,12,4811
E02000607,Kingston upon Thames 010,1543,755,234,45,6,2583
E02000608,Kingston upon Thames 011,1998,957,360,78,11,3404
E02000609,Kingston upon Thames 012,1373,922,361,77,4,2737
E02000610,Kingston upon Thames 013,2129,1185,431,117,9,3871
E02000611,Kingston upon Thames 014,1565,831,221,31,2,2650
E02000612,Kingston upon Thames 015,1803,944,292,36,3,3078
E02000613,Kingston upon Thames 016,1841,953,313,80,8,3195
E02000614,Kingston upon Thames 017,1750,1092,437,89,6,3374
E02000615,Kingston upon Thames 018,1504,1036,356,57,4,2957
E02000616,Kingston upon Thames 019,1344,776,227,38,0,2385
E02000617,Kingston upon Thames 020,1594,1150,482,114,3,3343
E02000619,Lambeth 002,1765,1352,710,211,16,4054
E02000620,Lambeth 003,2288,1453,649,191,8,4589
E02000621,Lambeth 004,3246,1838,697,202,24,6007
E02000622,Lambeth 005,1778,1212,479,146,16,3631
E02000623,Lambeth 006,1288,1239,613,175,13,3328
E02000624,Lambeth 007,2101,1348,611,190,22,4272
E02000625,Lambeth 008,1545,1469,590,172,19,3795
E02000626,Lambeth 009,1236,1287,690,216,19,3448
E02000627,Lambeth 010,1819,1309,605,176,8,3917
E02000628,Lambeth 011,1875,1495,842,248,23,4483
E02000629,Lambeth 012,2386,1064,397,163,6,4016
E02000630,Lambeth 013,2018,966,329,99,18,3430
E02000631,Lambeth 014,1897,1207,476,142,17,3739
E02000632,Lambeth 015,2515,1231,397,110,8,4261
E02000633,Lambeth 016,1826,1292,646,173,26,3963
E02000634,Lambeth 017,1549,921,446,183,8,3107
E02000635,Lambeth 018,2323,1206,602,188,18,4337
E02000636,Lambeth 019,2020,783,231,44,1,3079
E02000637,Lambeth 020,2044,1135,424,95,7,3705
E02000638,Lambeth 021,1980,1362,600,155,10,4107
E02000639,Lambeth 022,1619,1362,559,169,15,3724
E02000640,Lambeth 023,2267,1033,398,95,13,3806
E02000641,Lambeth 024,1346,1182,656,193,13,3390
E02000642,Lambeth 025,2187,1269,536,174,6,4172
E02000643,Lambeth 026,2117,1182,508,134,6,3947
E02000644,Lambeth 027,1913,1102,360,113,8,3496
E02000645,Lambeth 028,2092,1206,559,171,19,4047
E02000646,Lambeth 029,2134,1175,456,127,13,3905
E02000647,Lambeth 030,1775,1100,426,110,12,3423
E02000648,Lambeth 031,1363,1025,606,183,11,3188
E02000649,Lambeth 032,2593,1718,734,228,32,5305
E02000650,Lambeth 033,1576,969,513,207,13,3278
E02000651,Lambeth 034,1711,1166,477,111,14,3479
E02000652,Lambeth 035,1206,907,349,77,3,2542
E02000653,Lewisham 001,2609,1615,796,255,18,5293
E02000654,Lewisham 002,1373,1256,696,245,26,3596
E02000655,Lewisham 003,1615,1481,697,196,18,4007
E02000657,Lewisham 005,1907,1261,589,217,17,3991
E02000658,Lewisham 006,1519,1173,547,203,16,3458
E02000659,Lewisham 007,1916,1064,425,125,11,3541
E02000660,Lewisham 008,1898,1136,440,121,8,3603
E02000661,Lewisham 009,1627,931,354,121,14,3047
E02000662,Lewisham 010,1521,1108,513,153,9,3304
E02000663,Lewisham 011,1475,897,346,95,6,2819
E02000665,Lewisham 013,1764,1044,470,128,10,3416
E02000666,Lewisham 014,1371,876,377,104,8,2736
E02000667,Lewisham 015,1455,713,291,62,3,2524
E02000668,Lewisham 016,1540,780,322,84,1,2727
E02000669,Lewisham 017,1675,1027,442,151,13,3308
E02000670,Lewisham 018,1186,1005,447,132,11,2781
E02000671,Lewisham 019,1979,1074,470,149,9,3681
E02000672,Lewisham 020,1873,1382,599,288,58,4200
E02000673,Lewisham 021,2025,1002,382,89,2,3500
E02000674,Lewisham 022,1519,1042,389,99,8,3057
E02000675,Lewisham 023,1706,1140,446,117,11,3420
E02000676,Lewisham 024,1734,962,396,86,11,3189
E02000677,Lewisham 025,1250,853,424,106,9,2642
E02000678,Lewisham 026,1018,907,493,181,16,2615
E02000679,Lewisham 027,1576,1077,517,183,22,3375
E02000680,Lewisham 028,1388,963,415,131,16,2913
E02000681,Lewisham 029,1363,1146,625,196,20,3350
E02000682,Lewisham 030,1304,1140,580,173,20,3217
E02000683,Lewisham 031,1153,862,522,177,10,2724
E02000685,Lewisham 033,1565,1095,584,155,24,3423
E02000686,Lewisham 034,1168,1057,576,222,21,3044
E02000687,Lewisham 035,1635,1137,508,154,21,3455
E02000689,Merton 001,2322,872,251,58,9,3512
E02000690,Merton 002,1471,594,132,22,6,2225
E02000691,Merton 003,1888,771,258,36,4,2957
E02000692,Merton 004,2340,946,236,44,2,3568
E02000693,Merton 005,2554,1218,404,98,8,4282
E02000694,Merton 006,2347,1020,370,91,6,3834
E02000695,Merton 007,1459,997,407,69,7,2939
E02000696,Merton 008,1529,1185,430,116,9,3269
E02000697,Merton 009,2430,941,255,38,3,3667
E02000698,Merton 010,2101,850,187,44,4,3186
E02000699,Merton 011,2087,902,244,27,2,3262
E02000700,Merton 012,1405,1167,606,168,12,3358
E02000701,Merton 013,1327,1150,520,109,8,3114
E02000702,Merton 014,1417,1226,546,164,13,3366
E02000703,Merton 015,1759,890,247,35,5,2936
E02000704,Merton 016,1997,1074,398,99,5,3573
E02000705,Merton 017,1602,1028,403,76,8,3117
E02000706,Merton 018,1397,1225,672,218,22,3534
E02000707,Merton 019,1087,1048,484,155,4,2778
E02000708,Merton 020,1948,932,319,56,0,3255
E02000709,Merton 021,1600,909,308,51,1,2869
E02000710,Merton 022,1449,1288,566,126,10,3439
E02000711,Merton 023,1599,1200,508,141,10,3458
E02000712,Merton 024,1418,1218,571,186,13,3406
E02000713,Merton 025,1526,944,308,51,1,2830
E02000714,Newham 001,1126,904,459,146,10,2645
E02000715,Newham 002,600,838,463,178,11,2090
E02000716,Newham 003,827,864,450,148,13,2302
E02000717,Newham 004,706,953,538,183,15,2395
E02000718,Newham 005,676,889,486,184,12,2247
E02000719,Newham 006,1149,1043,495,173,11,2871
E02000720,Newham 007,810,772,431,107,3,2123
E02000721,Newham 008,842,1091,630,187,14,2764
E02000722,Newham 009,1134,1056,553,181,11,2935
E02000723,Newham 010,876,1112,641,220,12,2861
E02000724,Newham 011,773,970,602,181,9,2535
E02000725,Newham 012,1689,1384,705,201,22,4001
E02000727,Newham 014,644,943,516,174,13,2290
E02000728,Newham 015,788,910,513,125,6,2342
E02000729,Newham 016,743,834,429,187,9,2202
E02000730,Newham 017,752,992,610,201,11,2566
E02000731,Newham 018,822,1141,592,203,12,2770
E02000732,Newham 019,884,1039,593,215,21,2752
E02000733,Newham 020,1199,1322,671,254,17,3463
E02000734,Newham 021,838,951,521,172,13,2495
E02000735,Newham 022,892,1013,550,177,27,2659
E02000736,Newham 023,848,1044,559,193,10,2654
E02000737,Newham 024,1025,1107,694,222,18,3066
E02000738,Newham 025,1091,1045,495,146,9,2786
E02000739,Newham 026,850,953,502,157,17,2479
E02000740,Newham 027,851,955,509,162,18,2495
E02000741,Newham 028,977,994,531,171,11,2684
E02000742,Newham 029,877,988,497,156,7,2525
E02000743,Newham 030,1318,1244,702,293,21,3578
E02000744,Newham 031,1274,1214,617,203,18,3326
E02000745,Newham 032,1078,1081,537,166,15,2877
E02000746,Newham 033,1596,1081,524,184,11,3396
E02000747,Newham 034,2718,1629,807,274,17,5445
E02000748,Newham 035,857,811,410,122,9,2209
E02000749,Newham 036,1159,1182,683,286,20,3330
E02000751,Redbridge 001,2512,1380,459,82,5,4438
E02000752,Redbridge 002,1410,1087,572,175,22,3266
E02000753,Redbridge 003,1025,864,425,154,6,2474
E02000754,Redbridge 004,1378,792,346,74,2,2592
E02000755,Redbridge 005,1081,750,273,78,4,2186
E02000756,Redbridge 006,2586,1772,712,179,9,5258
E02000757,Redbridge 007,2978,1590,494,106,11,5179
E02000758,Redbridge 008,1035,828,347,101,5,2316
E02000759,Redbridge 009,2502,1600,566,137,13,4818
E02000760,Redbridge 010,1128,957,432,109,3,2629
E02000762,Redbridge 012,1006,748,305,46,3,2108
E02000763,Redbridge 013,1197,884,397,92,7,2577
E02000764,Redbridge 014,3056,1637,552,113,10,5368
E02000765,Redbridge 015,1119,903,328,66,10,2426
E02000767,Redbridge 017,1340,974,369,81,4,2768
E02000768,Redbridge 018,1319,668,176,40,2,2205
E02000770,Redbridge 020,1030,928,407,112,12,2489
E02000772,Redbridge 022,1037,958,415,121,7,2538
E02000773,Redbridge 023,1405,1039,469,178,22,3113
E02000774,Redbridge 024,988,922,425,118,6,2459
E02000776,Redbridge 026,862,766,364,83,6,2081
E02000777,Redbridge 027,1244,739,271,64,8,2326
E02000779,Redbridge 029,879,1149,572,155,21,2776
E02000781,Redbridge 031,1904,1590,755,168,11,4428
E02000782,Redbridge 032,1390,1320,665,188,14,3577
E02000783,Redbridge 033,708,808,451,140,8,2115
E02000784,Richmond upon Thames 001,2610,1102,360,98,6,4176
E02000785,Richmond upon Thames 002,2798,1077,246,39,2,4162
E02000786,Richmond upon Thames 003,3121,1300,414,104,5,4944
E02000787,Richmond upon Thames 004,3118,1409,500,136,11,5174
E02000788,Richmond upon Thames 005,2338,1010,220,46,10,3624
E02000789,Richmond upon Thames 006,1790,770,216,58,8,2842
E02000790,Richmond upon Thames 007,1856,687,137,22,2,2704
E02000791,Richmond upon Thames 008,1973,790,170,32,4,2969
E02000792,Richmond upon Thames 009,1988,867,203,42,0,3100
E02000793,Richmond upon Thames 010,1671,1019,348,89,7,3134
E02000794,Richmond upon Thames 011,1773,789,167,28,2,2759
E02000795,Richmond upon Thames 012,1645,700,198,43,2,2588
E02000796,Richmond upon Thames 013,1851,1374,608,137,11,3981
E02000797,Richmond upon Thames 014,2254,910,265,47,1,3477
E02000798,Richmond upon Thames 015,2591,1226,381,122,4,4324
E02000799,Richmond upon Thames 016,1555,640,214,29,1,2439
E02000800,Richmond upon Thames 017,1154,647,254,85,17,2157
E02000801,Richmond upon Thames 018,1940,827,203,47,4,3021
E02000802,Richmond upon Thames 019,1849,843,227,53,4,2976
E02000803,Richmond upon Thames 020,2021,1325,564,179,7,4096
E02000804,Richmond upon Thames 021,2001,850,260,52,6,3169
E02000805,Richmond upon Thames 022,2793,1303,425,108,4,4633
E02000806,Richmond upon Thames 023,2571,1180,413,82,10,4256
E02000807,Southwark 001,2246,1052,340,93,5,3736
E02000808,Southwark 002,2727,1300,520,139,10,4696
E02000810,Southwark 004,2606,1725,766,281,17,5395
E02000812,Southwark 006,2094,1471,708,244,16,4533
E02000813,Southwark 007,2065,1491,669,241,17,4483
E02000814,Southwark 008,2635,1345,477,121,11,4589
E02000815,Southwark 009,1731,1020,365,111,6,3233
E02000816,Southwark 010,1712,1409,732,272,21,4146
E02000817,Southwark 011,986,1082,603,241,14,2926
E02000818,Southwark 012,2168,1415,677,213,16,4489
E02000819,Southwark 013,1267,1295,721,248,24,3555
E02000820,Southwark 014,1928,1387,677,224,12,4228
E02000821,Southwark 015,1108,1187,646,183,8,3132
E02000822,Southwark 016,979,1082,525,174,13,2773
E02000823,Southwark 017,1500,1254,661,205,14,3634
E02000824,Southwark 018,1349,1411,779,236,16,3791
E02000825,Southwark 019,1458,1415,748,256,14,3891
E02000826,Southwark 020,1785,1315,683,226,14,4023
E02000827,Southwark 021,2057,1864,831,254,13,5019
E02000828,Southwark 022,1405,1261,710,207,11,3594
E02000829,Southwark 023,2004,1554,851,295,33,4737
E02000830,Southwark 024,2033,1136,461,124,9,3763
E02000831,Southwark 025,2149,1215,525,154,9,4052
E02000832,Southwark 026,1742,1333,757,254,14,4100
E02000833,Southwark 027,1472,970,450,143,11,3046
E02000834,Southwark 028,2422,1093,455,124,9,4103
E02000835,Southwark 029,1635,888,395,100,12,3030
E02000836,Southwark 030,2066,880,307,80,4,3337
E02000837,Southwark 031,2058,854,187,49,2,3150
E02000838,Southwark 032,2209,1149,435,122,11,3926
E02000839,Southwark 033,1877,1029,385,133,4,3428
E02000840,Sutton 001,1296,1193,717,254,15,3475
E02000841,Sutton 002,1204,1231,647,205,14,3301
E02000842,Sutton 003,1511,1042,330,74,1,2958
E02000843,Sutton 004,2193,1205,454,120,9,3981
E02000844,Sutton 005,1456,1085,519,150,7,3217
E02000845,Sutton 006,2048,1107,369,80,4,3608
E02000846,Sutton 007,1483,924,332,47,0,2786
E02000847,Sutton 008,2001,1180,433,64,4,3682
E02000848,Sutton 009,1606,962,294,50,3,2915
E02000849,Sutton 010,1617,1112,418,96,8,3251
E02000850,Sutton 011,2121,1333,514,115,6,4089
E02000851,Sutton 012,2264,1787,750,205,29,5035
E02000852,Sutton 013,1702,1101,367,76,4,3250
E02000853,Sutton 014,1683,1025,398,93,3,3202
E02000854,Sutton 015,1750,929,322,74,10,3085
E02000855,Sutton 016,1821,1032,304,53,2,3212
E02000856,Sutton 017,1990,1292,421,87,10,3800
E02000857,Sutton 018,2145,1370,460,95,10,4080
E02000858,Sutton 019,1194,1178,680,245,12,3309
E02000859,Sutton 020,1762,1189,428,103,7,3489
E02000860,Sutton 021,1885,1428,621,159,26,4119
E02000861,Sutton 022,1763,863,213,24,0,2863
E02000863,Sutton 024,1372,755,256,41,1,2425
E02000864,Tower Hamlets 001,2192,1323,816,307,26,4664
E02000865,Tower Hamlets 002,1135,911,576,248,24,2894
E02000866,Tower Hamlets 003,1982,1293,657,208,12,4152
E02000867,Tower Hamlets 004,2433,1513,678,221,26,4871
E02000868,Tower Hamlets 005,1324,888,402,160,11,2785
E02000869,Tower Hamlets 006,1106,797,408,193,20,2524
E02000870,Tower Hamlets 007,915,878,455,160,14,2422
E02000871,Tower Hamlets 008,1719,1410,807,273,19,4228
E02000872,Tower Hamlets 009,1491,979,522,184,18,3194
E02000873,Tower Hamlets 010,1183,969,525,233,11,2921
E02000874,Tower Hamlets 011,934,842,502,222,24,2524
E02000875,Tower Hamlets 012,2086,1639,890,425,39,5079
E02000876,Tower Hamlets 013,1094,949,492,221,21,2777
E02000877,Tower Hamlets 014,2169,1590,836,302,16,4913
E02000878,Tower Hamlets 015,1900,1242,603,245,21,4011
E02000879,Tower Hamlets 016,1077,1060,681,221,10,3049
E02000880,Tower Hamlets 017,809,828,465,163,16,2281
E02000881,Tower Hamlets 018,1604,1237,708,296,7,3852
E02000882,Tower Hamlets 019,1462,1252,763,315,16,3808
E02000883,Tower Hamlets 020,1016,1057,667,275,15,3030
E02000884,Tower Hamlets 021,2635,1661,611,186,22,5115
E02000885,Tower Hamlets 022,760,857,534,223,17,2391
E02000886,Tower Hamlets 023,1937,1120,559,194,15,3825
E02000887,Tower Hamlets 024,1551,1344,749,283,21,3948
E02000888,Tower Hamlets 025,1629,1072,467,174,10,3352
E02000889,Tower Hamlets 026,2065,1195,407,131,10,3808
E02000890,Tower Hamlets 027,1826,753,245,63,4,2891
E02000893,Tower Hamlets 030,1315,983,491,175,25,2989
E02000894,Tower Hamlets 031,2394,1389,530,143,7,4463
E02000895,Waltham Forest 001,1407,1133,585,144,8,3277
E02000896,Waltham Forest 002,2015,1279,451,86,7,3838
E02000897,Waltham Forest 003,1439,1125,602,188,15,3369
E02000898,Waltham Forest 004,1401,1076,564,141,19,3201
E02000899,Waltham Forest 005,1463,1106,525,122,10,3226
E02000900,Waltham Forest 006,1297,1117,532,162,11,3119
E02000901,Waltham Forest 007,2101,1168,466,107,10,3852
E02000902,Waltham Forest 008,1621,1234,508,143,12,3518
E02000903,Waltham Forest 009,1425,1151,665,207,17,3465
E02000904,Waltham Forest 010,1618,996,385,106,2,3107
E02000905,Waltham Forest 011,1782,1228,492,119,9,3630
E02000906,Waltham Forest 012,1739,1171,554,155,8,3627
E02000907,Waltham Forest 013,1505,1453,803,284,23,4068
E02000908,Waltham Forest 014,2645,1684,708,190,13,5240
E02000909,Waltham Forest 015,1821,1112,491,133,12,3569
E02000910,Waltham Forest 016,2119,1444,662,161,20,4406
E02000911,Waltham Forest 017,2232,1580,809,211,16,4848
E02000912,Waltham Forest 018,1437,1089,557,179,11,3273
E02000913,Waltham Forest 019,1354,1094,538,113,15,3114
E02000914,Waltham Forest 020,1370,1431,873,276,25,3975
E02000915,Waltham Forest 021,1586,1117,450,122,8,3283
E02000916,Waltham Forest 022,1788,1389,625,161,19,3982
E02000917,Waltham Forest 023,1765,1189,528,160,8,3650
E02000918,Waltham Forest 024,1498,1157,553,186,14,3408
E02000919,Waltham Forest 025,1543,1160,512,131,11,3357
E02000920,Waltham Forest 026,1531,1365,689,217,14,3816
E02000921,Waltham Forest 027,1500,1471,823,238,26,4058
E02000922,Waltham Forest 028,1574,1269,614,160,18,3635
E02000923,Wandsworth 001,2092,994,307,70,6,3469
E02000925,Wandsworth 003,1582,1054,535,171,21,3363
E02000926,Wandsworth 004,3486,1483,471,103,9,5552
E02000927,Wandsworth 005,1674,945,453,152,11,3235
E02000928,Wandsworth 006,2379,913,263,59,0,3614
E02000929,Wandsworth 007,1441,1086,693,242,33,3495
E02000930,Wandsworth 008,2725,1061,378,88,10,4262
E02000931,Wandsworth 009,2456,781,197,46,7,3487
E02000932,Wandsworth 010,4144,1329,365,83,7,5928
E02000933,Wandsworth 011,2444,1086,319,77,6,3932
E02000934,Wandsworth 012,2654,1092,339,95,16,4196
E02000935,Wandsworth 013,831,923,498,170,13,2435
E02000936,Wandsworth 014,2644,1243,376,109,12,4384
E02000937,Wandsworth 015,2112,753,200,57,5,3127
E02000938,Wandsworth 016,2181,1336,627,179,22,4345
E02000939,Wandsworth 017,1962,664,174,31,4,2835
E02000940,Wandsworth 018,2419,1192,443,148,12,4214
E02000941,Wandsworth 019,2577,1094,372,88,8,4139
E02000942,Wandsworth 020,2472,1021,270,43,10,3816
E02000943,Wandsworth 021,2467,944,300,89,10,3810
E02000944,Wandsworth 022,1346,953,436,140,16,2891
E02000945,Wandsworth 023,1047,1004,533,163,17,2764
E02000946,Wandsworth 024,1841,825,327,107,4,3104
E02000947,Wandsworth 025,2596,948,294,72,7,3917
E02000948,Wandsworth 026,2790,1152,353,82,5,4382
E02000949,Wandsworth 027,2852,1066,276,56,5,4255
E02000950,Wandsworth 028,1727,953,324,96,10,3110
E02000951,Wandsworth 029,1608,799,319,83,13,2822
E02000952,Wandsworth 030,1482,761,303,102,6,2654
E02000953,Wandsworth 031,2095,765,264,80,7,3211
E02000954,Wandsworth 032,1287,614,275,59,12,2247
E02000955,Wandsworth 033,1363,798,376,131,8,2676
E02000956,Wandsworth 034,1468,980,417,161,7,3033
E02000957,Wandsworth 035,2351,1301,588,166,14,4420
E02000958,Wandsworth 036,1471,953,401,83,9,2917
E02000959,Wandsworth 037,1475,1012,459,144,14,3104
E02000960,Westminster 001,1617,800,278,71,16,2782
E02000961,Westminster 002,2093,1220,509,221,25,4068
E02000962,Westminster 003,2009,1153,491,188,16,3857
E02000963,Westminster 004,1447,1360,869,437,21,4134
E02000964,Westminster 005,2115,1746,994,454,48,5357
E02000965,Westminster 006,2063,1016,385,142,16,3622
E02000966,Westminster 007,2386,1139,378,183,24,4110
E02000967,Westminster 008,1893,834,238,47,2,3014
E02000968,Westminster 009,1496,1835,1439,760,87,5617
E02000969,Westminster 010,1227,1198,850,385,58,3718
E02000970,Westminster 011,2264,1009,232,48,2,3555
E02000971,Westminster 012,2146,1062,365,123,28,3724
E02000972,Westminster 013,2154,1400,504,159,37,4254
E02000973,Westminster 014,2458,1490,597,219,33,4797
E02000974,Westminster 015,2136,1177,452,183,33,3981
E02000975,Westminster 016,2071,1236,363,108,22,3800
E02000976,Westminster 017,2130,1367,527,160,29,4213
E02000977,Westminster 018,1977,972,363,100,23,3435
E02000978,Westminster 019,1965,665,113,20,1,2764
E02000979,Westminster 020,2218,1116,423,142,28,3927
E02000980,Westminster 021,1933,1370,711,268,42,4324
E02000981,Westminster 022,2348,1213,426,153,15,4155
E02000982,Westminster 023,1790,1205,580,228,42,3845
E02000983,Westminster 024,1605,1254,637,227,34,3757
E02003237,Peterborough 001,1411,911,293,48,5,2668
E02003238,Peterborough 002,1219,787,340,113,10,2469
E02003239,Peterborough 003,1843,1237,401,62,3,3546
E02003240,Peterborough 004,1609,815,245,38,1,2708
E02003241,Peterborough 005,1455,1063,444,86,3,3051
E02003242,Peterborough 006,1624,1368,619,150,9,3770
E02003243,Peterborough 007,1719,1697,1010,360,26,4812
E02003244,Peterborough 008,1230,1434,834,265,25,3788
E02003245,Peterborough 009,990,1196,629,225,18,3058
E02003246,Peterborough 010,1051,1285,645,209,11,3201
E02003247,Peterborough 011,1395,1279,635,177,16,3502
E02003248,Peterborough 012,1266,1360,639,187,13,3465
E02003249,Peterborough 013,1964,1884,884,266,23,5021
E02003250,Peterborough 014,1738,1801,859,277,18,4693
E02003251,Peterborough 015,1596,1084,328,46,3,3057
E02003252,Peterborough 016,2360,1593,626,171,13,4763
E02003253,Peterborough 017,2086,1590,673,185,8,4542
E02003254,Peterborough 018,2301,1258,448,56,4,4067
E02003255,Peterborough 019,2786,1811,800,186,4,5587
E02003257,Peterborough 021,1291,1382,824,240,36,3773
E02003258,Luton 001,1882,1191,362,49,4,3488
E02003259,Luton 002,1210,958,357,80,2,2607
E02003260,Luton 003,1130,1212,661,227,27,3257
E02003261,Luton 004,1087,906,387,95,1,2476
E02003262,Luton 005,1544,1452,774,282,14,4066
E02003263,Luton 006,1915,1685,714,165,9,4488
E02003264,Luton 007,1763,1087,292,59,1,3202
E02003265,Luton 008,1673,1197,500,116,12,3498
E02003266,Luton 009,1308,1326,778,227,15,3654
E02003267,Luton 010,1383,1387,692,214,9,3685
E02003268,Luton 011,1519,1416,649,157,5,3746
E02003269,Luton 012,2027,1507,557,107,6,4204
E02003270,Luton 013,1357,1155,476,100,3,3091
E02003271,Luton 014,2137,1303,488,86,9,4023
E02003272,Luton 015,961,1052,606,190,20,2829
E02003273,Luton 016,1962,1483,678,183,5,4311
E02003274,Luton 017,962,1241,866,262,32,3363
E02003276,Luton 019,960,1030,545,169,24,2728
E02003277,Luton 020,1345,1492,858,253,19,3967
E02003278,Luton 021,2040,1980,895,292,48,5255
E02003279,Southend-on-Sea 001,1894,1533,529,95,7,4058
E02003280,Southend-on-Sea 002,1899,1650,766,158,7,4480
E02003281,Southend-on-Sea 003,1856,1540,641,145,19,4201
E02003282,Southend-on-Sea 004,2073,1499,674,176,20,4442
E02003283,Southend-on-Sea 005,2025,1527,668,210,16,4446
E02003284,Southend-on-Sea 006,1931,1647,815,227,20,4640
E02003285,Southend-on-Sea 007,2190,1540,702,179,17,4628
E02003286,Southend-on-Sea 008,2348,1160,313,33,2,3856
E02003287,Southend-on-Sea 009,1784,1438,726,227,19,4194
E02003288,Southend-on-Sea 010,2423,2026,1118,382,25,5974
E02003289,Southend-on-Sea 011,2774,1435,426,66,7,4708
E02003290,Southend-on-Sea 012,2284,1479,513,170,26,4472
