Middle layer Super Output Areas Code,Middle layer Super Output Areas,Owns_outright,Owns_with_a_mortgage_or_loan,Shared_ownership,Social_rented_Rents_from_council_or_Local_Authority,Other_social_rented,Private_rented_Private_landlord_or_letting_agency,Other_private_rented,Lives_rent_free
E02000587,Kensington and Chelsea 011,871,433,6,38,115,1425,136,2
E02000588,Kensington and Chelsea 012,728,336,17,78,67,1604,245,2
E02000589,Kensington and Chelsea 013,665,458,17,28,344,1981,167,0
E02000590,Kensington and Chelsea 014,576,244,8,352,632,1108,123,4
E02000591,Kensington and Chelsea 015,456,311,36,164,855,1322,93,4
E02000592,Kensington and Chelsea 016,723,358,8,30,196,1357,168,0
E02000593,Kensington and Chelsea 017,640,531,16,161,478,1699,152,7
E02000594,Kensington and Chelsea 018,805,378,8,132,355,1037,203,4
E02000595,Kensington and Chelsea 019,914,439,10,338,161,984,172,7
E02000596,Kensington and Chelsea 020,790,462,11,194,160,1300,154,2
E02000597,Kensington and Chelsea 021,456,357,38,886,562,610,84,4
E02000598,Kingston upon Thames 001,1137,1138,21,56,160,422,33,3
E02000599,Kingston upon Thames 002,996,810,5,66,14,403,58,2
E02000600,Kingston upon Thames 003,798,934,8,329,89,1112,99,8
E02000601,Kingston upon Thames 004,1129,1426,95,283,288,1441,187,8
E02000602,Kingston upon Thames 005,660,954,35,908,251,1152,73,16
E02000603,Kingston upon Thames 006,648,796,53,453,236,706,56,5
E02000604,Kingston upon Thames 007,1011,1178,36,168,68,1014,82,2
E02000605,Kingston upon Thames 008,1103,1100,7,110,74,657,61,3
E02000606,Kingston upon Thames 009,1018,1193,25,162,174,2114,122,3
E02000607,Kingston upon Thames 010,750,913,5,139,66,667,42,1
E02000608,Kingston upon Thames 011,599,896,13,98,215,1508,74,2
E02000609,Kingston upon Thames 012,980,881,10,294,48,470,52,5
E02000610,Kingston upon Thames 013,661,970,21,408,242,1488,73,8
E02000611,Kingston upon Thames 014,1200,1099,12,44,24,245,27,1
E02000612,Kingston upon Thames 015,1277,1176,8,81,54,435,48,1
E02000613,Kingston upon Thames 016,798,1257,13,207,142,733,41,1
E02000614,Kingston upon Thames 017,863,1231,35,181,114,856,90,4
E02000615,Kingston upon Thames 018,1053,1186,18,165,44,425,63,2
E02000616,Kingston upon Thames 019,843,1072,21,75,57,284,37,1
E02000617,Kingston upon Thames 020,994,1211,18,419,237,403,60,2
E02000619,Lambeth 002,418,619,47,1361,774,732,93,10
E02000620,Lambeth 003,506,605,219,1133,753,1223,147,4
E02000621,Lambeth 004,655,819,183,548,1213,2389,193,7
E02000622,Lambeth 005,388,616,22,664,699,1145,93,6
E02000623,Lambeth 006,303,393,18,1006,756,770,73,11
E02000624,Lambeth 007,339,771,158,1072,674,1169,77,12
E02000625,Lambeth 008,216,464,58,1143,712,1115,85,6
E02000626,Lambeth 009,170,477,31,1627,549,531,47,17
E02000627,Lambeth 010,375,615,82,502,1139,1125,68,9
E02000628,Lambeth 011,249,635,146,1289,1053,1012,82,15
E02000629,Lambeth 012,480,830,79,685,437,1402,101,3
E02000630,Lambeth 013,545,726,39,625,210,1187,94,5
E02000631,Lambeth 014,549,941,50,281,759,1067,91,1
E02000632,Lambeth 015,453,937,55,276,638,1782,117,1
E02000633,Lambeth 016,366,599,92,913,840,1025,117,10
E02000634,Lambeth 017,276,461,28,1008,315,942,73,5
E02000635,Lambeth 018,485,913,211,479,1106,1032,107,2
E02000636,Lambeth 019,583,974,16,298,164,966,77,3
E02000637,Lambeth 020,566,960,22,282,436,1352,86,0
E02000638,Lambeth 021,378,948,79,1042,461,1099,93,7
E02000639,Lambeth 022,267,512,170,568,1053,1026,124,6
E02000640,Lambeth 023,598,1163,17,498,420,1033,72,3
E02000641,Lambeth 024,238,554,46,1026,897,571,56,3
E02000642,Lambeth 025,634,1006,31,436,944,1031,83,5
E02000643,Lambeth 026,492,1079,54,689,282,1269,74,7
E02000644,Lambeth 027,582,1152,25,350,322,976,88,1
E02000645,Lambeth 028,614,1116,61,436,414,1311,90,6
E02000646,Lambeth 029,703,1157,27,156,295,1474,90,1
E02000647,Lambeth 030,727,1127,74,357,288,771,77,1
E02000648,Lambeth 031,331,746,41,1154,384,481,39,12
E02000649,Lambeth 032,596,1431,103,429,373,2284,79,9
E02000650,Lambeth 033,372,852,25,788,371,826,38,5
E02000651,Lambeth 034,643,1032,46,281,306,1081,85,5
E02000652,Lambeth 035,677,693,31,121,313,653,55,2
E02000653,Lewisham 001,300,928,250,1092,1035,1599,85,5
E02000654,Lewisham 002,195,547,68,1339,583,794,55,15
E02000655,Lewisham 003,323,742,157,799,562,1347,70,9
E02000657,Lewisham 005,405,804,98,587,647,1358,84,5
E02000658,Lewisham 006,442,756,68,657,521,923,88,3
E02000659,Lewisham 007,541,806,105,505,533,977,68,6
E02000660,Lewisham 008,436,913,43,547,366,1205,89,3
E02000661,Lewisham 009,612,694,4,485,189,979,77,4
E02000662,Lewisham 010,342,858,76,768,485,705,60,9
E02000663,Lewisham 011,586,846,23,232,402,669,60,1
E02000665,Lewisham 013,632,1011,27,304,536,823,78,4
E02000666,Lewisham 014,542,886,15,263,347,623,57,2
E02000667,Lewisham 015,614,1020,29,91,196,512,60,3
E02000668,Lewisham 016,692,961,16,153,283,578,46,2
E02000669,Lewisham 017,501,971,55,170,487,1067,57,1
E02000670,Lewisham 018,437,695,20,196,571,799,61,4
E02000671,Lewisham 019,644,1273,36,271,451,929,75,4
E02000672,Lewisham 020,536,1167,86,283,703,1291,130,2
E02000673,Lewisham 021,707,1143,14,270,352,944,59,5
E02000674,Lewisham 022,758,1231,10,88,242,677,50,1
E02000675,Lewisham 023,880,1121,45,109,557,640,65,3
E02000676,Lewisham 024,582,1170,23,196,423,736,57,3
E02000677,Lewisham 025,708,947,23,85,261,558,57,4
E02000678,Lewisham 026,463,761,24,213,564,541,45,4
E02000679,Lewisham 027,617,1002,36,655,320,671,65,9
E02000680,Lewisham 028,459,834,51,430,491,571,65,12
E02000681,Lewisham 029,577,893,25,448,662,655,85,6
E02000682,Lewisham 030,618,797,42,311,818,565,67,0
E02000683,Lewisham 031,423,719,37,202,763,528,51,1
E02000685,Lewisham 033,541,877,30,615,662,640,54,3
