Middle layer Super Output Areas Code,Middle layer Super Output Areas,Owns_outright,Owns_with_a_mortgage_or_loan,Shared_ownership,Social_rented_Rents_from_council_or_Local_Authority,Other_social_rented,Private_rented_Private_landlord_or_letting_agency,Other_private_rented,Lives_rent_free
E02003508,Brighton and Hove 018,832,1105,21,84,77,1198,87,1
E02003509,Brighton and Hove 019,739,1050,26,340,173,2168,93,10
E02003510,Brighton and Hove 020,1090,1073,56,54,154,1605,105,0
E02003511,Brighton and Hove 021,963,1287,22,192,139,855,65,5
E02003512,Brighton and Hove 022,730,1054,19,223,255,1348,90,7
E02003513,Brighton and Hove 023,817,820,12,302,132,679,51,6
E02003514,Brighton and Hove 024,709,961,8,91,246,2601,110,5
E02003515,Brighton and Hove 025,454,481,53,1819,480,350,45,21
E02003516,Brighton and Hove 026,721,936,10,66,104,2737,128,0
E02003517,Brighton and Hove 027,839,777,158,293,480,2710,133,10
E02003518,Brighton and Hove 028,1003,898,55,58,223,1783,110,1
E02003519,Brighton and Hove 029,658,841,11,64,257,2840,124,1
E02003520,Brighton and Hove 030,646,642,56,1061,304,1835,116,31
E02003521,Brighton and Hove 031,820,782,20,611,318,1666,109,15
E02003522,Brighton and Hove 032,948,647,27,465,150,1476,95,16
E02003523,Brighton and Hove 033,2272,1364,46,80,120,685,86,2
E02003524,Portsmouth 001,653,856,28,975,184,302,48,16
E02003525,Portsmouth 002,504,545,19,710,308,422,65,13
E02003526,Portsmouth 003,1443,894,22,31,136,236,42,0
E02003527,Portsmouth 004,842,869,20,265,159,444,124,3
E02003529,Portsmouth 006,1143,1327,27,162,114,402,67,4
E02003530,Portsmouth 007,856,968,46,302,464,450,224,9
E02003531,Portsmouth 008,1352,1228,17,23,92,524,77,2
E02003532,Portsmouth 009,886,1124,8,42,145,969,76,7
E02003533,Portsmouth 010,579,723,12,264,129,698,74,8
E02003534,Portsmouth 011,1024,1281,24,45,72,951,91,0
E02003535,Portsmouth 012,853,1338,26,53,187,1262,104,2
E02003536,Portsmouth 013,324,340,31,1832,302,447,34,21
E02003537,Portsmouth 014,1389,1539,54,267,269,561,79,5
E02003538,Portsmouth 015,783,1163,43,259,355,1633,101,11
E02003540,Portsmouth 017,1358,1349,78,210,300,704,91,2
E02003541,Portsmouth 018,498,369,31,1535,400,1300,63,31
E02003542,Portsmouth 019,869,1056,17,37,162,1328,92,1
E02003543,Portsmouth 020,663,756,29,64,220,1668,120,1
E02003544,Portsmouth 021,700,966,24,62,149,860,88,0
E02003545,Portsmouth 022,645,634,13,122,376,1586,112,7
E02003546,Portsmouth 023,1228,947,30,76,172,1081,181,3
E02003547,Portsmouth 024,1259,707,24,99,274,1808,214,2
E02003548,Portsmouth 025,730,744,34,23,67,1119,62,0
E02003549,Southampton 001,870,826,11,211,53,627,54,5
E02003550,Southampton 002,977,1078,22,511,178,482,42,1
E02003551,Southampton 003,483,472,31,275,612,389,44,0
E02003552,Southampton 004,499,637,8,930,205,325,30,10
E02003553,Southampton 005,375,407,14,447,104,1002,40,2
E02003554,Southampton 006,865,677,14,281,83,668,49,4
E02003555,Southampton 007,810,1124,55,735,255,570,55,9
E02003556,Southampton 008,876,843,14,127,82,403,37,0
E02003557,Southampton 009,811,553,10,55,147,1118,61,1
E02003558,Southampton 010,508,606,45,661,234,955,47,5
E02003559,Southampton 011,1175,1081,13,71,116,536,52,0
E02003560,Southampton 012,516,653,20,1338,150,352,29,6
E02003561,Southampton 013,558,525,20,233,349,1449,61,7
E02003562,Southampton 014,984,1159,40,105,228,1116,84,0
E02003563,Southampton 015,839,860,44,532,275,942,63,4
E02003564,Southampton 016,1039,1077,26,552,163,516,52,6
E02003565,Southampton 017,300,371,26,58,297,1586,72,0
E02003566,Southampton 018,774,834,44,525,218,283,37,11
E02003567,Southampton 019,774,928,23,644,140,506,46,5
E02003568,Southampton 020,696,900,19,31,140,1911,73,1
E02003569,Southampton 021,664,798,33,171,395,1583,84,2
E02003570,Southampton 022,367,545,27,555,456,2007,113,6
E02003571,Southampton 023,342,402,54,254,426,1665,70,2
E02003572,Southampton 024,868,970,9,157,47,409,32,6
E02003573,Southampton 025,839,784,20,1180,200,254,35,11
E02003574,Southampton 026,1215,1198,23,271,126,534,61,0
E02003575,Southampton 027,486,552,33,1233,184,307,36,7
E02003576,Southampton 028,729,1127,34,459,273,762,69,2
E02003578,Southampton 030,883,1016,22,186,132,453,50,1
E02003579,Southampton 031,989,1306,175,143,459,1124,80,1
E02003580,Southampton 032,432,511,16,1141,171,304,30,11
E02003581,Isle of Wight 001,1191,1002,23,30,294,1021,108,2
E02003582,Isle of Wight 002,1850,1116,17,12,182,468,96,0
E02003583,Isle of Wight 003,1405,860,57,48,507,579,67,0
E02003584,Isle of Wight 004,939,578,8,32,239,1385,98,0
E02003585,Isle of Wight 005,1713,767,50,18,132,346,73,0
E02003586,Isle of Wight 006,1492,926,18,46,325,510,86,0
E02003587,Isle of Wight 007,1316,903,17,83,642,801,77,1
E02003588,Isle of Wight 008,1169,1025,75,79,695,507,73,2
E02003589,Isle of Wight 009,940,830,18,47,442,1078,112,0
E02003590,Isle of Wight 010,2194,679,13,12,163,395,102,0
E02003591,Isle of Wight 011,1694,1177,40,41,389,574,108,2
E02003592,Isle of Wight 012,2595,823,34,41,494,672,115,0
E02003593,Isle of Wight 013,1365,586,17,12,113,240,69,0
E02003594,Isle of Wight 014,1776,923,65,57,404,915,94,2
E02003595,Isle of Wight 015,2164,880,17,22,207,335,91,0
E02003596,Isle of Wight 016,1836,742,12,44,471,999,108,0
E02003597,Isle of Wight 017,1353,629,15,18,243,264,69,0
E02003598,Isle of Wight 018,1743,643,13,37,436,642,102,0
E02003599,Central Bedfordshire 001,674,839,44,53,425,259,22,0
E02003600,Central Bedfordshire 002,930,900,25,60,390,351,46,0
E02003601,Central Bedfordshire 003,1297,1232,69,54,370,403,67,2
E02003602,Central Bedfordshire 004,1069,823,33,33,382,314,62,0
E02003603,Central Bedfordshire 005,1466,1712,106,89,670,837,85,2
E02003604,Central Bedfordshire 006,1271,1972,118,67,554,443,48,2
E02003605,Central Bedfordshire 007,1247,1483,126,33,397,426,115,1
E02003606,Central Bedfordshire 008,1470,1449,81,40,472,271,49,4
E02003607,Central Bedfordshire 009,1284,1845,127,42,530,597,86,1
E02003608,Central Bedfordshire 010,1683,1947,122,81,734,480,83,4
E02003609,Central Bedfordshire 011,1483,1652,110,66,665,441,251,1
E02003610,Central Bedfordshire 012,1355,1513,86,35,323,369,66,0
E02003611,Central Bedfordshire 013,1544,1506,94,26,401,301,141,1
E02003612,Central Bedfordshire 014,1612,2136,100,54,488,486,65,1
E02003613,Central Bedfordshire 015,795,795,9,48,431,323,37,1
E02003614,Central Bedfordshire 016,1239,1475,22,20,135,502,51,1
E02003615,Central Bedfordshire 017,1691,1619,91,28,361,310,58,0
E02003616,Bedford 001,1097,754,21,15,156,229,71,2
E02003617,Bedford 002,1713,1224,41,39,306,433,66,1
E02003618,Bedford 003,1520,1256,34,45,308,389,70,0
E02003619,Bedford 004,1835,1698,110,65,466,458,84,0
E02003620,Bedford 005,1568,1058,14,58,463,291,51,1
E02003621,Bedford 006,1670,1038,11,29,261,249,46,1
E02003622,Bedford 007,1105,961,32,205,995,451,56,0
E02003623,Bedford 008,1776,2179,182,34,355,487,69,1
E02003624,Bedford 009,710,561,22,37,219,847,63,3
E02003625,Bedford 010,813,798,32,147,785,1516,109,5
E02003626,Bedford 011,910,714,15,28,225,433,34,0
E02003627,Bedford 012,965,987,122,142,729,1964,121,7
E02003628,Bedford 013,737,820,36,94,434,849,86,0
E02003629,Bedford 014,895,1080,38,254,1053,869,110,4
E02003630,Bedford 015,756,984,61,195,891,1317,96,0
E02003631,Bedford 016,729,592,21,38,535,317,28,5
E02003632,Bedford 017,822,781,37,43,266,536,42,1
E02003633,Bedford 018,1141,1474,107,112,611,516,68,1
E02003635,Bedford 020,1033,1867,187,84,528,191,58,1
E02003636,Central Bedfordshire 018,1220,1116,17,135,79,393,47,4
E02003637,Central Bedfordshire 019,1700,1737,73,321,68,436,72,4
E02003638,Central Bedfordshire 020,1345,1156,14,217,38,246,41,2
E02003639,Central Bedfordshire 021,1127,1327,33,679,269,817,93,10
E02003640,Central Bedfordshire 022,992,931,17,145,86,486,31,2
E02003641,Central Bedfordshire 023,949,871,9,42,44,274,35,0
E02003642,Central Bedfordshire 025,698,1225,46,843,166,487,71,8
E02003643,Central Bedfordshire 024,1318,2553,170,149,503,689,91,5
E02003644,Central Bedfordshire 026,1060,1553,76,255,511,487,59,3
E02003645,Central Bedfordshire 027,1134,1041,19,17,82,345,51,0
E02003646,Central Bedfordshire 028,1199,1619,75,567,214,433,48,7
E02003647,Central Bedfordshire 029,1169,1591,107,391,283,991,85,5
E02003648,Central Bedfordshire 030,646,686,18,511,161,223,31,3
E02003649,Central Bedfordshire 031,1226,975,32,63,53,428,43,1
E02003650,Central Bedfordshire 032,1411,972,14,296,45,231,58,2
E02003651,Central Bedfordshire 033,1313,1054,32,158,131,249,49,2
E02003652,Buckinghamshire 001,1439,1391,124,90,300,498,82,0
E02003653,Buckinghamshire 002,1003,788,30,116,357,582,67,3
E02003654,Buckinghamshire 003,1023,907,21,87,126,169,36,1
E02003655,Buckinghamshire 004,1548,1572,54,114,358,439,85,3
E02003656,Buckinghamshire 005,1155,890,19,104,275,428,50,2
E02003657,Buckinghamshire 006,1114,1092,36,87,256,295,77,0
E02003658,Buckinghamshire 007,1395,1736,60,107,380,244,86,1
E02003659,Buckinghamshire 009,1173,1412,92,76,506,447,104,3
E02003660,Buckinghamshire 008,1754,1714,42,127,323,337,72,1
E02003661,Buckinghamshire 010,925,820,19,52,107,254,68,1
E02003662,Buckinghamshire 012,688,891,22,116,353,513,39,3
E02003663,Buckinghamshire 011,650,2393,242,276,880,533,48,3
E02003664,Buckinghamshire 013,686,1128,77,214,498,513,60,6
E02003665,Buckinghamshire 014,760,865,82,52,268,356,38,2
E02003666,Buckinghamshire 015,731,854,120,114,499,1097,83,2
E02003667,Buckinghamshire 016,925,1664,36,93,247,945,80,1
E02003668,Buckinghamshire 018,1671,1253,19,25,117,328,83,0
E02003669,Buckinghamshire 017,437,722,53,383,616,434,43,5
E02003670,Buckinghamshire 019,1213,1374,57,94,359,636,82,3
E02003671,Buckinghamshire 020,618,860,29,194,338,381,36,5
E02003672,Buckinghamshire 021,1973,1885,86,104,411,362,88,2
E02003673,Buckinghamshire 022,1687,1346,66,94,319,378,65,3
E02003674,Buckinghamshire 023,975,789,8,80,206,181,41,0
E02003675,Buckinghamshire 024,1271,1192,26,109,375,460,327,3
E02003676,Buckinghamshire 029,1600,1085,7,23,176,270,92,0
E02003677,Buckinghamshire 027,1211,1239,38,205,900,339,50,3
E02003678,Buckinghamshire 028,897,921,9,33,156,255,31,0
E02003679,Buckinghamshire 030,824,890,20,100,605,612,50,3
E02003680,Buckinghamshire 031,1815,1429,10,51,354,366,70,2
E02003681,Buckinghamshire 032,1668,1348,10,65,474,591,60,1
E02003682,Buckinghamshire 034,1157,1108,32,39,283,418,55,0
E02003683,Buckinghamshire 035,996,969,75,62,397,274,30,0
E02003685,Buckinghamshire 047,1424,1165,21,29,238,248,53,0
E02003686,Buckinghamshire 050,1347,1128,20,18,150,281,53,1
E02003687,Buckinghamshire 054,881,831,2,54,245,162,42,0
E02003688,Buckinghamshire 053,1793,1524,21,60,613,773,96,0
E02003689,Buckinghamshire 058,1355,1242,8,16,137,537,68,0
E02003690,Buckinghamshire 059,1127,986,67,58,492,438,54,0
E02003691,Buckinghamshire 063,1100,983,50,25,292,308,60,0
E02003692,Buckinghamshire 064,1405,1182,48,32,274,418,67,0
E02003693,Buckinghamshire 065,1264,1011,36,27,146,403,68,4
E02003694,Buckinghamshire 066,1058,1077,29,71,683,500,57,1
E02003695,Buckinghamshire 067,1311,1548,105,64,501,517,83,0
E02003696,Buckinghamshire 026,1676,1092,30,118,446,395,57,3
E02003697,Buckinghamshire 025,1095,894,36,29,136,193,170,0
E02003698,Buckinghamshire 033,1623,1273,18,10,63,160,170,1
E02003699,Buckinghamshire 037,930,882,15,40,220,259,40,0
E02003701,Buckinghamshire 038,1496,1663,101,139,569,565,70,5
E02003702,Buckinghamshire 040,1321,1083,22,27,180,442,181,1
E02003703,Buckinghamshire 041,930,1198,42,42,263,949,79,0
E02003704,Buckinghamshire 045,1004,967,8,22,89,201,39,1
E02003705,Buckinghamshire 042,574,845,15,82,298,627,51,3
E02003706,Buckinghamshire 043,623,874,91,172,508,358,38,2
E02003707,Buckinghamshire 044,586,948,43,73,321,536,49,2
E02003708,Buckinghamshire 046,657,873,28,144,431,989,94,3
E02003709,Buckinghamshire 048,467,733,42,171,546,263,35,7
E02003710,Buckinghamshire 049,1039,1472,44,71,337,1348,121,2
E02003711,Buckinghamshire 051,861,1497,84,113,627,1003,75,1
E02003712,Buckinghamshire 052,1089,1098,53,162,495,325,52,4
E02003713,Buckinghamshire 055,1155,851,7,51,136,142,34,1
E02003714,Buckinghamshire 056,934,1115,28,86,255,399,60,2
E02003715,Buckinghamshire 057,1241,864,5,11,100,181,177,0
E02003716,Buckinghamshire 060,1047,828,6,52,192,422,64,0
E02003717,Buckinghamshire 062,1552,1236,20,106,350,531,72,2
E02003718,Buckinghamshire 061,838,788,13,64,210,412,53,3
E02003719,Cambridge 001,750,733,93,1191,250,890,90,13
E02003720,Cambridge 002,1040,808,25,911,122,904,77,17
E02003721,Cambridge 003,845,654,79,476,949,1010,67,4
E02003722,Cambridge 004,1238,728,34,130,320,1239,81,5
E02003723,Cambridge 005,795,477,27,116,305,872,336,4
E02003724,Cambridge 006,865,844,36,1028,328,1052,70,11
E02003725,Cambridge 007,1036,486,33,142,300,1173,390,1
E02003726,Cambridge 008,819,600,30,244,257,1334,99,2
E02003727,Cambridge 009,870,918,54,353,210,1548,87,2
E02003728,Cambridge 010,998,803,31,642,223,1281,89,13
E02003729,Cambridge 011,1104,1009,26,639,207,691,66,5
E02003731,Cambridge 013,1242,854,49,526,371,849,117,2
E02003732,East Cambridgeshire 001,1171,1398,68,94,647,638,84,0
E02003733,East Cambridgeshire 002,1431,1307,29,39,342,281,82,0
E02003734,East Cambridgeshire 003,1742,1567,104,123,707,876,83,3
E02003735,East Cambridgeshire 004,1297,1100,50,44,412,763,96,0
E02003736,East Cambridgeshire 005,1855,1418,47,71,428,401,80,3
E02003737,East Cambridgeshire 006,1660,1782,129,137,759,1005,130,2
E02003738,East Cambridgeshire 007,1036,863,24,46,324,329,79,2
E02003739,East Cambridgeshire 008,1171,935,28,42,277,263,46,0
E02003740,East Cambridgeshire 009,1028,723,44,50,336,262,77,0
E02003742,Fenland 001,1502,843,18,50,207,325,55,1
E02003743,Fenland 002,1230,972,16,260,682,1224,99,4
E02003744,Fenland 003,1933,1290,26,242,849,1508,140,4
E02003745,Fenland 004,1920,1391,11,154,371,487,113,1
E02003746,Fenland 005,1255,998,23,30,189,530,78,2
E02003747,Fenland 006,2008,1846,45,116,521,868,128,1
E02003748,Fenland 007,1274,828,13,80,492,789,76,1
E02003749,Fenland 008,1087,976,6,36,108,344,56,0
E02003750,Fenland 009,1437,898,25,55,319,532,61,4
E02003751,Fenland 010,1340,1110,13,45,210,338,89,0
E02003752,Fenland 011,1646,1668,41,106,459,846,114,1
E02003753,Huntingdonshire 001,1651,1714,47,122,446,570,85,1
E02003754,Huntingdonshire 002,1004,806,5,40,208,316,65,0
E02003755,Huntingdonshire 003,1333,1197,44,108,444,594,99,1
E02003756,Huntingdonshire 004,1151,1089,55,62,262,366,59,0
E02003757,Huntingdonshire 005,1165,1015,40,69,326,280,57,0
E02003758,Huntingdonshire 006,1514,1362,31,60,268,490,255,0
E02003759,Huntingdonshire 007,1177,914,13,37,113,182,50,1
E02003760,Huntingdonshire 008,588,937,54,299,927,550,46,7
E02003761,Huntingdonshire 009,1072,819,8,61,200,276,28,1
E02003762,Huntingdonshire 010,1608,1773,112,105,448,531,211,2
E02003763,Huntingdonshire 011,1570,1412,50,54,282,741,66,0
E02003764,Huntingdonshire 012,1108,1326,120,95,519,1360,118,0
E02003765,Huntingdonshire 013,1209,840,33,55,404,719,84,1
E02003766,Huntingdonshire 014,1029,1147,79,82,532,544,51,0
E02003767,Huntingdonshire 015,1186,940,13,32,163,251,79,0
E02003768,Huntingdonshire 016,1957,1394,72,46,308,498,74,1
E02003769,Huntingdonshire 017,1289,916,17,27,212,302,49,0
E02003770,Huntingdonshire 018,1421,1631,151,77,479,565,77,0
E02003771,Huntingdonshire 019,1032,797,19,76,395,580,57,2
E02003772,Huntingdonshire 020,1335,981,14,15,136,414,49,0
E02003773,Huntingdonshire 021,1402,1594,64,177,594,684,80,1
E02003774,Huntingdonshire 022,821,799,10,122,399,304,41,1
E02003775,South Cambridgeshire 001,1205,1048,51,230,161,259,45,2
E02003776,South Cambridgeshire 002,1168,984,49,236,100,315,53,7
E02003777,South Cambridgeshire 003,1176,1735,105,210,210,517,60,2
E02003778,South Cambridgeshire 004,889,896,74,244,201,367,110,5
E02003780,South Cambridgeshire 006,1562,1277,178,338,558,701,68,7
E02003781,South Cambridgeshire 007,1026,756,37,129,97,607,49,4
E02003784,South Cambridgeshire 010,1545,1203,98,187,141,353,64,4
E02003785,South Cambridgeshire 011,1401,946,70,282,268,794,71,7
E02003786,South Cambridgeshire 012,1210,749,34,333,86,390,39,4
E02003787,South Cambridgeshire 013,1401,976,72,400,153,229,75,4
E02003788,South Cambridgeshire 014,1267,1164,82,276,210,315,52,3
E02003789,South Cambridgeshire 015,1146,889,71,424,173,294,55,5
E02003790,South Cambridgeshire 016,1640,1184,65,440,167,317,102,3
E02003791,South Cambridgeshire 017,1249,1124,47,345,189,367,92,8
E02003792,South Cambridgeshire 018,1673,1244,100,436,262,336,82,2
E02003793,South Cambridgeshire 019,1092,987,39,322,106,237,83,2
E02004356,Eastbourne 001,883,810,51,508,211,435,58,8
E02004357,Eastbourne 002,852,846,10,392,366,501,46,4
E02004358,Eastbourne 003,1382,896,21,478,225,464,58,9
E02004359,Eastbourne 004,1333,822,11,477,285,454,42,9
E02004361,Eastbourne 006,1424,1041,6,378,65,354,42,2
E02004362,Eastbourne 007,1164,1199,26,102,185,858,77,0
E02004363,Eastbourne 008,1058,771,23,69,220,1021,108,1
E02004364,Eastbourne 009,1490,1053,15,188,241,799,80,4
E02004365,Eastbourne 010,534,560,35,271,276,2222,115,5
E02004366,Eastbourne 011,1311,504,15,57,130,1861,156,7
E02004367,Eastbourne 012,1959,579,11,44,99,557,82,0
E02004368,Hastings 001,1235,1196,20,47,219,540,93,0
E02004369,Hastings 002,2270,1258,23,35,253,439,62,0
E02004370,Hastings 003,597,764,15,246,1163,424,52,1
E02004371,Hastings 004,978,876,10,88,312,653,50,3
E02004372,Hastings 005,587,605,24,180,874,598,54,1
E02004373,Hastings 006,1232,1095,29,79,434,701,77,1
E02004374,Hastings 007,1238,875,5,39,227,832,107,2
E02004375,Hastings 008,1154,961,23,31,233,1421,87,2
E02004376,Hastings 009,829,599,14,61,247,1716,110,2
E02004377,Hastings 010,1678,1343,34,40,336,972,93,0
E02004378,Hastings 011,848,673,8,75,554,2345,144,5
E02004379,Lewes 001,1265,1058,49,263,119,297,73,2
E02004380,Lewes 002,1838,1258,70,201,115,359,91,4
E02004381,Lewes 003,1567,1067,31,645,186,782,104,8
E02004382,Lewes 004,1137,685,19,170,210,476,83,1
E02004383,Lewes 005,1313,877,8,297,76,377,54,1
E02004384,Lewes 006,1300,1166,13,101,98,426,63,3
E02004385,Lewes 007,1474,1024,10,147,78,622,63,3
E02004386,Lewes 008,1189,862,13,166,66,642,41,8
E02004387,Lewes 009,579,753,16,365,106,546,43,4
E02004388,Lewes 010,1240,1033,83,260,219,477,58,3
E02004389,Lewes 011,2441,1112,22,79,64,392,60,2
E02004390,Lewes 012,1838,915,16,317,125,265,57,5
E02004391,Lewes 013,1345,739,59,153,150,864,68,3
E02004392,Rother 001,1630,1221,60,61,367,352,93,0
E02004393,Rother 002,1469,659,38,44,327,272,84,1
E02004394,Rother 003,1563,980,24,46,262,329,99,0
E02004395,Rother 004,1658,707,32,97,523,525,92,1
E02004396,Rother 005,2295,1058,24,31,229,287,92,0
E02004397,Rother 006,1553,901,13,72,291,493,73,0
E02004398,Rother 007,1090,1010,62,187,902,599,79,1
E02004399,Rother 008,1913,894,27,21,208,557,68,0
E02004400,Rother 009,3165,1133,48,20,107,341,65,0
E02004401,Rother 010,2301,800,11,25,162,439,67,0
E02004402,Rother 011,1758,847,34,43,272,1668,155,1
E02004403,Wealden 001,1183,762,0,184,66,385,97,1
E02004404,Wealden 002,1165,940,12,82,67,278,82,2
E02004405,Wealden 003,1201,799,53,31,105,263,36,0
E02004406,Wealden 004,1561,1003,13,18,113,334,54,0
E02004407,Wealden 005,1589,1077,23,144,133,407,94,0
E02004408,Wealden 006,1157,1205,52,348,152,382,55,3
E02004409,Wealden 007,1083,707,10,72,26,174,80,1
E02004410,Wealden 008,1606,1099,34,144,69,282,86,3
E02004411,Wealden 009,1488,1177,24,271,139,536,68,1
E02004412,Wealden 010,1510,1189,41,173,75,517,54,0
E02004413,Wealden 011,1420,1058,31,110,88,311,74,1
E02004414,Wealden 012,997,1037,39,96,151,388,43,1
E02004415,Wealden 013,1257,877,33,81,151,275,72,2
E02004416,Wealden 014,1423,804,17,102,77,250,85,2
E02004417,Wealden 015,1263,940,56,55,95,417,71,1
E02004418,Wealden 016,1012,735,39,120,279,245,46,0
E02004419,Wealden 017,913,703,60,445,268,290,46,3
E02004420,Wealden 018,2771,1853,103,91,386,552,137,0
E02004421,Wealden 019,1814,1325,75,139,193,560,99,2
E02004422,Wealden 020,2119,1713,69,110,148,515,97,1
E02004423,Wealden 021,1978,1036,11,73,35,296,72,1
E02004424,Basildon 001,1326,1144,4,11,7,211,31,0
E02004425,Basildon 002,1209,1189,11,209,90,407,41,3
E02004426,Basildon 003,1266,1272,9,223,149,384,49,0
E02004427,Basildon 004,1677,1193,8,206,23,271,56,1
E02004428,Basildon 005,1050,1014,20,402,73,362,40,1
E02004429,Basildon 006,1573,1107,16,117,47,212,48,3
E02004430,Basildon 007,1353,1454,11,10,47,371,52,0
E02004431,Basildon 008,1183,1616,67,177,214,708,62,5
E02004432,Basildon 009,1233,987,7,54,21,222,35,0
E02004433,Basildon 010,978,1270,26,415,426,495,52,4
E02004434,Basildon 011,893,1180,207,523,157,494,54,7
E02004435,Basildon 012,857,1407,41,721,357,372,52,8
E02004436,Basildon 013,490,627,37,1250,328,354,56,4
E02004437,Basildon 014,1123,1446,68,862,319,403,57,10
E02004438,Basildon 015,740,994,51,1055,357,612,66,12
E02004439,Basildon 016,584,823,51,756,1034,508,30,9
E02004440,Basildon 017,927,1106,34,690,166,670,55,2
E02004441,Basildon 018,841,811,59,880,304,339,36,13
E02004442,Basildon 019,492,695,72,585,1064,347,44,4
E02004443,Basildon 020,1077,1407,26,512,161,1051,99,7
E02004444,Basildon 021,1291,1470,38,230,96,393,49,0
E02004445,Basildon 022,870,1054,14,673,210,575,49,8
E02004446,Braintree 001,1206,1000,10,67,285,245,67,0
E02004447,Braintree 002,1228,767,13,39,196,279,66,0
E02004448,Braintree 003,1178,1195,41,92,340,362,70,0
E02004449,Braintree 004,1122,1134,22,219,661,662,73,8
E02004450,Braintree 005,1146,837,15,62,253,248,110,1
E02004451,Braintree 006,1639,1354,29,92,377,434,60,0
E02004452,Braintree 007,1539,1422,4,54,236,377,51,0
E02004453,Braintree 008,788,803,39,283,817,314,45,5
E02004454,Braintree 009,1182,1183,28,91,450,1356,89,0
E02004455,Braintree 010,1335,1204,25,24,181,264,43,0
E02004456,Braintree 011,1104,1325,25,211,794,620,74,4
E02004457,Braintree 012,1218,1517,54,153,770,375,69,4
E02004458,Braintree 013,1357,1592,30,38,240,433,64,0
E02004459,Braintree 014,1731,1440,17,123,543,499,77,2
E02004460,Braintree 015,1366,1427,48,177,615,333,65,0
E02004461,Braintree 016,485,734,2,180,517,294,25,3
E02004462,Braintree 017,1351,1798,54,191,750,1034,96,2
E02004463,Braintree 018,1288,1096,19,90,379,449,75,1
E02004464,Brentwood 001,1834,1399,13,199,115,201,67,2
E02004465,Brentwood 002,1155,845,34,263,53,364,58,7
E02004466,Brentwood 003,1171,1168,10,548,67,356,48,6
E02004467,Brentwood 004,949,1189,37,494,232,360,54,5
E02004468,Brentwood 005,2012,1554,11,51,14,497,60,1
E02004469,Brentwood 006,1144,1258,6,110,27,285,55,4
E02004470,Brentwood 007,1325,1803,82,292,396,1673,130,17
E02004471,Brentwood 008,1079,1238,19,646,84,519,55,4
E02004472,Brentwood 009,1128,1007,2,47,23,334,46,1
E02004473,Castle Point 001,1344,1214,7,97,38,367,57,1
E02004474,Castle Point 002,1580,1266,35,37,57,278,50,2
E02004475,Castle Point 003,1251,1018,15,80,13,227,40,1
E02004476,Castle Point 004,1554,1326,14,21,12,250,45,0
E02004477,Castle Point 005,1460,894,8,29,19,184,41,1
E02004478,Castle Point 006,1132,914,10,219,84,536,65,6
E02004479,Castle Point 007,1503,1244,7,86,38,380,56,1
E02004480,Castle Point 008,1038,1078,10,53,81,380,51,0
E02004481,Castle Point 009,1814,858,8,68,14,372,55,1
E02004482,Castle Point 010,960,974,9,512,178,480,53,8
E02004483,Castle Point 011,1620,1049,10,96,43,507,66,0
E02004484,Castle Point 012,1681,1165,4,125,53,627,75,3
E02004485,Chelmsford 001,1204,1487,119,101,587,313,69,3
E02004486,Chelmsford 002,1500,1293,24,29,284,352,53,0
E02004487,Chelmsford 003,1045,947,31,145,545,277,57,2
E02004488,Chelmsford 004,1461,1623,90,64,270,547,58,1
E02004489,Chelmsford 005,1254,1466,42,46,446,332,55,1
E02004490,Chelmsford 006,616,666,8,293,1245,399,40,6
E02004491,Chelmsford 007,1251,1166,13,14,88,426,50,2
E02004492,Chelmsford 008,1136,1505,22,97,404,741,56,0
E02004493,Chelmsford 009,1067,1384,43,149,701,829,62,3
E02004495,Chelmsford 011,1624,1049,16,87,407,291,60,0
E02004496,Chelmsford 012,1209,1375,42,26,120,416,48,0
E02004497,Chelmsford 013,1614,1188,18,36,170,292,50,0
E02004498,Chelmsford 014,1245,1283,43,174,983,473,63,5
E02004499,Chelmsford 015,1235,1082,16,11,97,229,27,0
E02004500,Chelmsford 016,1722,1317,16,58,321,247,55,0
E02004501,Chelmsford 017,1285,936,7,99,377,218,32,7
E02004502,Chelmsford 018,1461,914,14,27,200,231,73,0
E02004503,Chelmsford 019,1393,1250,31,6,77,455,62,1
E02004504,Chelmsford 020,1189,1339,6,36,237,471,39,1
E02004505,Chelmsford 021,1340,899,43,23,134,192,51,0
E02004506,Colchester 001,1314,1013,9,153,91,237,61,0
E02004507,Colchester 002,1012,1394,28,115,481,1034,67,2
E02004508,Colchester 003,1241,905,6,192,42,239,44,2
E02004512,Colchester 007,1305,1245,28,211,405,2200,155,6
E02004513,Colchester 008,645,517,15,1241,446,1366,59,8
E02004514,Colchester 009,1036,819,7,146,70,296,37,1
E02004515,Colchester 010,1366,1743,35,127,195,343,58,1
E02004516,Colchester 011,938,1572,23,198,681,2061,130,6
E02004517,Colchester 012,1465,1533,27,243,205,463,74,1
E02004518,Colchester 013,973,1167,21,61,218,755,155,0
E02004519,Colchester 014,1580,1031,4,132,65,255,46,1
E02004520,Colchester 015,645,846,16,480,408,455,603,9
E02004521,Colchester 016,1205,1322,12,595,225,789,76,5
E02004522,Colchester 017,1579,1050,20,92,60,522,81,1
E02004523,Colchester 018,1049,1471,17,563,308,666,74,6
E02004524,Colchester 019,1593,1224,9,127,45,244,67,2
E02004525,Colchester 020,1676,1082,18,157,112,376,115,2
E02004526,Colchester 021,1898,836,13,150,91,301,76,0
