Middle layer Super Output Areas Code,Middle layer Super Output Areas,Occupancy_rating_of_rooms_+2_or_more,Occupancy_rating_of_rooms_+1,Occupancy_rating_of_rooms_0,Occupancy_rating_of_rooms_-1,Occupancy_rating_of_rooms_-2_or_less,Total
E02004910,North Hertfordshire 002,2744,1272,837,91,17,4961
E02004911,North Hertfordshire 003,948,940,967,170,12,3037
E02004912,North Hertfordshire 004,1937,1437,1141,147,18,4680
E02004914,North Hertfordshire 006,1537,924,872,119,18,3470
E02004915,North Hertfordshire 007,888,710,710,146,15,2469
E02004916,North Hertfordshire 008,1847,655,505,69,9,3085
E02004917,North Hertfordshire 009,1298,664,637,86,12,2697
E02004918,North Hertfordshire 010,1533,1019,967,143,14,3676
E02004919,North Hertfordshire 011,1404,938,740,114,13,3209
E02004920,North Hertfordshire 012,2170,1446,1233,171,23,5043
E02004921,North Hertfordshire 013,1734,855,632,82,6,3309
E02004922,North Hertfordshire 014,2404,1008,628,108,8,4156
E02004923,North Hertfordshire 015,2387,1157,768,116,5,4433
E02004924,St Albans 001,1815,559,416,63,14,2867
E02004925,St Albans 002,1587,677,550,107,16,2937
E02004926,St Albans 003,1967,762,497,63,7,3296
E02004927,St Albans 004,1622,525,403,86,13,2649
E02004928,St Albans 005,1854,504,239,56,4,2657
E02004929,St Albans 006,1534,568,391,74,9,2576
E02004930,St Albans 007,1266,742,688,123,15,2834
E02004931,St Albans 008,1254,647,681,127,10,2719
E02004932,St Albans 009,1319,781,655,178,22,2955
E02004933,St Albans 010,1697,517,258,55,5,2532
E02004934,St Albans 011,1196,904,982,184,26,3292
E02004935,St Albans 012,1183,1314,1567,274,32,4370
E02004936,St Albans 013,1226,641,464,87,9,2427
E02004937,St Albans 014,1856,734,348,56,8,3002
E02004939,St Albans 016,1177,698,632,165,24,2696
E02004940,St Albans 017,1034,864,856,190,56,3000
E02004941,St Albans 018,1559,1122,936,245,32,3894
E02004942,St Albans 019,1313,700,513,83,14,2623
E02004943,St Albans 020,1914,765,496,117,9,3301
E02004944,Stevenage 001,1312,726,817,199,49,3103
E02004945,Stevenage 002,2197,1224,1182,222,28,4853
E02004946,Stevenage 003,1043,555,775,227,29,2629
E02004948,Stevenage 005,1034,606,800,214,18,2672
E02004949,Stevenage 006,1275,925,1367,296,31,3894
E02004950,Stevenage 007,1176,764,567,137,22,2666
E02004951,Stevenage 008,862,882,1264,370,43,3421
E02004952,Stevenage 009,1085,755,725,177,23,2765
E02004953,Stevenage 010,949,721,615,191,18,2494
E02004954,Stevenage 011,1005,803,845,234,26,2913
E02004955,Stevenage 012,1208,585,497,107,16,2413
E02004956,Three Rivers 001,1757,1075,881,127,19,3859
E02004957,Three Rivers 002,1748,1162,1043,223,26,4202
E02004958,Three Rivers 003,1920,681,382,75,15,3073
E02004959,Three Rivers 004,1452,537,348,80,5,2422
E02004960,Three Rivers 005,1480,392,263,47,7,2189
E02004961,Three Rivers 006,2249,899,497,115,14,3774
E02004962,Three Rivers 007,1725,981,763,177,17,3663
E02004963,Three Rivers 008,987,725,763,262,44,2781
E02004964,Three Rivers 009,1002,696,516,95,12,2321
E02004965,Three Rivers 010,1219,841,526,137,28,2751
E02004966,Three Rivers 011,1928,363,257,40,8,2596
E02004967,Three Rivers 012,528,798,1355,479,62,3222
E02004968,Watford 001,1059,868,798,262,34,3021
E02004969,Watford 002,1301,758,599,133,27,2818
E02004970,Watford 003,1111,808,1016,291,45,3271
