Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Managers_directors_and_senior_officials,2_Professional_occupations,3_Associate_professional_and_technical_occupations,4_Administrative_and_secretarial_occupations,5_Skilled_trades_occupations,6_Caring_leisure_and_other_service_occupations,7_Sales_and_customer_service_occupations,8_Process_plant_and_machine_operatives,9_Elementary_occupations,Does_not_apply,total
E02003604,Central Bedfordshire 006,873,1244,1005,626,610,471,444,341,460,5153,11227
E02003605,Central Bedfordshire 007,827,1121,777,492,473,330,301,225,372,5378,10296
E02003606,Central Bedfordshire 008,869,963,737,466,526,368,235,213,292,4652,9321
E02003607,Central Bedfordshire 009,1039,1301,903,587,623,412,334,276,436,5294,11205
E02003608,Central Bedfordshire 010,955,1269,991,677,787,600,379,347,491,5689,12185
E02003609,Central Bedfordshire 011,933,1279,1148,713,671,513,326,295,444,5524,11846
E02003610,Central Bedfordshire 012,874,1165,785,438,425,326,219,174,270,4298,8974
E02003611,Central Bedfordshire 013,859,1061,859,524,485,433,288,256,334,4789,9888
E02003612,Central Bedfordshire 014,1114,1436,1088,655,640,490,412,275,400,5910,12420
E02003613,Central Bedfordshire 015,419,535,435,280,358,252,189,192,277,2774,5711
E02003614,Central Bedfordshire 016,688,961,725,508,459,379,260,239,301,3624,8144
E02003615,Central Bedfordshire 017,1077,1146,845,524,501,351,243,235,319,5267,10508
E02003616,Bedford 001,558,617,387,270,296,202,106,111,178,2948,5673
E02003617,Bedford 002,895,1008,598,411,470,248,230,153,250,4772,9035
E02003618,Bedford 003,703,839,623,457,501,394,224,195,322,4499,8757
E02003619,Bedford 004,1125,1198,873,598,624,435,403,296,370,5933,11855
E02003620,Bedford 005,473,856,491,347,367,323,238,224,356,4487,8162
E02003621,Bedford 006,513,786,492,446,351,321,272,168,342,4370,8061
E02003622,Bedford 007,394,640,490,380,496,461,401,327,622,4999,9210
E02003623,Bedford 008,1215,1826,1099,647,460,421,372,248,369,6173,12830
E02003624,Bedford 009,320,678,388,237,230,258,197,163,302,3162,5935
E02003625,Bedford 010,411,925,567,356,346,426,282,330,681,4547,8871
E02003626,Bedford 011,331,603,463,289,277,256,230,198,306,2657,5610
E02003627,Bedford 012,669,1299,732,367,471,501,364,359,902,4985,10649
E02003628,Bedford 013,346,580,403,293,351,399,405,507,806,5688,9778
E02003629,Bedford 014,411,654,510,397,600,536,456,553,947,5620,10684
E02003630,Bedford 015,357,918,490,388,501,591,492,604,1288,5744,11373
E02003631,Bedford 016,273,414,344,262,270,291,229,204,412,2808,5507
E02003632,Bedford 017,279,484,369,274,346,353,265,279,530,3028,6207
E02003633,Bedford 018,576,880,743,495,553,522,450,450,760,5131,10560
E02003635,Bedford 020,789,1188,871,498,533,448,338,250,397,5036,10348
E02003636,Central Bedfordshire 018,569,757,566,412,441,322,173,221,267,3555,7283
E02003637,Central Bedfordshire 019,1008,1144,912,526,627,407,338,285,350,5101,10698
E02003638,Central Bedfordshire 020,596,676,530,406,391,279,241,244,328,3996,7687
E02003639,Central Bedfordshire 021,631,949,763,420,517,358,379,355,499,4712,9583
E02003640,Central Bedfordshire 022,456,696,496,308,294,220,199,155,249,2974,6047
E02003641,Central Bedfordshire 023,401,649,475,292,231,197,187,124,210,2593,5359
E02003642,Central Bedfordshire 025,381,566,428,415,567,507,357,549,760,5077,9607
E02003643,Central Bedfordshire 024,1055,1535,1196,793,761,593,483,423,532,6353,13724
E02003644,Central Bedfordshire 026,596,740,647,525,646,522,386,464,624,4908,10058
E02003645,Central Bedfordshire 027,427,556,426,368,468,357,271,291,400,3419,6983
E02003646,Central Bedfordshire 028,618,862,702,527,661,488,405,467,624,5313,10667
E02003647,Central Bedfordshire 029,646,895,696,555,674,483,438,507,734,4875,10503
E02003648,Central Bedfordshire 030,263,361,304,267,325,265,219,265,352,2901,5522
E02003649,Central Bedfordshire 031,451,656,471,358,441,267,236,212,299,3215,6606
E02003650,Central Bedfordshire 032,665,657,434,355,386,214,154,186,195,3753,6999
E02003651,Central Bedfordshire 033,616,641,485,359,402,327,199,192,267,3510,6998
E02003652,Buckinghamshire 001,887,1224,774,459,444,364,320,219,329,5536,10556
E02003653,Buckinghamshire 002,454,725,498,270,326,291,257,190,288,3453,6752
E02003654,Buckinghamshire 003,657,650,432,293,277,181,147,118,134,2900,5789
E02003655,Buckinghamshire 004,1041,1135,820,488,596,399,278,240,338,5027,10362
E02003656,Buckinghamshire 005,542,708,546,343,341,299,185,121,207,3348,6640
E02003657,Buckinghamshire 006,852,836,543,347,378,256,161,142,216,3738,7469
E02003658,Buckinghamshire 007,975,1212,778,477,562,349,247,199,283,4929,10011
E02003659,Buckinghamshire 009,919,1071,756,465,522,432,262,211,321,4829,9788
E02003660,Buckinghamshire 008,1143,1293,917,507,523,339,256,214,260,5349,10801
E02003661,Buckinghamshire 010,630,640,420,266,398,203,137,126,184,2884,5888
E02003662,Buckinghamshire 012,391,582,439,332,328,354,285,257,330,2916,6214
E02003663,Buckinghamshire 011,905,1500,1114,682,688,731,545,524,661,6757,14107
E02003664,Buckinghamshire 013,374,693,510,371,450,452,352,337,472,4111,8122
E02003665,Buckinghamshire 014,377,542,491,303,336,336,245,194,261,3097,6182
E02003666,Buckinghamshire 015,464,812,570,334,385,410,326,305,461,3531,7598
E02003667,Buckinghamshire 016,648,1037,878,549,565,499,404,349,467,3996,9392
E02003668,Buckinghamshire 018,660,966,636,456,386,371,255,190,259,4592,8771
E02003669,Buckinghamshire 017,294,474,353,253,401,442,327,396,544,3929,7413
E02003670,Buckinghamshire 019,569,1089,721,513,512,548,357,272,341,4238,9160
E02003671,Buckinghamshire 020,297,478,372,278,342,398,284,287,345,2883,5964
E02003672,Buckinghamshire 021,1283,1455,1001,646,541,430,293,225,291,6294,12459
E02003673,Buckinghamshire 022,951,1193,707,391,446,322,216,141,257,4827,9451
E02003674,Buckinghamshire 023,656,687,402,204,253,155,126,87,122,2867,5559
E02003675,Buckinghamshire 024,978,1024,948,672,422,308,243,160,274,4623,9652
E02003676,Buckinghamshire 029,1046,899,546,325,330,239,189,95,169,4308,8146
E02003677,Buckinghamshire 027,737,1013,709,455,520,419,346,297,401,5508,10405
E02003678,Buckinghamshire 028,483,715,447,287,240,232,185,156,165,2909,5819
E02003679,Buckinghamshire 030,485,788,591,312,358,316,250,152,264,3354,6870
E02003680,Buckinghamshire 031,1091,1130,723,462,407,317,236,105,216,5138,9825
