Middle layer Super Output Areas Code,Middle layer Super Output Areas,1_Managers_directors_and_senior_officials,2_Professional_occupations,3_Associate_professional_and_technical_occupations,4_Administrative_and_secretarial_occupations,5_Skilled_trades_occupations,6_Caring_leisure_and_other_service_occupations,7_Sales_and_customer_service_occupations,8_Process_plant_and_machine_operatives,9_Elementary_occupations,Does_not_apply,total
E02005517,Breckland 015,192,197,218,183,311,273,238,582,636,3104,5934
E02005518,Breckland 016,589,612,688,493,656,529,429,939,911,4845,10691
E02005519,Breckland 017,344,333,363,302,455,361,331,787,778,4582,8636
E02005520,Broadland 001,494,646,493,417,496,400,303,209,340,5143,8941
E02005521,Broadland 002,668,716,433,387,638,404,261,258,390,4495,8650
E02005522,Broadland 003,402,474,349,286,364,253,180,142,216,2830,5496
E02005523,Broadland 004,631,677,516,491,608,440,355,298,349,4244,8609
E02005524,Broadland 005,308,381,301,279,400,241,234,187,225,2775,5331
E02005525,Broadland 006,611,919,670,593,537,469,414,301,383,4940,9837
E02005526,Broadland 007,339,473,333,317,270,275,212,152,206,2815,5392
E02005527,Broadland 008,665,871,642,451,499,406,288,247,263,4827,9159
E02005528,Broadland 009,472,698,589,471,523,426,354,271,374,4318,8496
E02005529,Broadland 010,258,309,291,281,412,273,253,176,231,3199,5683
E02005530,Broadland 011,281,418,323,279,391,267,235,211,248,2787,5440
E02005531,Broadland 012,269,405,324,298,331,272,238,165,236,2806,5344
E02005532,Broadland 013,513,841,646,487,577,430,479,315,384,4858,9530
E02005533,Broadland 014,620,812,545,432,524,361,270,214,308,4963,9049
E02005534,Broadland 015,420,658,437,368,435,346,274,209,300,3918,7365
E02005535,Broadland 016,524,888,545,381,321,299,262,178,245,3515,7158
E02005536,Broadland 017,432,641,378,286,356,261,207,112,208,3333,6214
E02005537,Broadland 018,324,474,319,238,384,293,216,186,225,3365,6024
E02005538,Great Yarmouth 001,516,475,482,424,605,446,328,296,401,5711,9684
E02005539,Great Yarmouth 002,492,518,373,362,524,413,251,267,313,4502,8015
E02005540,Great Yarmouth 003,373,413,366,373,481,451,296,307,419,5321,8800
E02005541,Great Yarmouth 004,207,220,188,192,280,287,233,291,396,3610,5904
E02005542,Great Yarmouth 005,226,199,180,182,292,398,302,529,586,4316,7210
E02005543,Great Yarmouth 006,228,180,212,147,367,455,310,683,860,5899,9341
E02005544,Great Yarmouth 007,227,205,275,189,357,435,382,396,524,4165,7155
E02005545,Great Yarmouth 008,290,417,366,348,381,319,244,246,292,3574,6477
E02005546,Great Yarmouth 009,221,320,305,298,408,513,338,248,515,4762,7928
E02005547,Great Yarmouth 010,332,679,390,343,421,516,314,302,412,4796,8505
E02005548,Great Yarmouth 011,218,484,275,225,327,442,273,257,409,4510,7420
E02005549,Great Yarmouth 012,327,298,259,259,343,291,169,215,263,3164,5588
E02005550,Great Yarmouth 013,380,501,455,399,437,382,286,244,362,4281,7727
E02005551,King's Lynn and West Norfolk 001,291,189,169,150,232,219,161,83,229,3505,5228
E02005552,King's Lynn and West Norfolk 002,502,389,280,189,450,244,173,161,292,3861,6541
E02005553,King's Lynn and West Norfolk 003,459,413,344,282,526,368,222,209,356,5541,8720
E02005554,King's Lynn and West Norfolk 004,390,387,288,272,447,319,213,155,295,4281,7047
E02005555,King's Lynn and West Norfolk 005,497,677,378,335,347,290,187,157,244,3725,6837
E02005556,King's Lynn and West Norfolk 006,341,517,440,423,577,494,313,407,427,3833,7772
E02005557,King's Lynn and West Norfolk 007,166,220,187,143,360,372,303,665,705,3757,6878
E02005558,King's Lynn and West Norfolk 008,395,443,329,311,524,401,249,290,364,4050,7356
